Category,Match Type,Direction,P (95% CI),R (95% CI),F1 (95% CI)
NER: Scientific Names,Approximate,A1 GT to A2 Eval,"0.983 [0.967, 1.000]","0.990 [0.977, 1.000]","0.986 [0.977, 1.000]"
NER: Scientific Names,Approximate,A2 GT to A1 Eval,"0.990 [0.977, 1.000]","0.983 [0.967, 1.000]","0.986 [0.977, 1.000]"
NER: Scientific Names,Exact,A1 GT to A2 Eval,"0.938 [0.904, 0.981]","0.980 [0.961, 1.000]","0.959 [0.936, 0.989]"
NER: Scientific Names,Exact,A2 GT to A1 Eval,"0.980 [0.961, 1.000]","0.938 [0.904, 0.981]","0.959 [0.936, 0.989]"
NERRE: Medical Condition,Approximate,A1 GT to A2 Eval,"0.974 [0.938, 1.000]","0.909 [0.839, 0.956]","0.940 [0.906, 0.962]"
NERRE: Medical Condition,Approximate,A2 GT to A1 Eval,"0.909 [0.839, 0.956]","0.974 [0.938, 1.000]","0.940 [0.906, 0.962]"
NERRE: Medical Condition,Exact,A1 GT to A2 Eval,"0.907 [0.821, 1.000]","0.846 [0.771, 0.902]","0.875 [0.800, 0.938]"
NERRE: Medical Condition,Exact,A2 GT to A1 Eval,"0.846 [0.771, 0.902]","0.907 [0.821, 1.000]","0.875 [0.800, 0.938]"
NERRE: Medicinal Effect,Approximate,A1 GT to A2 Eval,"0.873 [0.767, 0.977]","0.813 [0.712, 0.935]","0.840 [0.779, 0.907]"
NERRE: Medicinal Effect,Approximate,A2 GT to A1 Eval,"0.813 [0.712, 0.935]","0.873 [0.767, 0.977]","0.840 [0.779, 0.907]"
NERRE: Medicinal Effect,Exact,A1 GT to A2 Eval,"0.836 [0.744, 0.933]","0.769 [0.661, 0.900]","0.798 [0.731, 0.875]"
NERRE: Medicinal Effect,Exact,A2 GT to A1 Eval,"0.769 [0.661, 0.900]","0.836 [0.744, 0.933]","0.798 [0.731, 0.875]"
