,corpusid,DOI,year,language,tar_archive_name,fungi_family_names_counts,plant_family_names_counts
count,6003129.0,2361823,5611110.0,3043336,6003129,16011,153616
unique,,2067035,,74,6445,4166,48606
top,,10.4314/pamj.v22i1.,,en,2610.tar.xz,['heterogenei'],['lichens']
freq,,386,,2655712,385127,1089,9903
mean,173959171.6178308,,2007.9316661052803,,,,
std,134333455.35175204,,554.414706228696,,,,
min,20.0,,1.0,,,,
25%,60611078.0,,2007.0,,,,
50%,157834221.0,,2013.0,,,,
75%,267601976.0,,2017.0,,,,
max,490805359.0,,201702.0,,,,
