,Unnamed: 0,json_file,sci_name,medical_condition,medicinal_effect,decision,corpusid,title,verbatim_pairs,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_parent,plant_name_id,taxon_status,matched_by,matched_name
count,4.0,4,4,4,0,4,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
unique,,2,3,4,0,1,,1,4,2,2,2,2,1,2,2,2,2,2,1,3,3
top,,29202702.json_chunk_26.json,passiflora tetrandra,sore breasts,,Yes,,"The Role of Medicinal Plants in New Zealand's Settler Medical Culture, 1850s-1920s",passiflora tetrandra_sore breasts_,675517-1,Passiflora tetrandra,Passiflora tetrandra Banks ex DC.,Passifloraceae,Species,Passiflora tetrandra,Passiflora tetrandra Banks ex DC.,675517-1,Passiflora,2559669,Accepted,direct_wcvp_unique,Passiflora tetrandra
freq,,2,2,1,,4,,4,1,3,3,3,3,4,3,3,3,3,3,4,2,2
mean,114.25,,,,,,29202702.0,,,,,,,,,,,,,,,
std,101.11833002313016,,,,,,0.0,,,,,,,,,,,,,,,
min,42.0,,,,,,29202702.0,,,,,,,,,,,,,,,
25%,42.75,,,,,,29202702.0,,,,,,,,,,,,,,,
50%,79.0,,,,,,29202702.0,,,,,,,,,,,,,,,
75%,150.5,,,,,,29202702.0,,,,,,,,,,,,,,,
max,257.0,,,,,,29202702.0,,,,,,,,,,,,,,,
