json_file,taxon_name,medical_condition,medicinal_effect,decision
29202702.json_chunk_7.json,mentha spp. l,,digestive aid,Yes
29202702.json_chunk_7.json,matricaria recutita l,indigestion,,Yes
29202702.json_chunk_7.json,matricaria recutita l,inflammation,,Yes
29202702.json_chunk_7.json,lavandula angustifolia mill,burns,,Yes
29202702.json_chunk_7.json,lavandula angustifolia mill,skin irritations,,Yes
29202702.json_chunk_7.json,glycyrrhiza glabra l,respiratory and urinary tract infections,,Yes
29202702.json_chunk_7.json,glycyrrhiza glabra l,,demulcent,Yes
29202702.json_chunk_7.json,cinnamomum camphora (l.) j. presl,cholera,,Yes
29202702.json_chunk_7.json,rheum palmatum l,,emetic,Yes
29202702.json_chunk_7.json,ipomoea purge l,,cathartic,Yes
29202702.json_chunk_7.json,gingko biloba l,,stimulate circulation,Yes
29202702.json_chunk_7.json,althea officinalis l,respiratory conditions,,Yes
29202702.json_chunk_7.json,althea officinalis l,,demulcent,Yes
29202702.json_chunk_7.json,valeriana officinalis l,,sedative,Yes
29202702.json_chunk_7.json,cinchona spp,fever,,Yes
29202702.json_chunk_7.json,cinchona spp,malaria,,Yes
29202702.json_chunk_7.json,carapichea ipecacuanha brot. l.andersson,dysentery,,Yes
29202702.json_chunk_17.json,podophyllum peltatum,colic,,Yes
29202702.json_chunk_17.json,podophyllum peltatum,glandular conditions,,Yes
29202702.json_chunk_19.json,eucalyptus globula,cancer,,Yes
29202702.json_chunk_21.json,verbena officinalis,epilepsy,,Yes
29202702.json_chunk_23.json,pinus canadensis,dysentery,,No
29202702.json_chunk_23.json,pinus canadensis,,restorative,Yes
29202702.json_chunk_24.json,lobelia,,emetic,Yes
29202702.json_chunk_25.json,pinus canadensis,cholera,,Yes
29202702.json_chunk_25.json,pinus canadensis,cholera morbus,,Yes
29202702.json_chunk_25.json,pinus canadensis,diarrhoea,,Yes
29202702.json_chunk_26.json,rhipogonum parviflorum,general debility,,Yes
29202702.json_chunk_26.json,rhipogonum parviflorum,fever,,Yes
29202702.json_chunk_26.json,rhipogonum parviflorum,skin complaints,,Yes
29202702.json_chunk_26.json,rhipogonum parviflorum,bowel complaints,,Yes
29202702.json_chunk_26.json,rhipogonum parviflorum,rheumatism,,Yes
29202702.json_chunk_26.json,macropiper excelsum,facial swelling,,Yes
29202702.json_chunk_26.json,macropiper excelsum,toothache,,Yes
29202702.json_chunk_26.json,macropiper excelsum,pains in the stomach,,Yes
29202702.json_chunk_26.json,macropiper excelsum,,diuretic,Yes
29202702.json_chunk_26.json,macropiper excelsum,,aromatic,Yes
29202702.json_chunk_26.json,veronica,venereal disease,,Yes
29202702.json_chunk_26.json,veronica,dysentery,,Yes
29202702.json_chunk_26.json,veronica,ulcers,,Yes
29202702.json_chunk_26.json,veronica,,astringent,Yes
29202702.json_chunk_26.json,dysoxylum spectabile,secretion of milk,,Yes
29202702.json_chunk_26.json,passiflora tetrandra,sore breasts,,Yes
29202702.json_chunk_26.json,passiflora tetrandra,old wounds,,Yes
29202702.json_chunk_26.json,atherosperma n. zealandiae,scrofula,,Yes
29202702.json_chunk_26.json,atherosperma n. zealandiae,obstinate sores,,Yes
29202702.json_chunk_26.json,atherosperma n. zealandiae,venereal diseases,,Yes
