,Region,Number of Taxa
0,ALA,1
1,ALB,3
2,ALG,2
3,ARK,1
4,AUT,2
5,BAL,1
6,BLR,1
7,BLT,1
8,BUL,3
9,CAB,1
10,CBD,1
11,CHC,1
12,CHN,1
13,CHQ,1
14,CNT,1
15,CNY,1
16,CON,1
17,COR,1
18,CZE,1
19,DEL,1
20,DEN,1
21,EAI,1
22,EGY,1
23,FIN,1
24,FLA,1
25,FRA,2
26,GAB,1
27,GEO,1
28,GER,2
29,GRC,4
30,HUN,1
31,ILL,1
32,ITA,2
33,KRI,1
34,KRY,1
35,KTY,1
36,LAO,1
37,LBS,1
38,LBY,2
39,MAS,1
40,MIC,1
41,MOR,2
42,MRY,1
43,MSO,1
44,NCA,1
45,NCS,1
46,NET,1
47,NOR,1
48,NWH,1
49,NWJ,1
50,NWY,1
51,OHI,1
52,PEN,1
53,POL,1
54,POR,1
55,RHO,1
56,ROM,2
57,RUC,1
58,RUE,1
59,RUN,1
60,RUS,1
61,RUW,1
62,SAR,1
63,SAU,1
64,SIC,1
65,SPA,2
66,SWE,1
67,SWI,2
68,TCS,1
69,TEN,1
70,TEX,1
71,THA,1
72,TUE,3
73,TUN,2
74,TUR,3
75,UKR,2
76,VER,1
77,VIE,1
78,WDC,1
79,WSA,1
80,WSB,1
81,WVA,1
82,YUG,4
83,ZAI,1
