,Region,Number of Taxa
0, ,2
1,ABT,1647
2,AFG,4529
3,AGE,5358
4,AGS,2094
5,AGW,5379
6,ALA,3059
7,ALB,3421
8,ALD,197
9,ALG,3583
10,ALT,2605
11,ALU,366
12,AMU,1438
13,AND,1809
14,ANG,6202
15,ANT,3
16,ARI,3616
17,ARK,2189
18,ARU,285
19,ASC,31
20,ASK,1402
21,ASP,31
22,ASS,6411
23,ATP,206
24,AUT,3832
25,AZO,561
26,BAH,1082
27,BAL,1467
28,BAN,4162
29,BEN,2319
30,BER,195
31,BGM,1983
32,BIS,1660
33,BKN,1844
34,BLR,1474
35,BLT,1742
36,BLZ,3624
37,BOL,14842
38,BOR,11866
39,BOT,2491
40,BRC,2336
41,BRY,1808
42,BUL,3975
43,BUR,2808
44,BZC,9854
45,BZE,11421
46,BZL,18157
47,BZN,13439
48,BZS,8565
49,CAB,938
50,CAF,3681
51,CAL,5732
52,CAY,554
53,CBD,3929
54,CGS,53
55,CHA,2149
56,CHC,20143
57,CHH,3617
58,CHI,2772
59,CHM,2477
60,CHN,5556
61,CHQ,2201
62,CHS,11451
63,CHT,7083
64,CHX,3461
65,CKI,75
66,CLC,3012
67,CLM,24895
68,CLN,1747
69,CLS,1378
70,CMN,7096
71,CNT,1742
72,CNY,1637
73,COL,2775
74,COM,1102
75,CON,3980
76,COO,293
77,COR,2180
78,COS,10697
79,CPI,208
80,CPP,15630
81,CPV,602
82,CRL,1036
83,CRZ,22
84,CTA,1526
85,CTM,358
86,CUB,6125
87,CVI,530
88,CYP,1633
89,CZE,3636
90,DEL,1530
91,DEN,1803
92,DJI,775
93,DOM,3945
94,DSV,28
95,EAI,2103
96,EAS,39
97,ECU,18298
98,EGY,1607
99,EHM,7843
100,ELS,3522
101,EQG,1499
102,ERI,1837
103,ETH,5178
104,FAL,183
105,FIJ,1706
106,FIN,2770
107,FLA,3159
108,FOR,358
109,FRA,6409
110,FRG,5141
111,GAB,5053
112,GAL,592
113,GAM,799
114,GEO,3039
115,GER,4263
116,GGI,1935
117,GHA,3158
118,GIL,96
119,GNB,1418
120,GNL,522
121,GRB,3007
122,GRC,5325
123,GST,723
124,GUA,8297
125,GUI,3553
126,GUY,6344
127,HAI,3704
128,HAW,1223
129,HBI,12
130,HMD,11
131,HON,6693
132,HUN,2540
133,ICE,785
134,IDA,2416
135,ILL,2311
136,IND,7875
137,INI,2015
138,IOW,1589
139,IRE,1436
140,IRK,1705
141,IRN,8170
142,IRQ,3096
143,ITA,6045
144,IVO,3773
145,JAM,3076
146,JAP,5473
147,JAW,5369
148,JNF,243
149,KAM,1145
150,KAN,1741
151,KAZ,5299
152,KEG,32
153,KEN,6385
154,KER,128
155,KGZ,3904
156,KHA,1863
157,KOR,3232
158,KRA,2156
159,KRI,1950
160,KRY,2244
161,KTY,2117
162,KUR,1141
163,KUW,359
164,KZN,181
165,LAB,725
166,LAO,5143
167,LBR,2722
168,LBS,3875
169,LBY,1812
170,LDV,182
171,LEE,2070
172,LES,1638
173,LIN,50
174,LOU,2331
175,LSI,3063
176,MAG,1248
177,MAI,1652
178,MAN,1359
179,MAQ,42
180,MAS,1860
181,MAU,933
182,MCI,71
183,MCS,10
184,MDG,11668
185,MDR,809
186,MDV,154
187,MIC,2013
188,MIN,1875
189,MLI,1851
190,MLW,4720
191,MLY,8861
192,MNT,2242
193,MOL,3297
194,MON,3000
195,MOR,4166
196,MOZ,5485
197,MPE,24
198,MRN,470
199,MRQ,363
200,MRS,124
201,MRY,2219
202,MSI,2300
203,MSO,2137
204,MTN,1004
205,MXC,7515
206,MXE,11285
207,MXG,7865
208,MXI,266
209,MXN,6995
210,MXS,14054
211,MXT,9266
212,MYA,9612
213,NAM,3799
214,NAT,5078
215,NBR,1137
216,NCA,2939
217,NCB,1260
218,NCS,4113
219,NDA,1129
220,NEB,1462
221,NEP,6226
222,NET,1873
223,NEV,2832
224,NFK,354
225,NFL,1007
226,NGA,4783
227,NGR,1073
228,NIC,5868
229,NLA,483
230,NNS,1824
231,NOR,3195
232,NRU,57
233,NSC,1116
234,NSW,5955
235,NTA,4074
236,NUE,216
237,NUN,620
238,NWC,3325
239,NWG,13432
240,NWH,1545
241,NWJ,2002
242,NWM,3468
243,NWT,1040
244,NWY,2439
245,NZN,1489
246,NZS,1922
247,OFS,2604
248,OGA,345
249,OHI,2014
250,OKL,2294
251,OMA,1312
252,ONT,2207
253,ORE,3280
254,PAK,4565
255,PAL,2774
256,PAN,10110
257,PAR,5321
258,PEI,704
259,PEN,2196
260,PER,20678
261,PHI,9302
262,PHX,28
263,PIT,118
264,POL,2929
265,POR,2677
266,PRM,2121
267,PUE,2389
268,QLD,8262
269,QUE,1970
270,REU,969
271,RHO,1342
272,ROD,191
273,ROM,3541
274,RUC,2071
275,RUE,2544
276,RUN,1905
277,RUS,2166
278,RUW,1536
279,RWA,2533
280,SAK,1261
281,SAM,851
282,SAR,2066
283,SAS,1291
284,SAU,2046
285,SCA,2635
286,SCI,611
287,SCS,210
288,SCZ,298
289,SDA,1445
290,SEL,97
291,SEN,2097
292,SEY,412
293,SGE,23
294,SIC,2529
295,SIE,2665
296,SIN,1242
297,SOA,3196
298,SOC,785
299,SOL,2299
300,SOM,3137
301,SPA,6868
302,SRL,3551
303,SSA,2
304,STH,82
305,SUD,4008
306,SUL,4678
307,SUM,7468
308,SUR,4482
309,SVA,196
310,SWC,264
311,SWE,3860
312,SWI,3381
313,SWZ,2617
314,TAI,4609
315,TAN,9706
316,TAS,1792
317,TCI,407
318,TCS,5620
319,TDC,99
320,TEN,2470
321,TEX,4780
322,THA,11085
323,TKM,2670
324,TOG,2026
325,TOK,70
326,TON,520
327,TRT,2568
328,TUA,151
329,TUB,375
330,TUE,2217
331,TUN,2376
332,TUR,10041
333,TUV,53
334,TVA,1696
335,TVL,5332
336,TZK,4342
337,UGA,4737
338,UKR,3274
339,URU,2577
340,UTA,2973
341,UZB,3911
342,VAN,1352
343,VEN,16265
344,VER,1666
345,VIC,3358
346,VIE,11724
347,VNA,827
348,VRG,2633
349,WAK,22
350,WAL,304
351,WAS,2483
352,WAU,10611
353,WDC,1084
354,WHM,5594
355,WIN,2017
356,WIS,1909
357,WSA,392
358,WSB,2254
359,WVA,1800
360,WYO,2286
361,XMS,214
362,YAK,1859
363,YEM,2064
364,YUG,5456
365,YUK,1116
366,ZAI,9456
367,ZAM,6188
368,ZIM,5278
369,frg,2
