,name,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_parent,plant_name_id,taxon_status,matched_by,matched_name
0,persea americana,325643-2,Persea americana,Persea americana Mill.,Lauraceae,Species,Persea americana,Persea americana Mill.,325643-2,Persea,2529835,Accepted,direct_wcvp_unique,Persea americana
1,glycyrrhiza glabra,496941-1,Glycyrrhiza glabra,Glycyrrhiza glabra L.,Fabaceae,Species,Glycyrrhiza glabra,Glycyrrhiza glabra L.,496941-1,Glycyrrhiza,2827728,Accepted,direct_wcvp_unique,Glycyrrhiza glabra
2,eleusine coracana,399945-1,Eleusine coracana,Eleusine coracana (L.) Gaertn.,Poaceae,Species,Eleusine coracana,Eleusine coracana (L.) Gaertn.,399945-1,Eleusine,410607,Accepted,direct_wcvp_unique,Eleusine coracana
3,papaver somniferum,673724-1,Papaver somniferum,Papaver somniferum L.,Papaveraceae,Species,Papaver somniferum,Papaver somniferum L.,673724-1,Papaver,2561497,Accepted,direct_wcvp_unique,Papaver somniferum
4,angelica archangelica,837560-1,Angelica archangelica,Angelica archangelica L.,Apiaceae,Species,Angelica archangelica,Angelica archangelica L.,837560-1,Angelica,2638995,Accepted,direct_wcvp_unique,Angelica archangelica
5,melissa officinalis,450084-1,Melissa officinalis,Melissa officinalis L.,Lamiaceae,Species,Melissa officinalis,Melissa officinalis L.,450084-1,Melissa,124103,Accepted,direct_wcvp_unique,Melissa officinalis
6,bocconia frutescens l,316358-2,Bocconia frutescens,Bocconia frutescens L.,Papaveraceae,Species,Bocconia frutescens,Bocconia frutescens L.,316358-2,Bocconia,2677862,Accepted,direct_wcvp_w_author_unique,Bocconia frutescens L.
7,berberis vulgaris l,328527-2,Berberis vulgaris,Berberis vulgaris L.,Berberidaceae,Species,Berberis vulgaris,Berberis vulgaris L.,328527-2,Berberis,2674612,Accepted,direct_wcvp_w_author_unique,Berberis vulgaris L.
8,acacia karoo,77087189-1,Vachellia karroo,Vachellia karroo (Hayne) Banfi & Galasso,Fabaceae,Species,Vachellia karroo,Vachellia karroo (Hayne) Banfi & Galasso,77087189-1,Vachellia,2612641,Synonym,knms_single,Acacia karroo Getreue Darstell. Gew. 10: t. 33 (1827) Hayne 1827
10,passiflora incarnata,675096-1,Passiflora incarnata,Passiflora incarnata L.,Passifloraceae,Species,Passiflora incarnata,Passiflora incarnata L.,675096-1,Passiflora,2560416,Accepted,direct_wcvp,Passiflora incarnata
