,name,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_parent,plant_name_id,taxon_status,matched_by,matched_name
1,papaver hybridum l,,Roemeria sicula,"Roemeria sicula (Guss.) Galasso, Banfi, L.Sáez & Bartolucci",Papaveraceae,Species,Roemeria sicula,"Roemeria sicula (Guss.) Galasso, Banfi, L.Sáez & Bartolucci",,Roemeria,2560734,Synonym,direct_wcvp_w_author_unique,Papaver hybridum L.
2,berberis oblonga (regel) c. k.schneid,106944-1,Berberis oblonga,Berberis oblonga (Regel) C.K.Schneid.,Berberidaceae,Species,Berberis oblonga,Berberis oblonga (Regel) C.K.Schneid.,106944-1,Berberis,2674217,Accepted,direct_wcvp_w_author_unique,Berberis oblonga (Regel) C.K.Schneid.
3,trigonella foenum-graecum l,523957-1,Trigonella foenum-graecum,Trigonella foenum-graecum L.,Fabaceae,Species,Trigonella foenum-graecum,Trigonella foenum-graecum L.,523957-1,Trigonella,2441407,Accepted,direct_wcvp_w_author_unique,Trigonella foenum-graecum L.
5,ageratina petiolaris,6986-2,Ageratina petiolaris,Ageratina petiolaris (Moc. & Sessé ex DC.) R.M.King & H.Rob.,Asteraceae,Species,Ageratina petiolaris,Ageratina petiolaris (Moc. & Sessé ex DC.) R.M.King & H.Rob.,6986-2,Ageratina,3127467,Accepted,direct_wcvp_unique,Ageratina petiolaris
6,artocarpus tonkinensis,582651-1,Artocarpus tonkinensis,Artocarpus tonkinensis A.Chev. ex Gagnep.,Moraceae,Species,Artocarpus tonkinensis,Artocarpus tonkinensis A.Chev. ex Gagnep.,582651-1,Artocarpus,2654101,Accepted,direct_wcvp_unique,Artocarpus tonkinensis
8,barosma betulina,770863-1,Agathosma betulina,Agathosma betulina (P.J.Bergius) Pillans,Rutaceae,Species,Agathosma betulina,Agathosma betulina (P.J.Bergius) Pillans,770863-1,Agathosma,2670343,Synonym,direct_wcvp_unique,Barosma betulina
9,corydalis solida subsp.brachylova,77252296-1,Corydalis solida subsp. brachyloba,Corydalis solida subsp. brachyloba (Boiss.) Cullen & P.H.Davis,Papaveraceae,Subspecies,Corydalis solida,Corydalis solida (L.) Clairv.,60454743-2,Corydalis solida,3231877,Accepted,openrefine_unique,Papaveraceae Corydalis solida (L.) Clairv. subsp. brachyloba (Boiss.) Cullen & P.H.Davis
10,mandragora officinarum,816733-1,Mandragora officinarum,Mandragora officinarum L.,Solanaceae,Species,Mandragora officinarum,Mandragora officinarum L.,816733-1,Mandragora,2506563,Accepted,direct_wcvp_unique,Mandragora officinarum
12,papaver somniferum l,673724-1,Papaver somniferum,Papaver somniferum L.,Papaveraceae,Species,Papaver somniferum,Papaver somniferum L.,673724-1,Papaver,2561497,Accepted,direct_wcvp_w_author_unique,Papaver somniferum L.
13,nandina domestica thunb,107544-1,Nandina domestica,Nandina domestica Thunb.,Berberidaceae,Species,Nandina domestica,Nandina domestica Thunb.,107544-1,Nandina,2380006,Accepted,direct_wcvp_w_author_unique,Nandina domestica Thunb.
