,name,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_parent,plant_name_id,taxon_status,matched_by,matched_name
0,enantia pilosa exell,948448-1,Annickia pilosa,Annickia pilosa (Exell) Setten & Maas,Annonaceae,Species,Annickia pilosa,Annickia pilosa (Exell) Setten & Maas,948448-1,Annickia,2788543,Synonym,direct_wcvp_w_author_unique,Enantia pilosa Exell
2,myrciaria dubia,166146-2,Myrciaria dubia,Myrciaria dubia (Kunth) McVaugh,Myrtaceae,Species,Myrciaria dubia,Myrciaria dubia (Kunth) McVaugh,166146-2,Myrciaria,131810,Accepted,direct_wcvp_unique,Myrciaria dubia
3,hypericum perforatum,433719-1,Hypericum perforatum,Hypericum perforatum L.,Hypericaceae,Species,Hypericum perforatum,Hypericum perforatum L.,433719-1,Hypericum,516286,Accepted,direct_wcvp_unique,Hypericum perforatum
6,achillea moschata wulfen,876363-1,Achillea erba-rotta subsp. moschata,Achillea erba-rotta subsp. moschata (Wulfen) Vacc.,Asteraceae,Subspecies,Achillea erba-rotta,Achillea erba-rotta All.,50869252-1,Achillea erba-rotta,3109908,Synonym,direct_wcvp_w_author_unique,Achillea moschata Wulfen
7,mentha piperita,450969-1,Mentha × piperita,Mentha × piperita L.,Lamiaceae,Species,Mentha × piperita,Mentha × piperita L.,450969-1,Mentha,125188,Accepted,knms_single,Mentha × piperita Sp. Pl.: 576 (1753) L. 1753
12,acorus calamus,84009-1,Acorus calamus,Acorus calamus L.,Acoraceae,Species,Acorus calamus,Acorus calamus L.,84009-1,Acorus,2304,Accepted,direct_wcvp_unique,Acorus calamus
13,terminalia chebula retx,171037-1,Terminalia chebula,Terminalia chebula Retz.,Combretaceae,Species,Terminalia chebula,Terminalia chebula Retz.,171037-1,Terminalia,2431324,Accepted,autoresolution,Terminalia chebula
15,catharanthus roseus,77880-1,Catharanthus roseus,Catharanthus roseus (L.) G.Don,Apocynaceae,Species,Catharanthus roseus,Catharanthus roseus (L.) G.Don,77880-1,Catharanthus,35719,Accepted,direct_wcvp_unique,Catharanthus roseus
18,sesamum indicum,675971-1,Sesamum indicum,Sesamum indicum L.,Pedaliaceae,Species,Sesamum indicum,Sesamum indicum L.,675971-1,Sesamum,2588550,Accepted,direct_wcvp_unique,Sesamum indicum
20,brassica nigra,287192-1,Mutarda nigra,Mutarda nigra (L.) Bernh.,Brassicaceae,Species,Mutarda nigra,Mutarda nigra (L.) Bernh.,287192-1,Mutarda,2682421,Synonym,direct_wcvp_unique,Brassica nigra
22,gentiana officinalis,368591-1,Gentiana officinalis,Gentiana officinalis Harry Sm.,Gentianaceae,Species,Gentiana officinalis,Gentiana officinalis Harry Sm.,368591-1,Gentiana,2821065,Accepted,direct_wcvp_unique,Gentiana officinalis
23,medicago sativa,30234961-2,Medicago sativa,Medicago sativa L.,Fabaceae,Species,Medicago sativa,Medicago sativa L.,30234961-2,Medicago,2369031,Accepted,direct_wcvp_unique,Medicago sativa
24,achillea millefolium,2294-2,Achillea millefolium,Achillea millefolium L.,Asteraceae,Species,Achillea millefolium,Achillea millefolium L.,2294-2,Achillea,2908230,Accepted,direct_wcvp_unique,Achillea millefolium
