,name,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_parent,plant_name_id,taxon_status,matched_by,matched_name
1,berberis tinctoria lesch,107137-1,Berberis tinctoria,Berberis tinctoria Lesch.,Berberidaceae,Species,Berberis tinctoria,Berberis tinctoria Lesch.,107137-1,Berberis,2674529,Accepted,direct_wcvp_w_author_unique,Berberis tinctoria Lesch.
4,carica papaya,30011248-2,Carica papaya,Carica papaya L.,Caricaceae,Species,Carica papaya,Carica papaya L.,30011248-2,Carica,2700919,Accepted,direct_wcvp_unique,Carica papaya
6,vaccinium myrtillus,30006039-2,Vaccinium myrtillus,Vaccinium myrtillus L.,Ericaceae,Species,Vaccinium myrtillus,Vaccinium myrtillus L.,30006039-2,Vaccinium,2457648,Accepted,direct_wcvp_unique,Vaccinium myrtillus
7,oenothera biennis,172755-2,Oenothera biennis,Oenothera biennis L.,Onagraceae,Species,Oenothera biennis,Oenothera biennis L.,172755-2,Oenothera,2399189,Accepted,direct_wcvp_unique,Oenothera biennis
8,prunus spinosa,730297-1,Prunus spinosa,Prunus spinosa L.,Rosaceae,Species,Prunus spinosa,Prunus spinosa L.,730297-1,Prunus,2921969,Accepted,direct_wcvp,Prunus spinosa
9,linum usitatissimum,544772-1,Linum usitatissimum,Linum usitatissimum L.,Linaceae,Species,Linum usitatissimum,Linum usitatissimum L.,544772-1,Linum,2353429,Accepted,direct_wcvp_unique,Linum usitatissimum
10,eleusine coracana,399945-1,Eleusine coracana,Eleusine coracana (L.) Gaertn.,Poaceae,Species,Eleusine coracana,Eleusine coracana (L.) Gaertn.,399945-1,Eleusine,410607,Accepted,direct_wcvp_unique,Eleusine coracana
11,trachyspermum ammi,849765-1,Trachyspermum ammi,Trachyspermum ammi (L.) Sprague,Apiaceae,Species,Trachyspermum ammi,Trachyspermum ammi (L.) Sprague,849765-1,Trachyspermum,2438394,Accepted,direct_wcvp_unique,Trachyspermum ammi
12,annona reticulata,72295-1,Annona reticulata,Annona reticulata L.,Annonaceae,Species,Annona reticulata,Annona reticulata L.,72295-1,Annona,2640996,Accepted,direct_wcvp,Annona reticulata
14,pygeum africanum,729417-1,Prunus africana,Prunus africana (Hook.f.) Kalkman,Rosaceae,Species,Prunus africana,Prunus africana (Hook.f.) Kalkman,729417-1,Prunus,2921971,Synonym,direct_wcvp_unique,Pygeum africanum
16,sapindus saponaria,30035906-2,Sapindus saponaria,Sapindus saponaria L.,Sapindaceae,Species,Sapindus saponaria,Sapindus saponaria L.,30035906-2,Sapindus,2582258,Accepted,direct_wcvp,Sapindus saponaria
17,laurus nobilis,465049-1,Laurus nobilis,Laurus nobilis L.,Lauraceae,Species,Laurus nobilis,Laurus nobilis L.,465049-1,Laurus,2349094,Accepted,direct_wcvp_unique,Laurus nobilis
19,jeffersonia diphylla (l.) pers,1187336-2,Jeffersonia diphylla,Jeffersonia diphylla (L.) Pers.,Berberidaceae,Species,Jeffersonia diphylla,Jeffersonia diphylla (L.) Pers.,1187336-2,Jeffersonia,2332915,Accepted,direct_wcvp_w_author_unique,Jeffersonia diphylla (L.) Pers.
