,Region,Number of Taxa
0,ABT,6
1,AFG,44
2,AGE,3
3,AGS,3
4,AGW,4
5,ALA,15
6,ALB,64
7,ALD,1
8,ALG,44
9,ALT,23
10,ALU,2
11,AMU,10
12,AND,6
13,ANG,11
14,ARI,8
15,ARK,11
16,ASC,1
17,ASK,4
18,ASS,26
19,AUT,47
20,AZO,19
21,BAH,4
22,BAL,33
23,BAN,19
24,BEN,6
25,BER,1
26,BGM,41
27,BIS,2
28,BKN,7
29,BLR,42
30,BLT,39
31,BLZ,10
32,BOL,6
33,BOR,3
34,BOT,5
35,BRC,7
36,BRY,19
37,BUL,61
38,BUR,8
39,BZC,4
40,BZE,5
41,BZL,4
42,BZN,5
43,BZS,4
44,CAB,2
45,CAF,9
46,CAL,8
47,CAY,3
48,CBD,13
49,CGS,1
50,CHA,10
51,CHC,39
52,CHH,11
53,CHI,14
54,CHM,13
55,CHN,24
56,CHQ,14
57,CHS,29
58,CHT,19
59,CHX,19
60,CKI,1
61,CLC,3
62,CLM,10
63,CLS,4
64,CMN,12
65,CNT,13
66,CNY,23
67,COL,7
68,COM,2
69,CON,7
70,COO,2
71,COR,45
72,COS,12
73,CPP,6
74,CPV,2
75,CRL,3
76,CTA,10
77,CUB,4
78,CVI,7
79,CYP,33
80,CZE,45
81,DEL,11
82,DEN,35
83,DJI,7
84,DOM,6
85,EAI,37
86,ECU,7
87,EGY,22
88,EHM,31
89,ELS,10
90,ERI,11
91,ETH,18
92,FIJ,2
93,FIN,32
94,FLA,12
95,FOR,12
96,FRA,66
97,FRG,3
98,GAB,6
99,GAM,5
100,GEO,15
101,GER,51
102,GGI,7
103,GHA,8
104,GNB,7
105,GNL,6
106,GRB,30
107,GRC,70
108,GST,13
109,GUA,15
110,GUI,7
111,GUY,4
112,HAI,7
113,HAW,1
114,HON,11
115,HUN,46
116,ICE,15
117,IDA,8
118,ILL,15
119,IND,43
120,INI,13
121,IOW,12
122,IRE,27
123,IRK,16
124,IRN,61
125,IRQ,44
126,ITA,68
127,IVO,9
128,JAM,5
129,JAP,11
130,JAW,6
131,KAM,7
132,KAN,9
133,KAZ,35
134,KEN,13
135,KGZ,27
136,KHA,10
137,KOR,12
138,KRA,19
139,KRI,33
140,KRY,41
141,KTY,14
142,KUR,4
143,KUW,7
144,KZN,1
145,LAB,4
146,LAO,15
147,LBR,7
148,LBS,52
149,LBY,27
150,LDV,3
151,LEE,5
152,LES,3
153,LOU,12
154,LSI,7
155,MAG,6
156,MAI,9
157,MAN,8
158,MAS,12
159,MAU,1
160,MDG,2
161,MDR,19
162,MDV,1
163,MIC,13
164,MIN,12
165,MLI,7
166,MLW,8
167,MLY,12
168,MNT,8
169,MOL,7
170,MON,15
171,MOR,45
172,MOZ,9
173,MRN,2
174,MRQ,1
175,MRS,2
176,MRY,14
177,MSI,11
178,MSO,14
179,MTN,5
180,MXC,18
181,MXE,17
182,MXG,15
183,MXI,1
184,MXN,13
185,MXS,19
186,MXT,17
187,MYA,22
188,NAM,5
189,NAT,8
190,NBR,6
191,NCA,15
192,NCB,3
193,NCS,57
194,NDA,8
195,NEB,8
196,NEP,35
197,NET,42
198,NEV,8
199,NFL,6
200,NGA,10
201,NGR,9
202,NIC,11
203,NLA,1
204,NNS,6
205,NOR,32
206,NRU,1
207,NSC,8
208,NSW,1
209,NTA,5
210,NUE,1
211,NUN,3
212,NWC,1
213,NWG,6
214,NWH,10
215,NWJ,12
216,NWM,6
217,NWT,4
218,NWY,14
219,OFS,3
220,OGA,2
221,OHI,15
222,OKL,9
223,OMA,13
224,ONT,12
225,ORE,7
226,PAK,53
227,PAL,35
228,PAN,8
229,PAR,2
230,PEI,6
231,PEN,14
232,PER,7
233,PHI,7
234,PIT,1
235,POL,44
236,POR,44
237,PRM,11
238,PUE,5
239,QLD,6
240,QUE,9
241,REU,2
242,RHO,8
243,ROM,52
244,RUC,41
245,RUE,40
246,RUN,30
247,RUS,39
248,RUW,39
249,RWA,5
250,SAK,6
251,SAM,1
252,SAR,46
253,SAS,7
254,SAU,25
255,SCA,13
256,SCI,3
257,SCS,3
258,SCZ,2
259,SDA,9
260,SEN,7
261,SEY,1
262,SIC,49
263,SIE,5
264,SIN,20
265,SOC,4
266,SOL,5
267,SOM,8
268,SPA,63
269,SRL,13
270,STH,1
271,SUD,14
272,SUL,5
273,SUM,3
274,SUR,5
275,SVA,3
276,SWC,3
277,SWE,36
278,SWI,46
279,SWZ,5
280,TAI,10
281,TAN,10
282,TCI,1
283,TCS,57
284,TEN,14
285,TEX,12
286,THA,16
287,TKM,37
288,TOG,6
289,TON,2
290,TRT,4
291,TUA,2
292,TUB,1
293,TUE,49
294,TUN,36
295,TUR,69
296,TVA,13
297,TVL,7
298,TZK,31
299,UGA,9
300,UKR,53
301,UTA,6
302,UZB,32
303,VAN,4
304,VEN,9
305,VER,11
306,VIC,1
307,VIE,23
308,VRG,14
309,WAL,1
310,WAS,7
311,WAU,4
312,WDC,10
313,WHM,47
314,WIN,5
315,WIS,12
316,WSA,5
317,WSB,26
318,WVA,14
319,WYO,5
320,XMS,2
321,YAK,15
322,YEM,18
323,YUG,69
324,YUK,3
325,ZAI,15
326,ZAM,8
327,ZIM,7
