Label,Text,Start,End
Scientific Plant Name,Anethum sowa Kurz,8864,8881
Scientific Plant Name,Aegle marmelos (Linn). Correa. ex Roxb,8984,9022
Medicinal Effect,Astringent,9050,9060
Medicinal Effect,antidysenteric,9065,9079
Medicinal Effect,diarrhea,9129,9137
Medicinal Effect,Cold remedy,9304,9315
Medicinal Effect,wound cleaning,9357,9371
Medicinal Effect,diarrhea,9391,9399
Scientific Plant Name,Artemisia vulgaris,9400,9418
Medicinal Effect,fatigue,9493,9500
Medicinal Effect,diuretic,9569,9577
Medical Condition,diaphoretic,9582,9593
Scientific Plant Name,Bacopa monnieri,9601,9616
Medical Condition,Memory enhancing,9684,9700
Medical Condition,relieves anxiety,9701,9717
Medical Condition,stress,9719,9725
Medical Condition,depression,9730,9740
Medical Condition,longevity enhancer,9741,9759
Scientific Plant Name,Berberis aristata DC,9760,9780
Medical Condition,Blood purifier,9836,9850
Medical Condition,antiperiodic,9851,9863
Medical Condition,diaphoretic,9868,9879
Scientific Plant Name,Chlorophytum borivilianum Sant. and Fernandes,9909,9954
Medical Condition,Aphrodisiac,9995,10006
Medical Condition,tonic,10008,10013
Medical Condition,pain reliever,10015,10028
Scientific Plant Name,Decalepis hamiltonii Wight and Arn,10029,10063
Medical Condition,antioxidant,10133,10144
Medical Condition,antifungal,10149,10159
Scientific Plant Name,Embelia ribes Burm.f,10169,10189
Medical Condition,worm infection,10279,10293
Medical Condition,anorexia,10350,10358
Medical Condition,pain,10396,10400
Scientific Plant Name,Hemidesmus indicus R.Br,10417,10440
Medical Condition,leprosy,10530,10537
Scientific Plant Name,Momordica charantia Linn,10612,10636
Scientific Plant Name,Piper longum Linn,10730,10747
Scientific Plant Name,Picrorhiza Kurrooa Royle ex Benth,10952,10985
Medical Condition,antiasthmatic,11068,11081
Scientific Plant Name,Rauvolfia serpentina Benth. Ex kurz,11111,11146
Medical Condition,insomnia,11220,11228
Medical Condition,psychosis,11230,11239
Medical Condition,worm infection,11241,11255
Medical Condition,epilepsy,11257,11265
Medical Condition,nervous disorders,11267,11284
Medical Condition,anorexia,11286,11294
Medical Condition,mental disorders,11296,11312
Medical Condition,pain,11314,11318
Medical Condition,poisoning,11326,11335
Scientific Plant Name,Sarcostemma acidum (Roxb) Voight,11336,11368
Medical Condition,emetic,11411,11417
Medical Condition,leprosy,11426,11433
Scientific Plant Name,Sida cordifolia Linn,11434,11454
Medical Condition,Anti-inflammatory,11487,11504
Medical Condition,stimulant,11506,11515
Medical Condition,nervous disorders,11575,11592
Scientific Plant Name,Syzygium cumini Linn,11622,11642
Scientific Plant Name,Terminalia bellarica Roxb,11764,11789
Medicinal Effect,diarrhea,11857,11865
Medical Condition,worm,11881,11885
Scientific Plant Name,Terminalia Chebula Retz,11915,11938
Medical Condition,anorexia,12007,12015
Medical Condition,poisoning,12017,12026
Scientific Plant Name,Tribulus terrestris Linn,12092,12116
Medical Condition,Urinary tract disorders,12160,12183
Scientific Plant Name,Cinnamomum zeylanicum Presl,12208,12235
Scientific Plant Name,Elettaria cardamomum Maton,12238,12264
Medical Condition,Respiratory related diseases,12315,12343
Scientific Plant Name,Piper longum,16350,16362
Medical Condition,Stimulant,16485,16494
Scientific Plant Name,Vetiveria zizanioides (Linn.) Nash,16514,16548
Medical Condition,muscular pain,16589,16602
Medical Condition,rheumatism,16605,16615
Medical Condition,liver congestion,16618,16634
Medical Condition,coolant,16636,16643
Scientific Plant Name,A eg le m ar m el os,393,413
Scientific Plant Name,A nn on a sq ua m os a,595,617
Scientific Plant Name,A rt em is ia vu lg ar is,800,825
Scientific Plant Name,B ac op a m on ni er i,1017,1039
Scientific Plant Name,B er be ri s ar is ta ta,1238,1262
Scientific Plant Name,C hl or op hy tu m bo ri vi lia nu m,1453,1489
Scientific Plant Name,D ec al ep is ha m ilt on ii,1673,1701
Scientific Plant Name,E m be lia ri be s,1886,1904
Scientific Plant Name,H em id es m us in di cu s,2087,2113
Scientific Plant Name,M om ar di ca ch as in tia,2299,2325
Scientific Plant Name,P ip er lo ng um,2512,2528
Scientific Plant Name,P ic ro rh iz a ku rr oa,2715,2739
Scientific Plant Name,R au vo lfi a se rp en tin a,2924,2952
Scientific Plant Name,Sa rc os te m m a ac id um,3140,3166
Scientific Plant Name,Si da co rd ifo lia,3348,3367
Scientific Plant Name,Sy zy gi um cu m in i,3531,3552
Scientific Plant Name,Te rm in al ia be lla ri ca,3735,3762
Scientific Plant Name,Te rm in al ia C he bu la,3948,3973
Scientific Plant Name,Tr ib ul us te rr es tr is,4146,4172
