,name,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_parent,plant_name_id,taxon_status,matched_by,matched_name
0,pueraria lobata,967441-1,Pueraria montana var. lobata,Pueraria montana var. lobata (Willd.) Maesen & S.M.Almeida ex Sanjappa & Predeep,Fabaceae,Variety,Pueraria montana,Pueraria montana (Lour.) Merr.,516708-1,Pueraria montana,2537359,Synonym,direct_wcvp_unique,Pueraria lobata
1,digitalis lanata ehrh,802028-1,Digitalis lanata,Digitalis lanata Ehrh.,Plantaginaceae,Species,Digitalis lanata,Digitalis lanata Ehrh.,802028-1,Digitalis,2768027,Accepted,direct_wcvp_w_author_unique,Digitalis lanata Ehrh.
2,berberis empetrifolia lam,106632-1,Berberis empetrifolia,Berberis empetrifolia Lam.,Berberidaceae,Species,Berberis empetrifolia,Berberis empetrifolia Lam.,106632-1,Berberis,2673747,Accepted,direct_wcvp_w_author_unique,Berberis empetrifolia Lam.
3,mentha spicata l,451162-1,Mentha spicata,Mentha spicata L.,Lamiaceae,Species,Mentha spicata,Mentha spicata L.,451162-1,Mentha,125402,Accepted,direct_wcvp_w_author_unique,Mentha spicata L.
4,jeffersonia diphylla (l.) pers,1187336-2,Jeffersonia diphylla,Jeffersonia diphylla (L.) Pers.,Berberidaceae,Species,Jeffersonia diphylla,Jeffersonia diphylla (L.) Pers.,1187336-2,Jeffersonia,2332915,Accepted,direct_wcvp_w_author_unique,Jeffersonia diphylla (L.) Pers.
7,satureja montana,457736-1,Satureja montana,Satureja montana L.,Lamiaceae,Species,Satureja montana,Satureja montana L.,457736-1,Satureja,185794,Accepted,direct_wcvp_unique,Satureja montana
8,sambucus nigra,30122169-2,Sambucus nigra,Sambucus nigra L.,Viburnaceae,Species,Sambucus nigra,Sambucus nigra L.,30122169-2,Sambucus,2486519,Accepted,direct_wcvp,Sambucus nigra
9,cucurbita pepo,292416-1,Cucurbita pepo,Cucurbita pepo L.,Cucurbitaceae,Species,Cucurbita pepo,Cucurbita pepo L.,292416-1,Cucurbita,2747186,Accepted,direct_wcvp_unique,Cucurbita pepo
10,taxus brevifolia,249736-2,Taxus brevifolia,Taxus brevifolia Nutt.,Taxaceae,Species,Taxus brevifolia,Taxus brevifolia Nutt.,249736-2,Taxus,378623,Accepted,direct_wcvp_unique,Taxus brevifolia
11,berberis buxifolia lam,31472-2,Berberis microphylla,Berberis microphylla G.Forst.,Berberidaceae,Species,Berberis microphylla,Berberis microphylla G.Forst.,31472-2,Berberis,2673528,Synonym,direct_wcvp_w_author_unique,Berberis buxifolia Lam.
13,viola odorata l,868828-1,Viola odorata,Viola odorata L.,Violaceae,Species,Viola odorata,Viola odorata L.,868828-1,Viola,2459312,Accepted,direct_wcvp_w_author_unique,Viola odorata L.
14,annickia chlorantha (oliv. )setten & maas (ex-enantiachlorantha oliv,948442-1,Annickia chlorantha,Annickia chlorantha (Oliv.) Setten & Maas,Annonaceae,Species,Annickia chlorantha,Annickia chlorantha (Oliv.) Setten & Maas,948442-1,Annickia,2640759,Accepted,knms_single,Annickia chlorantha Taxon 39: 676 (1990) (Oliv.) Setten & Maas 1990
15,momordica charantia l,293413-1,Momordica charantia,Momordica charantia L.,Cucurbitaceae,Species,Momordica charantia,Momordica charantia L.,293413-1,Momordica,2372864,Accepted,direct_wcvp_w_author_unique,Momordica charantia L.
16,achillea millefolium l,2294-2,Achillea millefolium,Achillea millefolium L.,Asteraceae,Species,Achillea millefolium,Achillea millefolium L.,2294-2,Achillea,2908230,Accepted,direct_wcvp_w_author_unique,Achillea millefolium L.
18,aloe vera,530017-1,Aloe vera,Aloe vera (L.) Burm.f.,Asphodelaceae,Species,Aloe vera,Aloe vera (L.) Burm.f.,530017-1,Aloe,298116,Accepted,direct_wcvp,Aloe vera
19,cinnamomum verum,463752-1,Cinnamomum verum,Cinnamomum verum J.Presl,Lauraceae,Species,Cinnamomum verum,Cinnamomum verum J.Presl,463752-1,Cinnamomum,2721692,Accepted,direct_wcvp_unique,Cinnamomum verum
20,berberis aquifolium pursh,31334-2,Berberis aquifolium,Berberis aquifolium Pursh,Berberidaceae,Species,Berberis aquifolium,Berberis aquifolium Pursh,31334-2,Berberis,2673426,Accepted,direct_wcvp_w_author_unique,Berberis aquifolium Pursh
21,populus tremula,302387-2,Populus tremula,Populus tremula L.,Salicaceae,Species,Populus tremula,Populus tremula L.,302387-2,Populus,2917379,Accepted,direct_wcvp_unique,Populus tremula
23,papaver somniferum,673724-1,Papaver somniferum,Papaver somniferum L.,Papaveraceae,Species,Papaver somniferum,Papaver somniferum L.,673724-1,Papaver,2561497,Accepted,direct_wcvp_unique,Papaver somniferum
24,aspalathus linearis,475647-1,Aspalathus linearis,Aspalathus linearis (Burm.f.) R.Dahlgren,Fabaceae,Species,Aspalathus linearis,Aspalathus linearis (Burm.f.) R.Dahlgren,475647-1,Aspalathus,2655801,Accepted,direct_wcvp_unique,Aspalathus linearis
25,urtica dioica,260630-2,Urtica dioica,Urtica dioica L.,Urticaceae,Species,Urtica dioica,Urtica dioica L.,260630-2,Urtica,2448560,Accepted,direct_wcvp,Urtica dioica
26,shorea roxburghii,77217927-1,Anthoshorea roxburghii,Anthoshorea roxburghii (G.Don) P.S.Ashton & J.Heck.,Dipterocarpaceae,Species,Anthoshorea roxburghii,Anthoshorea roxburghii (G.Don) P.S.Ashton & J.Heck.,77217927-1,Anthoshorea,2592562,Synonym,direct_wcvp_unique,Shorea roxburghii
27,mentha arvensis,30026217-2,Mentha arvensis,Mentha arvensis L.,Lamiaceae,Species,Mentha arvensis,Mentha arvensis L.,30026217-2,Mentha,124385,Accepted,direct_wcvp_unique,Mentha arvensis
28,cuminum cyminum,840882-1,Cuminum cyminum,Cuminum cyminum L.,Apiaceae,Species,Cuminum cyminum,Cuminum cyminum L.,840882-1,Cuminum,2747364,Accepted,direct_wcvp_unique,Cuminum cyminum
29,berberis koreana palib,106819-1,Berberis koreana,Berberis koreana Palib.,Berberidaceae,Species,Berberis koreana,Berberis koreana Palib.,106819-1,Berberis,2674019,Accepted,direct_wcvp_w_author_unique,Berberis koreana Palib.
30,angelica sinensis,77065778-1,Angelica sinensis,Angelica sinensis (Oliv.) Diels,Apiaceae,Species,Angelica sinensis,Angelica sinensis (Oliv.) Diels,77065778-1,Angelica,2639272,Accepted,direct_wcvp_unique,Angelica sinensis
32,ruta graveolens,775099-1,Ruta graveolens,Ruta graveolens L.,Rutaceae,Species,Ruta graveolens,Ruta graveolens L.,775099-1,Ruta,2527408,Accepted,direct_wcvp_unique,Ruta graveolens
33,picea abies,262609-1,Picea abies,Picea abies (L.) H.Karst.,Pinaceae,Species,Picea abies,Picea abies (L.) H.Karst.,262609-1,Picea,380406,Accepted,direct_wcvp_unique,Picea abies
35,sapindus saponaria,30035906-2,Sapindus saponaria,Sapindus saponaria L.,Sapindaceae,Species,Sapindus saponaria,Sapindus saponaria L.,30035906-2,Sapindus,2582258,Accepted,direct_wcvp,Sapindus saponaria
36,glycine max,60450240-2,Glycine max,Glycine max (L.) Merr.,Fabaceae,Species,Glycine max,Glycine max (L.) Merr.,60450240-2,Glycine,2827366,Accepted,direct_wcvp_unique,Glycine max
37,hydrastis canadensis,305699-2,Hydrastis canadensis,Hydrastis canadensis L.,Ranunculaceae,Species,Hydrastis canadensis,Hydrastis canadensis L.,305699-2,Hydrastis,2855852,Accepted,direct_wcvp,Hydrastis canadensis
39,berberis vulgaris l,328527-2,Berberis vulgaris,Berberis vulgaris L.,Berberidaceae,Species,Berberis vulgaris,Berberis vulgaris L.,328527-2,Berberis,2674612,Accepted,direct_wcvp_w_author_unique,Berberis vulgaris L.
40,commiphora molmol,127741-1,Commiphora myrrha,Commiphora myrrha (T.Nees) Engl.,Burseraceae,Species,Commiphora myrrha,Commiphora myrrha (T.Nees) Engl.,127741-1,Commiphora,2733582,Synonym,direct_wcvp_unique,Commiphora molmol
41,berberis aristata,106427-1,Berberis aristata,Berberis aristata DC.,Berberidaceae,Species,Berberis aristata,Berberis aristata DC.,106427-1,Berberis,2673438,Accepted,direct_wcvp_unique,Berberis aristata
42,glaucium corniculatum (l.)rud. subsp. corniculatum,673158-1,Glaucium corniculatum,Glaucium corniculatum (L.) Rudolph,Papaveraceae,Species,Glaucium corniculatum,Glaucium corniculatum (L.) Rudolph,673158-1,Glaucium,2826321,Accepted,autoresolution,Glaucium corniculatum
43,corydalis hendersonii hemsl,672272-1,Corydalis hendersonii,Corydalis hendersonii Hemsl.,Papaveraceae,Species,Corydalis hendersonii,Corydalis hendersonii Hemsl.,672272-1,Corydalis,2738816,Accepted,direct_wcvp_w_author_unique,Corydalis hendersonii Hemsl.
44,equisetum myriochaetum,77060052-1,Equisetum myriochaetum,Equisetum myriochaetum Schltdl. & Cham.,Equisetaceae,Species,Equisetum myriochaetum,Equisetum myriochaetum Schltdl. & Cham.,77060052-1,Equisetum,3137125,Accepted,direct_wcvp_unique,Equisetum myriochaetum
45,stahlianthus thorelii gagnep,77147302-1,Curcuma clovisii,Curcuma clovisii Škorničk.,Zingiberaceae,Species,Curcuma clovisii,Curcuma clovisii Škorničk.,77147302-1,Curcuma,266743,Synonym,direct_wcvp_w_author_unique,Stahlianthus thorelii Gagnep.
46,olea europaea,610675-1,Olea europaea,Olea europaea L.,Oleaceae,Species,Olea europaea,Olea europaea L.,610675-1,Olea,355112,Accepted,direct_wcvp_unique,Olea europaea
48,berberis libanotica ehrenb. exc. k. schneid,60450141-2,Berberis libanotica,Berberis libanotica Ehrenb. ex C.K.Schneid.,Berberidaceae,Species,Berberis libanotica,Berberis libanotica Ehrenb. ex C.K.Schneid.,60450141-2,Berberis,2674059,Accepted,knms_single,Berberis libanotica Ill. Handb. Laubholzk. 1: 310 (1905) Ehrenb. ex C.K.Schneid. 1905
50,salvia officinalis,456833-1,Salvia officinalis,Salvia officinalis L.,Lamiaceae,Species,Salvia officinalis,Salvia officinalis L.,456833-1,Salvia,183353,Accepted,direct_wcvp_unique,Salvia officinalis
51,acacia karoo,77087189-1,Vachellia karroo,Vachellia karroo (Hayne) Banfi & Galasso,Fabaceae,Species,Vachellia karroo,Vachellia karroo (Hayne) Banfi & Galasso,77087189-1,Vachellia,2612641,Synonym,knms_single,Acacia karroo Getreue Darstell. Gew. 10: t. 33 (1827) Hayne 1827
52,allium cepa,527795-1,Allium cepa,Allium cepa L.,Amaryllidaceae,Species,Allium cepa,Allium cepa L.,527795-1,Allium,295261,Accepted,direct_wcvp_unique,Allium cepa
