,Region,Number of Taxa
0,ABT,9
1,AFG,51
2,AGE,3
3,AGS,3
4,AGW,4
5,ALA,17
6,ALB,80
7,ALD,1
8,ALG,52
9,ALT,35
10,ALU,4
11,AMU,15
12,AND,7
13,ANG,14
14,ARI,10
15,ARK,12
16,ASC,1
17,ASK,8
18,ASS,30
19,AUT,60
20,AZO,21
21,BAH,5
22,BAL,35
23,BAN,22
24,BEN,9
25,BER,1
26,BGM,51
27,BIS,2
28,BKN,10
29,BLR,52
30,BLT,48
31,BLZ,12
32,BOL,9
33,BOR,4
34,BOT,9
35,BRC,11
36,BRY,26
37,BUL,77
38,BUR,10
39,BZC,5
40,BZE,8
41,BZL,6
42,BZN,9
43,BZS,4
44,CAB,2
45,CAF,13
46,CAL,11
47,CAY,4
48,CBD,15
49,CGS,1
50,CHA,14
51,CHC,45
52,CHH,13
53,CHI,21
54,CHM,21
55,CHN,30
56,CHQ,18
57,CHS,35
58,CHT,23
59,CHX,27
60,CKI,1
61,CLC,4
62,CLM,13
63,CLN,1
64,CLS,4
65,CMN,15
66,CNT,16
67,CNY,23
68,COL,9
69,COM,2
70,CON,9
71,COO,2
72,COR,53
73,COS,15
74,CPP,8
75,CPV,4
76,CRL,3
77,CTA,15
78,CUB,5
79,CVI,7
80,CYP,39
81,CZE,60
82,DEL,12
83,DEN,44
84,DJI,8
85,DOM,7
86,EAI,41
87,ECU,9
88,EGY,26
89,EHM,36
90,ELS,12
91,ERI,15
92,ETH,22
93,FIJ,2
94,FIN,41
95,FLA,12
96,FOR,18
97,FRA,81
98,FRG,4
99,GAB,8
100,GAM,7
101,GEO,17
102,GER,64
103,GGI,9
104,GHA,10
105,GNB,9
106,GNL,9
107,GRB,42
108,GRC,87
109,GST,13
110,GUA,17
111,GUI,10
112,GUY,6
113,HAI,8
114,HAW,1
115,HON,13
116,HUN,61
117,ICE,21
118,IDA,11
119,ILL,17
120,IND,50
121,INI,15
122,IOW,14
123,IRE,35
124,IRK,23
125,IRN,73
126,IRQ,48
127,ITA,82
128,IVO,12
129,JAM,6
130,JAP,17
131,JAW,7
132,KAM,11
133,KAN,10
134,KAZ,47
135,KEN,17
136,KGZ,34
137,KHA,16
138,KOR,19
139,KRA,30
140,KRI,36
141,KRY,55
142,KTY,16
143,KUR,8
144,KUW,7
145,KZN,1
146,LAB,7
147,LAO,16
148,LBR,8
149,LBS,60
150,LBY,31
151,LDV,3
152,LEE,7
153,LES,4
154,LOU,12
155,LSI,8
156,MAG,10
157,MAI,12
158,MAN,10
159,MAS,15
160,MAU,1
161,MDG,3
162,MDR,20
163,MDV,2
164,MIC,16
165,MIN,15
166,MLI,11
167,MLW,11
168,MLY,13
169,MNT,11
170,MOL,8
171,MON,22
172,MOR,51
173,MOZ,12
174,MRN,2
175,MRQ,1
176,MRS,2
177,MRY,16
178,MSI,12
179,MSO,15
180,MTN,6
181,MXC,20
182,MXE,18
183,MXG,16
184,MXI,1
185,MXN,14
186,MXS,21
187,MXT,19
188,MYA,25
189,NAM,9
190,NAT,11
191,NBR,9
192,NCA,17
193,NCB,4
194,NCS,72
195,NDA,10
196,NEB,10
197,NEP,40
198,NET,52
199,NEV,10
200,NFL,9
201,NGA,14
202,NGR,12
203,NIC,13
204,NLA,1
205,NNS,6
206,NOR,41
207,NRU,1
208,NSC,11
209,NSW,2
210,NTA,5
211,NUE,1
212,NUN,6
213,NWC,1
214,NWG,6
215,NWH,13
216,NWJ,14
217,NWM,8
218,NWT,7
219,NWY,16
220,OFS,4
221,OGA,2
222,OHI,17
223,OKL,10
224,OMA,14
225,ONT,15
226,ORE,10
227,PAK,63
228,PAL,38
229,PAN,10
230,PAR,2
231,PEI,9
232,PEN,16
233,PER,10
234,PHI,9
235,PIT,1
236,POL,56
237,POR,49
238,PRM,18
239,PUE,6
240,QLD,7
241,QUE,12
242,REU,2
243,RHO,10
244,ROM,67
245,RUC,53
246,RUE,51
247,RUN,39
248,RUS,52
249,RUW,49
250,RWA,7
251,SAK,10
252,SAM,1
253,SAR,53
254,SAS,9
255,SAU,26
256,SCA,15
257,SCI,3
258,SCS,3
259,SCZ,2
260,SDA,11
261,SEN,9
262,SEY,1
263,SIC,57
264,SIE,7
265,SIN,23
266,SOC,5
267,SOL,5
268,SOM,10
269,SPA,75
270,SRL,16
271,STH,1
272,SUD,18
273,SUL,6
274,SUM,4
275,SUR,7
276,SVA,4
277,SWC,3
278,SWE,46
279,SWI,59
280,SWZ,8
281,TAI,11
282,TAN,13
283,TCI,2
284,TCS,71
285,TEN,16
286,TEX,14
287,THA,17
288,TKM,44
289,TOG,9
290,TON,2
291,TRT,5
292,TUA,2
293,TUB,1
294,TUE,62
295,TUN,40
296,TUR,83
297,TVA,18
298,TVL,11
299,TZK,38
300,UGA,11
301,UKR,67
302,UTA,8
303,UZB,39
304,VAN,4
305,VEN,11
306,VER,14
307,VIC,1
308,VIE,27
309,VRG,16
310,WAL,1
311,WAS,10
312,WAU,4
313,WDC,11
314,WHM,56
315,WIN,6
316,WIS,15
317,WSA,7
318,WSB,36
319,WVA,16
320,WYO,7
321,XMS,2
322,YAK,20
323,YEM,21
324,YUG,85
325,YUK,6
326,ZAI,18
327,ZAM,11
328,ZIM,11
