,Region,Number of Taxa
0,ABT,5
1,AFG,23
2,AGS,2
3,ALA,7
4,ALB,38
5,ALG,24
6,ALT,21
7,ALU,3
8,AMU,10
9,AND,2
10,ANG,5
11,ARI,5
12,ARK,4
13,ASK,5
14,ASS,12
15,AUT,33
16,AZO,8
17,BAH,1
18,BAL,14
19,BAN,7
20,BEN,6
21,BGM,28
22,BIS,1
23,BKN,6
24,BLR,29
25,BLT,27
26,BLZ,5
27,BOL,3
28,BOR,2
29,BOT,5
30,BRC,7
31,BRY,15
32,BUL,39
33,BUR,2
34,BZC,1
35,BZE,3
36,BZL,2
37,BZN,4
38,CAF,7
39,CAL,5
40,CAY,1
41,CBD,4
42,CHA,8
43,CHC,22
44,CHH,4
45,CHI,9
46,CHM,11
47,CHN,15
48,CHQ,10
49,CHS,17
50,CHT,13
51,CHX,16
52,CLC,3
53,CLM,6
54,CLN,1
55,CLS,2
56,CMN,6
57,CNT,7
58,CNY,10
59,COL,5
60,CON,2
61,COO,1
62,COR,25
63,COS,6
64,CPP,3
65,CPV,2
66,CRL,2
67,CTA,10
68,CUB,1
69,CVI,1
70,CYP,17
71,CZE,35
72,DEL,4
73,DEN,25
74,DJI,4
75,DOM,1
76,EAI,17
77,ECU,4
78,EGY,13
79,EHM,17
80,ELS,6
81,ERI,6
82,ETH,9
83,FIJ,1
84,FIN,25
85,FLA,2
86,FOR,11
87,FRA,42
88,FRG,1
89,GAB,3
90,GAM,3
91,GEO,7
92,GER,33
93,GGI,3
94,GHA,4
95,GNB,4
96,GNL,7
97,GRB,25
98,GRC,42
99,GST,4
100,GUA,8
101,GUI,5
102,GUY,2
103,HAI,2
104,HON,6
105,HUN,35
106,ICE,13
107,IDA,6
108,ILL,7
109,IND,21
110,INI,7
111,IOW,7
112,IRE,20
113,IRK,14
114,IRN,33
115,IRQ,18
116,ITA,42
117,IVO,6
118,JAM,1
119,JAP,10
120,JAW,2
121,KAM,6
122,KAN,3
123,KAZ,28
124,KEN,7
125,KGZ,18
126,KHA,11
127,KOR,11
128,KRA,19
129,KRI,14
130,KRY,31
131,KTY,6
132,KUR,5
133,KUW,3
134,LAB,5
135,LAO,4
136,LBR,2
137,LBS,27
138,LBY,13
139,LEE,2
140,LES,1
141,LOU,2
142,LSI,3
143,MAG,6
144,MAI,6
145,MAN,5
146,MAS,7
147,MDG,1
148,MDR,10
149,MDV,1
150,MIC,8
151,MIN,8
152,MLI,7
153,MLW,5
154,MLY,3
155,MNT,6
156,MOL,2
157,MON,14
158,MOR,23
159,MOZ,5
160,MRN,2
161,MRS,2
162,MRY,7
163,MSI,4
164,MSO,4
165,MTN,4
166,MXC,9
167,MXE,7
168,MXG,6
169,MXN,5
170,MXS,9
171,MXT,9
172,MYA,11
173,NAM,4
174,NAT,4
175,NBR,5
176,NCA,7
177,NCB,2
178,NCS,35
179,NDA,5
180,NEB,4
181,NEP,17
182,NET,28
183,NEV,5
184,NFL,5
185,NGA,6
186,NGR,6
187,NIC,6
188,NOR,25
189,NRU,1
190,NSC,5
191,NSW,2
192,NTA,1
193,NUE,1
194,NUN,5
195,NWC,1
196,NWG,2
197,NWH,6
198,NWJ,6
199,NWM,5
200,NWT,5
201,NWY,7
202,OFS,1
203,OHI,7
204,OKL,2
205,OMA,4
206,ONT,8
207,ORE,6
208,PAK,27
209,PAL,13
210,PAN,4
211,PEI,5
212,PEN,7
213,PER,4
214,PHI,4
215,PIT,1
216,POL,31
217,POR,23
218,PRM,10
219,PUE,1
220,QLD,3
221,QUE,6
222,RHO,4
223,ROM,37
224,RUC,30
225,RUE,30
226,RUN,22
227,RUS,29
228,RUW,29
229,RWA,2
230,SAK,7
231,SAM,1
232,SAR,26
233,SAS,4
234,SAU,11
235,SCA,5
236,SCI,1
237,SCS,1
238,SDA,5
239,SEN,4
240,SIC,28
241,SIE,2
242,SIN,12
243,SOC,2
244,SOL,2
245,SOM,4
246,SPA,37
247,SRL,7
248,SUD,9
249,SUL,2
250,SUM,2
251,SUR,2
252,SVA,1
253,SWE,27
254,SWI,32
255,SWZ,4
256,TAI,4
257,TAN,5
258,TCI,1
259,TCS,35
260,TEN,6
261,TEX,4
262,THA,5
263,TKM,21
264,TOG,5
265,TON,1
266,TRT,1
267,TUA,1
268,TUB,1
269,TUE,29
270,TUN,16
271,TUR,38
272,TVA,10
273,TVL,5
274,TZK,19
275,UGA,4
276,UKR,35
277,UTA,5
278,UZB,19
279,VAN,2
280,VEN,4
281,VER,7
282,VIC,1
283,VIE,11
284,VRG,7
285,WAL,1
286,WAS,6
287,WAU,1
288,WDC,3
289,WHM,28
290,WIN,1
291,WIS,8
292,WSA,4
293,WSB,21
294,WVA,7
295,WYO,4
296,YAK,12
297,YEM,9
298,YUG,40
299,YUK,5
300,ZAI,7
301,ZAM,5
302,ZIM,5
