,Region,Number of Taxa
0,ABT,15
1,AFG,68
2,AGE,6
3,AGS,4
4,AGW,10
5,ALA,32
6,ALB,101
7,ALD,2
8,ALG,71
9,ALT,46
10,ALU,4
11,AMU,20
12,AND,10
13,ANG,23
14,ARI,14
15,ARK,27
16,ASC,1
17,ASK,10
18,ASS,41
19,AUT,81
20,AZO,32
21,BAH,6
22,BAL,51
23,BAN,33
24,BEN,19
25,BER,1
26,BGM,74
27,BIS,6
28,BKN,18
29,BLR,73
30,BLT,66
31,BLZ,13
32,BOL,18
33,BOR,13
34,BOT,15
35,BRC,20
36,BRY,32
37,BUL,100
38,BUR,17
39,BZC,13
40,BZE,11
41,BZL,9
42,BZN,14
43,BZS,8
44,CAB,5
45,CAF,24
46,CAL,17
47,CAY,6
48,CBD,27
49,CGS,2
50,CHA,23
51,CHC,71
52,CHH,23
53,CHI,28
54,CHM,28
55,CHN,48
56,CHQ,24
57,CHS,53
58,CHT,28
59,CHX,42
60,CKI,3
61,CLC,5
62,CLM,21
63,CLN,3
64,CLS,5
65,CMN,28
66,CNT,31
67,CNY,34
68,COL,15
69,COM,8
70,CON,21
71,COO,3
72,COR,74
73,COS,18
74,CPP,12
75,CPV,6
76,CRL,7
77,CTA,19
78,CTM,1
79,CUB,7
80,CVI,13
81,CYP,55
82,CZE,81
83,DEL,25
84,DEN,61
85,DJI,10
86,DOM,9
87,EAI,58
88,ECU,18
89,EGY,33
90,EHM,51
91,ELS,13
92,EQG,3
93,ERI,25
94,ETH,36
95,FIJ,5
96,FIN,50
97,FLA,28
98,FOR,18
99,FRA,112
100,FRG,8
101,GAB,19
102,GAL,1
103,GAM,12
104,GEO,32
105,GER,87
106,GGI,17
107,GHA,22
108,GIL,1
109,GNB,15
110,GNL,8
111,GRB,58
112,GRC,114
113,GST,17
114,GUA,20
115,GUI,19
116,GUY,11
117,HAI,10
118,HAW,2
119,HBI,1
120,HON,15
121,HUN,82
122,ICE,22
123,IDA,18
124,ILL,34
125,IND,67
126,INI,32
127,IOW,28
128,IRE,49
129,IRK,29
130,IRN,100
131,IRQ,66
132,ITA,114
133,IVO,23
134,JAM,8
135,JAP,28
136,JAW,18
137,KAM,13
138,KAN,24
139,KAZ,63
140,KEN,29
141,KGZ,49
142,KHA,24
143,KOR,29
144,KRA,38
145,KRI,51
146,KRY,74
147,KTY,31
148,KUR,11
149,KUW,9
150,KZN,4
151,LAB,7
152,LAO,26
153,LBR,16
154,LBS,76
155,LBY,44
156,LDV,5
157,LEE,8
158,LES,7
159,LOU,26
160,LSI,20
161,MAG,12
162,MAI,22
163,MAN,18
164,MAS,29
165,MAU,4
166,MCI,1
167,MDG,10
168,MDR,28
169,MDV,4
170,MIC,32
171,MIN,31
172,MLI,20
173,MLW,19
174,MLY,25
175,MNT,16
176,MOL,16
177,MON,28
178,MOR,70
179,MOZ,21
180,MRN,6
181,MRQ,1
182,MRS,5
183,MRY,31
184,MSI,25
185,MSO,30
186,MTN,13
187,MXC,22
188,MXE,25
189,MXG,19
190,MXI,2
191,MXN,17
192,MXS,23
193,MXT,22
194,MYA,39
195,NAM,14
196,NAT,18
197,NBR,17
198,NCA,33
199,NCB,8
200,NCS,94
201,NDA,17
202,NEB,22
203,NEP,52
204,NET,74
205,NEV,11
206,NFL,12
207,NGA,28
208,NGR,19
209,NIC,15
210,NLA,2
211,NNS,13
212,NOR,55
213,NRU,3
214,NSC,18
215,NSW,3
216,NTA,6
217,NUE,3
218,NUN,5
219,NWC,5
220,NWG,12
221,NWH,24
222,NWJ,30
223,NWM,13
224,NWT,8
225,NWY,33
226,NZN,2
227,NZS,2
228,OFS,7
229,OGA,6
230,OHI,33
231,OKL,24
232,OMA,20
233,ONT,29
234,ORE,17
235,PAK,80
236,PAL,55
237,PAN,14
238,PAR,5
239,PEI,12
240,PEN,33
241,PER,19
242,PHI,19
243,PIT,1
244,POL,78
245,POR,74
246,PRM,25
247,PUE,8
248,QLD,11
249,QUE,24
250,REU,4
251,RHO,24
252,ROD,2
253,ROM,92
254,RUC,72
255,RUE,66
256,RUN,50
257,RUS,68
258,RUW,65
259,RWA,15
260,SAK,14
261,SAM,4
262,SAR,77
263,SAS,13
264,SAU,38
265,SCA,29
266,SCI,4
267,SCS,7
268,SCZ,3
269,SDA,20
270,SEL,1
271,SEN,17
272,SEY,4
273,SIC,81
274,SIE,16
275,SIN,29
276,SOC,6
277,SOL,8
278,SOM,18
279,SPA,106
280,SRL,27
281,STH,1
282,SUD,32
283,SUL,15
284,SUM,15
285,SUR,10
286,SVA,4
287,SWC,5
288,SWE,64
289,SWI,81
290,SWZ,15
291,TAI,25
292,TAN,25
293,TAS,2
294,TCI,3
295,TCS,93
296,TEN,32
297,TEX,28
298,THA,30
299,TKM,59
300,TOG,17
301,TOK,1
302,TON,5
303,TRT,6
304,TUA,2
305,TUB,1
306,TUE,80
307,TUN,59
308,TUR,116
309,TUV,1
310,TVA,24
311,TVL,19
312,TZK,50
313,UGA,20
314,UKR,92
315,URU,3
316,UTA,9
317,UZB,52
318,VAN,8
319,VEN,19
320,VER,28
321,VIC,3
322,VIE,43
323,VNA,2
324,VRG,33
325,WAL,4
326,WAS,18
327,WAU,5
328,WDC,29
329,WHM,71
330,WIN,8
331,WIS,31
332,WSA,8
333,WSB,50
334,WVA,30
335,WYO,10
336,XMS,5
337,YAK,25
338,YEM,32
339,YUG,114
340,YUK,5
341,ZAI,33
342,ZAM,20
343,ZIM,18
