,name,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_parent,plant_name_id,taxon_status,matched_by,matched_name
39,stachys iva,459647-1,Stachys iva,Stachys iva Griseb.,Lamiaceae,Species,Stachys iva,Stachys iva Griseb.,459647-1,Stachys,195205,Accepted,direct_wcvp_unique,Stachys iva
45,helleborus odorus subsp. cyclophyllus,711312-1,Helleborus cyclophyllus,Helleborus cyclophyllus (A.Braun) Boiss.,Ranunculaceae,Species,Helleborus cyclophyllus,Helleborus cyclophyllus (A.Braun) Boiss.,711312-1,Helleborus,2844787,Synonym,direct_wcvp_unique,Helleborus odorus subsp. cyclophyllus
73,cistus creticus l. subsp. eriocephalus (viv.) greuter & burdet,168515-1,Cistus tauricus,Cistus tauricus C.Presl,Cistaceae,Species,Cistus tauricus,Cistus tauricus C.Presl,168515-1,Cistus,2723345,Synonym,knms_single,Cistus creticus subsp. eriocephalus Willdenowia 11: 275 (1981) (Viv.) Greuter & Burdet 1981
97,anthyllis hermanniae l,474699-1,Anthyllis hermanniae,Anthyllis hermanniae L.,Fabaceae,Species,Anthyllis hermanniae,Anthyllis hermanniae L.,474699-1,Anthyllis,2641985,Accepted,direct_wcvp_w_author_unique,Anthyllis hermanniae L.
115,matricaria pubescens (desf.) schultz,236194-1,Otoglyphis pubescens,Otoglyphis pubescens (Desf.) Pomel,Asteraceae,Species,Otoglyphis pubescens,Otoglyphis pubescens (Desf.) Pomel,236194-1,Otoglyphis,3112111,Synonym,knms_single,Matricaria pubescens Bonplandia 8: 369 (1860) Sch.Bip. 1860
159,berberis libanotica ehrenb. exc. k. schneid,60450141-2,Berberis libanotica,Berberis libanotica Ehrenb. ex C.K.Schneid.,Berberidaceae,Species,Berberis libanotica,Berberis libanotica Ehrenb. ex C.K.Schneid.,60450141-2,Berberis,2674059,Accepted,knms_single,Berberis libanotica Ill. Handb. Laubholzk. 1: 310 (1905) Ehrenb. ex C.K.Schneid. 1905
174,alopecurus myosuroides huds,387143-1,Alopecurus myosuroides,Alopecurus myosuroides Huds.,Poaceae,Species,Alopecurus myosuroides,Alopecurus myosuroides Huds.,387143-1,Alopecurus,391472,Accepted,direct_wcvp_w_author_unique,Alopecurus myosuroides Huds.
262,stahlianthus thorelii gagnep,77147302-1,Curcuma clovisii,Curcuma clovisii Škorničk.,Zingiberaceae,Species,Curcuma clovisii,Curcuma clovisii Škorničk.,77147302-1,Curcuma,266743,Synonym,direct_wcvp_w_author_unique,Stahlianthus thorelii Gagnep.
320,achillea coarcata,173896-1,Achillea coarctata,Achillea coarctata Poir.,Asteraceae,Species,Achillea coarctata,Achillea coarctata Poir.,173896-1,Achillea,3109861,Accepted,openrefine_unique,Asteraceae Achillea coarctata Poir.
332,artocarpus tonkinensis,582651-1,Artocarpus tonkinensis,Artocarpus tonkinensis A.Chev. ex Gagnep.,Moraceae,Species,Artocarpus tonkinensis,Artocarpus tonkinensis A.Chev. ex Gagnep.,582651-1,Artocarpus,2654101,Accepted,direct_wcvp_unique,Artocarpus tonkinensis
343,sedum maximum,274211-1,Hylotelephium maximum,Hylotelephium maximum (L.) Holub,Crassulaceae,Species,Hylotelephium maximum,Hylotelephium maximum (L.) Holub,274211-1,Hylotelephium,2483346,Synonym,direct_wcvp_unique,Sedum maximum
361,annickia pilosa (exell) setten &maas (ex-enantia pilosa exell,948448-1,Annickia pilosa,Annickia pilosa (Exell) Setten & Maas,Annonaceae,Species,Annickia pilosa,Annickia pilosa (Exell) Setten & Maas,948448-1,Annickia,2640765,Accepted,knms_single,Annickia pilosa Taxon 39: 676 (1990) (Exell) Setten & Maas 1990
398,gentiana officinalis,368591-1,Gentiana officinalis,Gentiana officinalis Harry Sm.,Gentianaceae,Species,Gentiana officinalis,Gentiana officinalis Harry Sm.,368591-1,Gentiana,2821065,Accepted,direct_wcvp_unique,Gentiana officinalis
412,pycnanthemum muticum,214748-2,Pycnanthemum muticum,Pycnanthemum muticum (Michx.) Pers.,Lamiaceae,Species,Pycnanthemum muticum,Pycnanthemum muticum (Michx.) Pers.,214748-2,Pycnanthemum,171062,Accepted,direct_wcvp_unique,Pycnanthemum muticum
478,hypericum empetrifolium,433403-1,Hypericum empetrifolium,Hypericum empetrifolium Willd.,Hypericaceae,Species,Hypericum empetrifolium,Hypericum empetrifolium Willd.,433403-1,Hypericum,515400,Accepted,direct_wcvp,Hypericum empetrifolium
550,ajuga laxmannii,444609-1,Ajuga laxmannii,Ajuga laxmannii (L.) Benth.,Lamiaceae,Species,Ajuga laxmannii,Ajuga laxmannii (L.) Benth.,444609-1,Ajuga,5308,Accepted,direct_wcvp_unique,Ajuga laxmannii
