,name,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_parent,plant_name_id,taxon_status,matched_by,matched_name
0,oenothera biennis,172755-2,Oenothera biennis,Oenothera biennis L.,Onagraceae,Species,Oenothera biennis,Oenothera biennis L.,172755-2,Oenothera,2399189,Accepted,direct_wcvp_unique,Oenothera biennis
1,piliostigma thonningii (schum.) milne-redh,514346-1,Piliostigma thonningii,Piliostigma thonningii (Schumach.) Milne-Redh.,Fabaceae,Species,Piliostigma thonningii,Piliostigma thonningii (Schumach.) Milne-Redh.,514346-1,Piliostigma,2539801,Accepted,knms_single,Piliostigma thonningii Hooker's Icon. Pl. 35: t. 3460 (1947) (Schumach.) Milne-Redh. 1947
3,corydalis solida subsp.brachylova,77252296-1,Corydalis solida subsp. brachyloba,Corydalis solida subsp. brachyloba (Boiss.) Cullen & P.H.Davis,Papaveraceae,Subspecies,Corydalis solida,Corydalis solida (L.) Clairv.,60454743-2,Corydalis solida,3231877,Accepted,openrefine_unique,Papaveraceae Corydalis solida (L.) Clairv. subsp. brachyloba (Boiss.) Cullen & P.H.Davis
4,sesamum indicum,675971-1,Sesamum indicum,Sesamum indicum L.,Pedaliaceae,Species,Sesamum indicum,Sesamum indicum L.,675971-1,Sesamum,2588550,Accepted,direct_wcvp_unique,Sesamum indicum
8,cinnamomum verum,463752-1,Cinnamomum verum,Cinnamomum verum J.Presl,Lauraceae,Species,Cinnamomum verum,Cinnamomum verum J.Presl,463752-1,Cinnamomum,2721692,Accepted,direct_wcvp_unique,Cinnamomum verum
9,berberis vulgaris,328527-2,Berberis vulgaris,Berberis vulgaris L.,Berberidaceae,Species,Berberis vulgaris,Berberis vulgaris L.,328527-2,Berberis,2674612,Accepted,direct_wcvp_unique,Berberis vulgaris
10,rheum palmatum,696772-1,Rheum palmatum,Rheum palmatum L.,Polygonaceae,Species,Rheum palmatum,Rheum palmatum L.,696772-1,Rheum,2425567,Accepted,direct_wcvp_unique,Rheum palmatum
11,serenoa repens,941782-1,Serenoa repens,Serenoa repens (W.Bartram) Small,Arecaceae,Species,Serenoa repens,Serenoa repens (W.Bartram) Small,941782-1,Serenoa,190787,Accepted,direct_wcvp_unique,Serenoa repens
12,portulaca oleracea,323270-2,Portulaca oleracea,Portulaca oleracea L.,Portulacaceae,Species,Portulaca oleracea,Portulaca oleracea L.,323270-2,Portulaca,2566490,Accepted,direct_wcvp_unique,Portulaca oleracea
14,entada africana guill. & perr,493820-1,Entada africana,Entada africana Guill. & Perr.,Fabaceae,Species,Entada africana,Entada africana Guill. & Perr.,493820-1,Entada,2789428,Accepted,direct_wcvp_w_author_unique,Entada africana Guill. & Perr.
15,carlina acaulis,189213-1,Carlina acaulis,Carlina acaulis L.,Asteraceae,Species,Carlina acaulis,Carlina acaulis L.,189213-1,Carlina,2925901,Accepted,direct_wcvp,Carlina acaulis
16,coffea arabica,747038-1,Coffea arabica,Coffea arabica L.,Rubiaceae,Species,Coffea arabica,Coffea arabica L.,747038-1,Coffea,45400,Accepted,direct_wcvp_unique,Coffea arabica
18,achillea moschata wulfen,876363-1,Achillea erba-rotta subsp. moschata,Achillea erba-rotta subsp. moschata (Wulfen) Vacc.,Asteraceae,Subspecies,Achillea erba-rotta,Achillea erba-rotta All.,50869252-1,Achillea erba-rotta,3109908,Synonym,direct_wcvp_w_author_unique,Achillea moschata Wulfen
