,Region,Number of Taxa
0,ABT,22
1,AFG,78
2,AGE,10
3,AGS,6
4,AGW,14
5,ALA,55
6,ALB,119
7,ALD,3
8,ALG,81
9,ALT,51
10,ALU,5
11,AMU,27
12,AND,12
13,ANG,24
14,ARI,22
15,ARK,51
16,ARU,2
17,ASC,1
18,ASK,15
19,ASS,51
20,AUT,84
21,AZO,32
22,BAH,9
23,BAL,54
24,BAN,39
25,BEN,20
26,BER,2
27,BGM,76
28,BIS,5
29,BKN,20
30,BLR,76
31,BLT,68
32,BLZ,21
33,BOL,26
34,BOR,15
35,BOT,17
36,BRC,30
37,BRY,36
38,BUL,115
39,BUR,19
40,BZC,17
41,BZE,15
42,BZL,14
43,BZN,16
44,BZS,11
45,CAB,5
46,CAF,26
47,CAL,27
48,CAY,7
49,CBD,29
50,CGS,1
51,CHA,25
52,CHC,82
53,CHH,26
54,CHI,38
55,CHM,40
56,CHN,57
57,CHQ,28
58,CHS,66
59,CHT,34
60,CHX,50
61,CKI,3
62,CLC,8
63,CLM,27
64,CLN,6
65,CLS,5
66,CMN,30
67,CNT,56
68,CNY,38
69,COL,31
70,COM,9
71,CON,23
72,COO,2
73,COR,83
74,COS,25
75,CPP,13
76,CPV,7
77,CRL,6
78,CTA,27
79,CUB,14
80,CVI,16
81,CYP,71
82,CZE,86
83,DEL,42
84,DEN,62
85,DJI,14
86,DOM,16
87,DSV,1
88,EAI,75
89,ECU,20
90,EGY,40
91,EHM,56
92,ELS,21
93,EQG,4
94,ERI,29
95,ETH,40
96,FIJ,4
97,FIN,53
98,FLA,47
99,FOR,19
100,FRA,121
101,FRG,10
102,GAB,21
103,GAL,3
104,GAM,13
105,GEO,59
106,GER,87
107,GGI,19
108,GHA,24
109,GNB,16
110,GNL,11
111,GRB,60
112,GRC,133
113,GST,21
114,GUA,31
115,GUI,21
116,GUY,16
117,HAI,17
118,HAW,1
119,HBI,1
120,HON,25
121,HUN,86
122,ICE,24
123,IDA,28
124,ILL,62
125,IND,72
126,INI,60
127,IOW,52
128,IRE,50
129,IRK,36
130,IRN,113
131,IRQ,78
132,ITA,126
133,IVO,25
134,JAM,13
135,JAP,38
136,JAW,21
137,JNF,1
138,KAM,17
139,KAN,45
140,KAZ,73
141,KEN,30
142,KGZ,57
143,KHA,34
144,KOR,41
145,KRA,44
146,KRI,61
147,KRY,84
148,KTY,59
149,KUR,18
150,KUW,10
151,KZN,4
152,LAB,11
153,LAO,31
154,LBR,18
155,LBS,93
156,LBY,54
157,LDV,6
158,LEE,13
159,LES,7
160,LOU,48
161,LSI,22
162,MAG,16
163,MAI,42
164,MAN,31
165,MAS,54
166,MAU,5
167,MCI,1
168,MDG,11
169,MDR,29
170,MDV,5
171,MIC,57
172,MIN,57
173,MLI,22
174,MLW,21
175,MLY,31
176,MNT,29
177,MOL,16
178,MON,33
179,MOR,79
180,MOZ,22
181,MRN,5
182,MRQ,1
183,MRS,4
184,MRY,58
185,MSI,47
186,MSO,55
187,MTN,15
188,MXC,36
189,MXE,43
190,MXG,33
191,MXI,2
192,MXN,29
193,MXS,37
194,MXT,32
195,MYA,45
196,NAM,16
197,NAT,20
198,NBR,31
199,NCA,62
200,NCB,9
201,NCS,105
202,NDA,35
203,NEB,45
204,NEP,59
205,NET,76
206,NEV,19
207,NFL,16
208,NGA,30
209,NGR,21
210,NIC,21
211,NLA,5
212,NNS,13
213,NOR,58
214,NRU,2
215,NSC,31
216,NSW,2
217,NTA,7
218,NUE,2
219,NUN,7
220,NWC,4
221,NWG,12
222,NWH,43
223,NWJ,55
224,NWM,28
225,NWT,12
226,NWY,62
227,OFS,7
228,OGA,6
229,OHI,61
230,OKL,51
231,OMA,24
232,ONT,51
233,ORE,25
234,PAK,91
235,PAL,68
236,PAN,23
237,PAR,11
238,PEI,21
239,PEN,61
240,PER,27
241,PHI,22
242,PIT,1
243,POL,82
244,POR,82
245,PRM,36
246,PUE,13
247,QLD,11
248,QUE,43
249,REU,4
250,RHO,43
251,ROD,1
252,ROM,101
253,RUC,77
254,RUE,71
255,RUN,54
256,RUS,77
257,RUW,67
258,RWA,17
259,SAK,20
260,SAM,3
261,SAR,86
262,SAS,21
263,SAU,43
264,SCA,55
265,SCI,3
266,SCS,9
267,SCZ,2
268,SDA,40
269,SEL,2
270,SEN,19
271,SEY,3
272,SIC,91
273,SIE,18
274,SIN,31
275,SOC,7
276,SOL,8
277,SOM,22
278,SPA,118
279,SRL,30
280,STH,1
281,SUD,34
282,SUL,17
283,SUM,16
284,SUR,13
285,SVA,5
286,SWC,5
287,SWE,66
288,SWI,83
289,SWZ,17
290,TAI,29
291,TAN,26
292,TAS,1
293,TCI,6
294,TCS,105
295,TDC,1
296,TEN,58
297,TEX,60
298,THA,37
299,TKM,67
300,TOG,19
301,TON,4
302,TRT,10
303,TUA,2
304,TUB,1
305,TUE,95
306,TUN,68
307,TUR,135
308,TVA,30
309,TVL,21
310,TZK,58
311,UGA,22
312,UKR,102
313,URU,6
314,UTA,21
315,UZB,60
316,VAN,7
317,VEN,25
318,VER,50
319,VIC,2
320,VIE,48
321,VNA,6
322,VRG,61
323,WAL,3
324,WAS,28
325,WAU,6
326,WDC,43
327,WHM,83
328,WIN,13
329,WIS,57
330,WSA,10
331,WSB,55
332,WVA,56
333,WYO,25
334,XMS,5
335,YAK,31
336,YEM,37
337,YUG,131
338,YUK,10
339,ZAI,35
340,ZAM,22
341,ZIM,20
