,name,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_parent,plant_name_id,taxon_status,matched_by,matched_name
0,scutellaria baicalensis,458155-1,Scutellaria baicalensis,Scutellaria baicalensis Georgi,Lamiaceae,Species,Scutellaria baicalensis,Scutellaria baicalensis Georgi,458155-1,Scutellaria,188938,Accepted,direct_wcvp_unique,Scutellaria baicalensis
1,pausinystalia yohimbe,747599-1,Corynanthe johimbe,Corynanthe johimbe K.Schum.,Rubiaceae,Species,Corynanthe johimbe,Corynanthe johimbe K.Schum.,747599-1,Corynanthe,148191,Synonym,knms_single,Pausinystalia johimbe Actes Soc. Linn. Bordeaux 61: 130 (1906) (K.Schum.) Pierre 1906
2,diospyros virginiana,323180-1,Diospyros virginiana,Diospyros virginiana L.,Ebenaceae,Species,Diospyros virginiana,Diospyros virginiana L.,323180-1,Diospyros,385000,Accepted,direct_wcvp_unique,Diospyros virginiana
3,brassica nigra,287192-1,Mutarda nigra,Mutarda nigra (L.) Bernh.,Brassicaceae,Species,Mutarda nigra,Mutarda nigra (L.) Bernh.,287192-1,Mutarda,2682421,Synonym,direct_wcvp_unique,Brassica nigra
4,nandina domestica thunb,107544-1,Nandina domestica,Nandina domestica Thunb.,Berberidaceae,Species,Nandina domestica,Nandina domestica Thunb.,107544-1,Nandina,2380006,Accepted,direct_wcvp_w_author_unique,Nandina domestica Thunb.
5,cistus creticus l,168230-1,Cistus creticus,Cistus creticus L.,Cistaceae,Species,Cistus creticus,Cistus creticus L.,168230-1,Cistus,2723343,Accepted,direct_wcvp_w_author_unique,Cistus creticus L.
6,euclea natalensis,323328-1,Euclea natalensis,Euclea natalensis A.DC.,Ebenaceae,Species,Euclea natalensis,Euclea natalensis A.DC.,323328-1,Euclea,385329,Accepted,direct_wcvp_unique,Euclea natalensis
7,mentha spicata,451162-1,Mentha spicata,Mentha spicata L.,Lamiaceae,Species,Mentha spicata,Mentha spicata L.,451162-1,Mentha,125402,Accepted,direct_wcvp_unique,Mentha spicata
8,ficus natalensis hoechst,853264-1,Ficus natalensis,Ficus natalensis Hochst.,Moraceae,Species,Ficus natalensis,Ficus natalensis Hochst.,853264-1,Ficus,2811434,Accepted,autoresolution,Ficus natalensis
15,glycyrrhiza glabra,496941-1,Glycyrrhiza glabra,Glycyrrhiza glabra L.,Fabaceae,Species,Glycyrrhiza glabra,Glycyrrhiza glabra L.,496941-1,Glycyrrhiza,2827728,Accepted,direct_wcvp_unique,Glycyrrhiza glabra
