,Region,Number of Taxa
0,ABT,16
1,AFG,73
2,AGE,9
3,AGS,5
4,AGW,12
5,ALA,41
6,ALB,111
7,ALD,3
8,ALG,73
9,ALT,45
10,ALU,4
11,AMU,22
12,AND,10
13,ANG,21
14,ARI,18
15,ARK,37
16,ARU,2
17,ASC,1
18,ASK,10
19,ASS,45
20,AUT,78
21,AZO,29
22,BAH,7
23,BAL,48
24,BAN,35
25,BEN,17
26,BER,2
27,BGM,72
28,BIS,4
29,BKN,18
30,BLR,73
31,BLT,65
32,BLZ,19
33,BOL,21
34,BOR,11
35,BOT,15
36,BRC,21
37,BRY,32
38,BUL,107
39,BUR,18
40,BZC,15
41,BZE,13
42,BZL,12
43,BZN,14
44,BZS,10
45,CAB,4
46,CAF,22
47,CAL,20
48,CAY,5
49,CBD,27
50,CGS,1
51,CHA,22
52,CHC,75
53,CHH,22
54,CHI,31
55,CHM,33
56,CHN,50
57,CHQ,23
58,CHS,59
59,CHT,29
60,CHX,44
61,CKI,2
62,CLC,7
63,CLM,24
64,CLN,4
65,CLS,5
66,CMN,26
67,CNT,43
68,CNY,34
69,COL,22
70,COM,8
71,CON,20
72,COO,2
73,COR,76
74,COS,21
75,CPP,12
76,CPV,7
77,CRL,6
78,CTA,22
79,CUB,12
80,CVI,13
81,CYP,63
82,CZE,80
83,DEL,33
84,DEN,59
85,DJI,13
86,DOM,13
87,DSV,1
88,EAI,66
89,ECU,16
90,EGY,35
91,EHM,51
92,ELS,19
93,EQG,3
94,ERI,26
95,ETH,37
96,FIJ,4
97,FIN,49
98,FLA,33
99,FOR,17
100,FRA,111
101,FRG,9
102,GAB,18
103,GAL,2
104,GAM,11
105,GEO,45
106,GER,80
107,GGI,17
108,GHA,20
109,GNB,14
110,GNL,10
111,GRB,55
112,GRC,123
113,GST,19
114,GUA,26
115,GUI,18
116,GUY,14
117,HAI,14
118,HAW,1
119,HBI,1
120,HON,23
121,HUN,81
122,ICE,22
123,IDA,18
124,ILL,47
125,IND,65
126,INI,47
127,IOW,38
128,IRE,46
129,IRK,30
130,IRN,105
131,IRQ,72
132,ITA,115
133,IVO,21
134,JAM,10
135,JAP,32
136,JAW,18
137,JNF,1
138,KAM,13
139,KAN,31
140,KAZ,67
141,KEN,28
142,KGZ,52
143,KHA,27
144,KOR,34
145,KRA,38
146,KRI,54
147,KRY,78
148,KTY,45
149,KUR,12
150,KUW,9
151,KZN,3
152,LAB,8
153,LAO,29
154,LBR,16
155,LBS,83
156,LBY,49
157,LDV,4
158,LEE,11
159,LES,7
160,LOU,34
161,LSI,19
162,MAG,14
163,MAI,33
164,MAN,23
165,MAS,43
166,MAU,4
167,MCI,1
168,MDG,8
169,MDR,26
170,MDV,3
171,MIC,45
172,MIN,44
173,MLI,19
174,MLW,18
175,MLY,27
176,MNT,20
177,MOL,15
178,MON,28
179,MOR,71
180,MOZ,19
181,MRN,5
182,MRQ,1
183,MRS,4
184,MRY,45
185,MSI,33
186,MSO,41
187,MTN,13
188,MXC,31
189,MXE,37
190,MXG,29
191,MXI,2
192,MXN,24
193,MXS,32
194,MXT,28
195,MYA,39
196,NAM,15
197,NAT,18
198,NBR,23
199,NCA,46
200,NCB,7
201,NCS,99
202,NDA,27
203,NEB,33
204,NEP,55
205,NET,72
206,NEV,15
207,NFL,11
208,NGA,26
209,NGR,19
210,NIC,19
211,NLA,4
212,NNS,11
213,NOR,54
214,NRU,2
215,NSC,23
216,NSW,1
217,NTA,5
218,NUE,2
219,NUN,7
220,NWC,3
221,NWG,10
222,NWH,33
223,NWJ,42
224,NWM,20
225,NWT,9
226,NWY,48
227,OFS,7
228,OGA,5
229,OHI,48
230,OKL,38
231,OMA,20
232,ONT,40
233,ORE,17
234,PAK,84
235,PAL,60
236,PAN,20
237,PAR,10
238,PEI,15
239,PEN,47
240,PER,22
241,PHI,18
242,PIT,1
243,POL,77
244,POR,75
245,PRM,29
246,PUE,11
247,QLD,8
248,QUE,31
249,REU,3
250,RHO,33
251,ROD,1
252,ROM,93
253,RUC,73
254,RUE,66
255,RUN,49
256,RUS,72
257,RUW,64
258,RWA,15
259,SAK,14
260,SAM,3
261,SAR,78
262,SAS,15
263,SAU,39
264,SCA,42
265,SCI,3
266,SCS,6
267,SCZ,1
268,SDA,30
269,SEL,1
270,SEN,16
271,SEY,2
272,SIC,85
273,SIE,15
274,SIN,27
275,SOC,7
276,SOL,7
277,SOM,20
278,SPA,108
279,SRL,26
280,STH,1
281,SUD,31
282,SUL,14
283,SUM,15
284,SUR,12
285,SVA,4
286,SWC,3
287,SWE,62
288,SWI,76
289,SWZ,15
290,TAI,24
291,TAN,23
292,TCI,4
293,TCS,100
294,TDC,1
295,TEN,44
296,TEX,44
297,THA,31
298,TKM,63
299,TOG,18
300,TON,4
301,TRT,9
302,TUA,2
303,TUB,1
304,TUE,88
305,TUN,60
306,TUR,123
307,TVA,25
308,TVL,18
309,TZK,54
310,UGA,20
311,UKR,94
312,URU,6
313,UTA,17
314,UZB,55
315,VAN,7
316,VEN,22
317,VER,37
318,VIC,1
319,VIE,42
320,VNA,5
321,VRG,46
322,WAL,3
323,WAS,18
324,WAU,4
325,WDC,31
326,WHM,76
327,WIN,11
328,WIS,44
329,WSA,8
330,WSB,49
331,WVA,44
332,WYO,18
333,XMS,4
334,YAK,26
335,YEM,34
336,YUG,122
337,YUK,8
338,ZAI,30
339,ZAM,19
340,ZIM,18
