,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,euclea natalensis a.dc,euclea natalensis a.dc,,oldfieldia dactylophylla (welw. ex oliv,euclea natalensis a.dc_tuberculosis,persicaria senegalensis (meisn.) sojak_skin troubles,euclea natalensis_drug-induced liver injury,euclea natalensis a.dc_antimycobacterial,persicaria senegalensis (meisn.) sojak_anti-inflammatory,euclea natalensis a.dc_antifibrotic
1,euclea natalensis,entada africana guill. & perr,,v. doniana sweet,euclea natalensis a.dc_chest related complaints,,oldfieldia dactylophylla (welw. ex oliv_parasitic worm,euclea natalensis a.dc_hepatoprotectant,,euclea natalensis a.dc_hepatoprotective
2,entada africana,persicaria senegalensis (meisn.) sojak,,v. fischeri gurke,euclea natalensis a.dc_abdominal pain,,v. doniana sweet_parasitic worm,euclea natalensis a.dc_antibacterial,,euclea natalensis_antifibrotic
3,entada africana guill. & perr,poria cocos (schw.) wolf,,v. madiensis subsp. milanjiensis (britten) f.white,euclea natalensis a.dc_stomach problems,,v. fischeri gurke_parasitic worm,entada africana guill. & perr_anti-inflammatory,,vitex_anthelmintic
4,e. africana,,,v. mombassae vatke,euclea natalensis a.dc_dysentery,,v. madiensis subsp. milanjiensis (britten) f.white_parasitic worm,entada africana guill. & perr_analgesic,,
5,persicaria senegalensis (meisn.) sojak,,,vitex,entada africana guill. & perr_sprains,,v. mombassae vatke_parasitic worm,persicaria senegalensis (meisn.) sojak_anti-ageing,,
6,persicaria senegalensis,,,v. congolensis de wild and t. durand,entada africana guill. & perr_pain,,vitex_helminthiases,,,
7,p. senegalensis,,,,entada africana guill. & perr_fractures,,e. africana_pain-related conditions,,,
8,poria cocos,,,,,,persicaria senegalensis_chronic inflammation,,,
9,poria cocos (schw.) wolf,,,,,,,,,
