,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,aloe vera,aloe vera,spirulina platensis,symphtytum offi cinalis,psyllium ispaghula_stomach troubles,spirulina platensis_lack of nutrients,symphtytum offi cinalis_cuts,,boswellia_anti-inflammatory,boswellia_anti-infl ammatories
1,aloe,psyllium ispaghula,anamitra cocculus w & a-leaf,eucalyptus,echinacea purpurea_sore throat,spirulina platensis_malnutrition,symphtytum offi cinalis_bruises,,silybum marianum_enhances liver tissue renewal,tagetes erecta_eye health
2,psyllium ispaghula,citrus aurantium,nelumbo nucifera gaertner-leaf,chrysanthemum,sabal serrulata_impotence,citrus aurantium_weight management,crataegus_cardiac weakness,,,symphtytum offi cinalis_joints
3,psyllium,echinacea purpurea,cortex acantho panasis,anamitra cocculus w & a,sabal serrulata_prostate problems,vaccinium myrtillus_night vision,eucalyptus_sore shoulders,,,symphtytum offi cinalis_muscles
4,citrus aurantium,sabal serrulata,rhizoma imperatae,nelumbo nucifera gaertner,boswellia_arthrosis,symphytum officinalis_cuts,,,,annona muricata_health enhancement
5,echinacea purpurea,boswellia,sennae folium,cordyceps sinensis,vaccinium myrtillus_eye diseases,symphytum officinalis_muscles,,,,annona muricata_immunity
6,echinacea,vaccinium myrtillus,frangulae cortex,acanthopanax senticosus,tagetes erecta_night vision,symphytum officinalis_bruises,,,,psyllium_laxative
7,sabal serrulata,tagetes erecta,,senna,tagetes erecta_eye diseases,symphytum officinalis_joints,,,,angelica archangelica_muscle relaxing
8,boswellia,symphytum officinalis,,,crataegus_mild heart conditions,annona muricata_health enhancement,,,,eucalyptus_mouth wash
9,vaccinium myrtillus,annona muricata,,,,annona muricata_immunity,,,,eucalyptus_fat-free muscle building
10,tagetes erecta,angelica archangelica,,,,silybum marianum_liver diseases,,,,eucalyptus_recovery
11,symphytum offi cinalis,kaempferia pafiflora,,,,cordyseps sinensis_kidneys,,,,eucalyptus_antiseptic
12,annona muricata,butea superba,,,,cordyseps sinensis_general well-being,,,,citrus aurantium_weight management
13,angelica archangelica,zingiber officinale,,,,cordyseps sinensis_liver,,,,
14,kaempferia pafi fl ora,piper nigrum,,,,hypericum perforatum_nappy rash,,,,
15,butea superba,polygonum multiflorum,,,,arnica montana_nappy rash,,,,
16,zingiber offi cinale,tinaspora sinensis mer,,,,,,,,
17,piper nigrum,piper lolot c,,,,,,,,
18,polygonum multifl orum,glychyrrhiza uralensis,,,,,,,,
19,tinaspora sinensis,silybum marianum,,,,,,,,
20,piper lolot,cordyseps sinensis,,,,,,,,
21,glychyrrhiza uralensis,gingko biloba,,,,,,,,
22,silybum marianum,valeriana officinalis,,,,,,,,
23,cordyseps,eleutherococcus senticosus,,,,,,,,
24,cordyseps sinensis,hypericum perforatum,,,,,,,,
25,gingko biloba,arnica montana,,,,,,,,
26,valeriana offi cinalis,cimicifuga rasemosa,,,,,,,,
27,eleutherococcus senticosus,crataegus,,,,,,,,
28,hypericum perforatum,,,,,,,,,
29,arnica montana,,,,,,,,,
30,cimicifuga rasemosa,,,,,,,,,
31,crataegus,,,,,,,,,
