,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,laurocerasus officinalis roem,laurocerasus officinalis,l. casei,l. of-ficinalis,,,l. officinalis_oxi-dative damage,,,laurocerasus officinalis roem_renal toxicity
1,l. officinalis,l. officinalis,,l. offici-nalis,,,l. officinalis_bronchitis,,,laurocerasus officinalis roem_neuroprotective
2,laurocerasus officinalis,l. officinalis fruit,,l. officina-lis,,,l. officinalis_hemorrhoids,,,laurocerasus officinalis roem_antioxidant
3,phoenix dactylifera l,phoenix dactylifera,,punicagranatum l,,,l. officinalis_stomach ulcers,,,l. officinalis_neuropro-tective
4,,,,,,,l. officinalis_eczemas,,,l. officinalis_radi-cal scavenging
5,,,,,,,l. officinalis_kidney tissue damage,,,l. officinalis_di-uretic
6,,,,,,,l. officinalis_pain,,,l. officinalis_nephrotoxic
7,,,,,,,l. officinalis_digestive sys-tem problems,,,l. officinalis_analgesic
8,,,,,,,l. officinalis_oxidative stress,,,l. officinalis_antioxidant
9,,,,,,,l. officinalis_oxidative stress-induced kidney injury,,,l. of-ficinalis_anti-inflammatory
10,,,,,,,l. officinalis_oxida-tive stress,,,laurocerasus officinalis_anti-diabetic
11,,,,,,,l. officinalis_anti-diabetic,,,
12,,,,,,,phoenix dactylifera l_oxidative stress,,,
