,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,senna,senna,marshmallow root,gingko,senna_constipation,marshmallow root_cough,senna_indigestion,senna_stimulant laxative,garlic_anti-platelet effect,gymnema sylvestre (retz.) r. br. ex sm_urinary frequency
1,aloe vera,aloe vera,thyme extracts,,aloe vera_diabetes,thyme extracts_cough,,,,
2,gymnema sylvestre (retz.) r. br. ex sm,gymnema sylvestre (retz.) r. br. ex sm,peppermint,,gymnema sylvestre (retz.) r. br. ex sm_diabetes,peppermint_indigestion,,,,
3,tussilago farfara l,tussilago farfara l,fennel,,,fennel_indigestion,,,,
4,urtica diocia l,urtica diocia l,mint,,,mint_indigestion,,,,
5,piper methysticum g.frost,piper methysticum g.frost,aniseed,,,aniseed_indigestion,,,,
6,aristolochia,aristolochia species,ajwain,,,ajwain_indigestion,,,,
7,hypericum,hypericum,karela,,,karela_diabetes,,,,
8,,,cinnamon,,,cinnamon_diabetes,,,,
9,,,fenugreek,,,fenugreek_diabetes,,,,
10,,,okra,,,okra_diabetes,,,,
11,,,bilberry,,,bilberry_diabetes,,,,
12,,,black seed,,,black seed_diabetes,,,,
13,,,sweet potato,,,sweet potato_diabetes,,,,
14,,,turmeric,,,aristolochia species_renal failure,,,,
15,,,ginger,,,aristolochia species_cancer,,,,
16,,,tulsi,,,,,,,
17,,,garlic,,,,,,,
18,,,rosehip,,,,,,,
19,,,willow bark,,,,,,,
20,,,devil's claw,,,,,,,
