,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,musa x paradisiaca,musa x paradisiaca,,citrus,,,citrus_scurvy,,,
1,musa acuminata,musa acuminata,,musatextilis,,,,,,
2,musa balbisiana,musa balbisiana,,ph. canariensis,,,,,,
3,musa corniculata,musa corniculata,,ananas comosus,,,,,,
4,musa discolor,musa discolor,,fortunella,,,,,,
5,musa errans,musa errans,,,,,,,,
6,musa nana,musa nana,,,,,,,,
7,musa oleracea,musa oleracea,,,,,,,,
8,musa superba,musa superba,,,,,,,,
9,musa troglodytarum,musa troglodytarum,,,,,,,,
10,musa textilis,musa textilis,,,,,,,,
11,ensete ventricosum,ensete ventricosum,,,,,,,,
12,ensete,c. celebica,,,,,,,,
13,c. celebica,c. hystrix,,,,,,,,
14,c. hystrix,c. ichangensis,,,,,,,,
15,c. ichangensis,c. latipes,,,,,,,,
16,c. latipes,c. macroptera,,,,,,,,
17,c. macroptera,c. micrantha,,,,,,,,
18,c. micrantha,c. aurantifolia,,,,,,,,
19,c. aurantifolia,c. aurantium,,,,,,,,
20,c. aurantium,c. grandis,,,,,,,,
21,c. grandis,c. indica,,,,,,,,
22,c. indica,c. limon,,,,,,,,
23,c. limon,c. medica,,,,,,,,
24,c. medica,c. paradisi,,,,,,,,
25,c. paradisi,c. reticulata,,,,,,,,
26,c. reticulata,c. sinensis,,,,,,,,
27,c. sinensis,c. tachibana,,,,,,,,
28,c. tachibana,cocos nucifera,,,,,,,,
29,cocos nucifera,phoenix dactylifera,,,,,,,,
30,phoenix dactylifera,ficus carica,,,,,,,,
31,ficus carica,ficus benghalensis,,,,,,,,
32,ficus benghalensis,ficus benjamina,,,,,,,,
33,ficus benjamina,ficus elastica,,,,,,,,
34,ficus elastica,ficus religiosa,,,,,,,,
35,ficus religiosa,ficus sycamorus,,,,,,,,
36,ficus sycamorus,ficus pumila,,,,,,,,
37,ficus pumila,ficus spp,,,,,,,,
38,ficus spp,morus spp,,,,,,,,
39,morus spp,metopium toxiferum,,,,,,,,
40,metopium toxiferum,artocarpus altilis,,,,,,,,
41,artocarpus altilis,artocarpus heterophyllus,,,,,,,,
42,artocarpus heterophyllus,,,,,,,,,
