,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,sideritis scardica griseb,sideritis scardica,,,,,sideritis scardica griseb_common cold,,,s. scardica_antioxidant
1,s. scardica,s. raeseri,,,,,sideritis scardica griseb_aches,,,sideritis scardic_radical scavenging
2,sideritis,sideritis raeseri boiss,,,,,sideritis scardica griseb_flu,,,s. raeseri_radical scavenging
3,sideritis scardica,sideritis scardica griseb,,,,,sideritis scardica griseb_sinus con-gestion,,,sideritis spp_antimicrobial
4,s. raeseri,s. scardica,,,,,sideritis scardica griseb_pains,,,sideritis_antioxidant
5,sideritis raeseri boiss. & heldr,sideritis,,,,,,,,
6,sideritis scardic,sideritis spp,,,,,,,,
7,sideritis spp,capsicum annuum l,,,,,,,,
8,capsicum annuum l,,,,,,,,,
9,"capsicum annuum l., ssp. microcarpum longum conoides, convar. horgoshka",,,,,,,,,
