,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,ensete,ensete ventricosumabyssinian,ceratonia siliquasubterranean,ceratonia siliqua,,,,,,
1,digitaria spp,ensete ventricosumfonio,trifolium subterraneathyme,trifolium subterranea,,,,,,
2,mesembryanthemum eduleiboga,digitaria spp,thymus vulgaristurnip,thymus vulgaris,,,,,,
3,tabernanthe ibogaindigo,mesembryanthemum eduleiboga,brassica rapaafricaabyssinian,brassica rapa,,,,,,
4,telfairia spp,tabernanthe ibogaindigo,oat,ensete ventricosum,,,,,,
5,sorghum,telfairia spp,avena strigosaafrican,avena strigosa,,,,,,
6,corylus spp,sorghum bicolortamarind,oil palm,elaeis guineensis,,,,,,
7,derris,corylus spp,elaeis guineensisair-potato,dioscorea bulbifera,,,,,,
8,eugenia spp,derris ellipticadurian,dioscorea bulbiferaakee,blighia sapida,,,,,,
9,datura,eugenia spp,blighia sapidabambara,voandzeia subterranea,,,,,,
10,corchorus spp,datura metelindian,groundnut,adansonia digitata,,,,,,
11,luffa,corchorus spp,voandzeia subterraneabaobab,lablab niger,,,,,,
12,luffa aegyptiaca,luffa,adansonia digitatabean,vigna unguiculata,,,,,,
13,luffa aegyptica,luffa aegyptiacamango,hyacinth,lagenaria siceraria,,,,,,
14,pastacia vera,luffa aegypticawatermelon,lablab nigerblack-eyed pea,sansieveria trifasciciata,,,,,,
15,abutilon,pastacia vera,vigna unguiculatabottle,butryospermum paradoxum,,,,,,
16,arundinaria spp,abutilon avicinnaeapricot,gourd,physostigma venenosa,,,,,,
17,bambusa spp,arundinaria,lagenaria sicerariabowstring,ricinus communis,,,,,,
18,phyllostachys spp,bambusa spp,hemp,coffea arabica,,,,,,
19,chaenomeles spp,phyllostachys spp,sansieveria trifasciciatabutter,coffea canephora,,,,,,
20,ginkgo,chaenomeles spp,tree,phoenix dactylifera,,,,,,
21,carya spp,ginkgo bilobaginseng,butryospermum paradoxumcalabar,pennisetum purpureum,,,,,,
22,juglans regia,carya spp,physostigma venenosacastor,panicum maximum,,,,,,
23,eucalyptus spp,ginkgo bilobamillet,ricinus communiscoffee,acacia senegal,,,,,,
24,eucalyptus,juglans regia,arabian,indigofera tinctoria,,,,,,
25,,eucalyptus spp,coffea arabicacoffee,hyparrhenia rufa,,,,,,
26,,,coffee libericacoffee,plectranthus esculentus,,,,,,
27,,,robusta,hibiscus cannabinus,,,,,,
