,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,musa textilis,musa textilis,,agave atrovirens,,,,,,
1,urena lobata,urena lobata,,furcraea foetida,,,,,,
2,tilia americana,tilia americana,,agave tequilana,,,,,,
3,clappertonia ficifolia,clappertonia ficifolia,,mauritia vinifera,,,,,,
4,sansevieria senegambica,sansevieria senegambica,,urtica spp,,,,,,
5,muhlenbergia macroura,muhlenbergia macroura,,yucca elata,,,,,,
6,sabal palmetto,sabal palmetto,,,,,,,,
7,furcraea cabuya,furcraea cabuya,,,,,,,,
8,agave cantala,agave cantala,,,,,,,,
9,boehmeria nivea,boehmeria nivea,,,,,,,,
10,abutilon theophrastii,abutilon theophrastii,,,,,,,,
11,furcraea andina,furcraea andina,,,,,,,,
12,furcraea humboldtiana,furcraea humboldtiana,,,,,,,,
13,cocos nucifera,cocos nucifera,,,,,,,,
14,sesbania exaltata,sesbania exaltata,,,,,,,,
15,gossypium herbaceum,gossypium herbaceum,,,,,,,,
16,gossypium barbadense,gossypium barbadense,,,,,,,,
17,gossypium tomentosum,gossypium tomentosum,,,,,,,,
18,gossypium hirsutum,gossypium hirsutum,,,,,,,,
19,gossypium obtusifolium,gossypium obtusifolium,,,,,,,,
20,gossypium arboreum,gossypium arboreum,,,,,,,,
21,chamaerops humilis,chamaerops humilis,,,,,,,,
22,sida rhombifolia,sida rhombifolia,,,,,,,,
23,furcraea hexapetala,furcraea hexapetala,,,,,,,,
24,sesbania bispinosa,sesbania bispinosa,,,,,,,,
25,hibiscus cannabinus,hibiscus cannabinus,,,,,,,,
26,stipa tenacissima,stipa tenacissima,,,,,,,,
27,furcraea macrophylla,furcraea macrophylla,,,,,,,,
28,linum usitatissimum,linum usitatissimum,,,,,,,,
29,cannabis sativa,cannabis sativa,,,,,,,,
30,agave fourcroydes,agave fourcroydes,,,,,,,,
31,agave letonae,agave letonae,,,,,,,,
32,apocynum cannabinum,apocynum cannabinum,,,,,,,,
33,abutilon avicinnae,abutilon avicinnae,,,,,,,,
34,agave lecheguilla,agave lecheguilla,,,,,,,,
35,yucca funifera,yucca funifera,,,,,,,,
36,yucca,corchorus capsularis,,,,,,,,
37,corchorus capsularis,corchorus olitorius,,,,,,,,
38,corchorus olitorius,ceiba pentandra,,,,,,,,
39,ceiba pentandra,caryota urens,,,,,,,,
40,caryota urens,triumfetta tomentosa,,,,,,,,
41,triumfetta tomentosa,phormium tenax,,,,,,,,
42,phormium tenax,asclepias incarnata,,,,,,,,
43,asclepias incarnata,chorisia speciosa,,,,,,,,
44,chorisia speciosa,samuela carnerosana,,,,,,,,
45,samuela carnerosana,borassus flabellifer,,,,,,,,
46,borassus flabellifer,chorisia insigna,,,,,,,,
47,chorisia insigna,broussonetia papyrifera,,,,,,,,
48,broussonetia papyrifera,carludovica palmata,,,,,,,,
49,carludovica palmata,triumfetta rhomboidea,,,,,,,,
50,triumfetta rhomboidea,leopoldina piassaba,,,,,,,,
51,leopoldina piassaba,attalea funifera,,,,,,,,
52,attalea funifera,ananas comosus,,,,,,,,
53,ananas comosus,aechmaea magdalenae,,,,,,,,
54,aechmaea magdalenae,furcraea gigantea,,,,,,,,
55,furcraea gigantea,ceiba aesculifolia,,,,,,,,
56,ceiba aesculifolia,sabal causiarum,,,,,,,,
57,sabal causiarum,bombax ceiba,,,,,,,,
58,bombax ceiba,hibiscus sabdariffa,,,,,,,,
59,bombax,pandanus tectorius,,,,,,,,
60,hibiscus sabdariffa,agave sisalina,,,,,,,,
61,pandanus tectorius,spartium junceum,,,,,,,,
62,agave sisalina,tillandsia usneoides,,,,,,,,
63,spartium junceum,crotalaria juncea,,,,,,,,
64,tillandsia usneoides,fimbristylis umbellaris,,,,,,,,
65,crotalaria juncea,yucca baccata,,,,,,,,
66,fimbristylis umbellaris,yucca whipplei,,,,,,,,
67,yucca baccata,yucca mohavensis,,,,,,,,
68,yucca whipplei,yucca glauca,,,,,,,,
69,yucca mohavensis,agave zapupe,,,,,,,,
70,yucca glauca,,,,,,,,,
71,agave zapupe,,,,,,,,,
