,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,h. hircinum,h. hircinum subsp. majus,,h. hircinumsubsp. majus,h. hircinum subsp. majus_chronic catarrhal affections,h. hircinum subsp. majus_sore throats,h. hircinum_sorethroats,h. hircinum subsp. majus_antifungal,,h. hircinumsubsp. majus_antifungal
1,h. hircinum subsp. majus,h. montanum,,hypericum,h. hircinum subsp. majus_cough,,h. hircinum_fungal pathogens of the respiratory tract,h. hircinum subsp. majus_antiseptic,,h. montanum_anti-inflammatory
2,h. montanum,h. maculatum,,aspergillus glaucus,h. hircinum subsp. majus_asthma,,h. hircinum subsp. majus_respiratory tract affections,h. montanum_antifungal,,h. montanum_anticancer
3,h. maculatum,h. hirsutum,,penicillium paneum,,,h. hircinum subsp. majus_fungal-associated pathologies,h. maculatum_antifungal,,h. hircinum subsp. majus_anticancer
4,h. hirsutum,h. perforatum,,candida,,,,h. hirsutum_antifungal,,h. hircinum subsp. majus_antimicrobial
5,h. perforatum,,,c. parapsilosis,,,,h. perforatum_antifungal,,h. hircinum subsp. majus_anti-inflammatory
6,,,,c. tropicalis,,,,,,h. hircinum subsp. majus_fungal growth inhibition
7,,,,h. hircinum subsp.majus,,,,,,hypericum_antimycotic
8,,,,h. hircinumsusbps. majus,,,,,,hypericum_antifungal
9,,,,punicagranatum,,,,,,
10,,,,candida glabrata,,,,,,
11,,,,cryptococcusneoformans,,,,,,
12,,,,candida spp,,,,,,
13,,,,c. albicans,,,,,,
14,,,,c. lusitaniae,,,,,,
15,,,,c. glabrata,,,,,,
16,,,,c. albica,,,,,,
17,,,,c. krusei,,,,,,
18,,,,bjerkandera,,,,,,
19,,,,aspergillus,,,,,,
20,,,,saccharomyces,,,,,,
21,,,,penicillium,,,,,,
