,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,shorea roxburghii,s. roxburghii,ficus hirta.dacrycarpus imbricatus,rauwolfia,,,shorea roxburghii_cholera,,,calluna vulgaris (l.) hull_skin-protective
1,s. roxburghii,shorea roxburghii,acer prior,a. coriria,,,shorea roxburghii_diarrhea,,,c. vulgaris_antioxidant
2,dacrycarpus imbricatus,dacrycarpus imbricatus,,,,,shorea roxburghii_dysentery,,,c. vulgaris_skin anti-aging and protection
3,pinus dalatensis ferre,pinus dalatensis,,,,,shorea roxburghii_type 2 diabetes mellitus (t2dm,,,c. vulgaris_moderate antimicrobial
4,oldenlandia pinifolia,oldenlandia pinifolia,,,,,cladosporium_acute myeloid leukemia,,,c. vulgaris_antiradical
5,ficus hirta,o. pinifolia,,,,,rauwolfia_acute myeloid leukemia,,,shorea roxburghii_hypoglycemic effect
6,cladosporium,ficus hirta,,,,,,,,s. roxburghii_antidiabetic potentials
7,cladosporium spp,cladosporium,,,,,,,,cladosporium_anti-microbial
8,acer truncatum,acer truncatum,,,,,,,,cladosporium_anti-tumor
9,erythrina abyssinica dc,a. truncatum,,,,,,,,
10,albizia coriaria oliv,acer,,,,,,,,
11,psorospermum febrifugium spach,erythrina abyssinica,,,,,,,,
12,p. febrifugium,albizia coriaria,,,,,,,,
13,gymnosporia senegalensis (lam.) loes,psorospermum febrifugium,,,,,,,,
14,zanthoxylum chalybeum engl,gymnosporia senegalensis,,,,,,,,
15,securidaca longipendunculata fresen,zanthoxylum chalybeum,,,,,,,,
16,s. longipendunculata,securidaca longipendunculata,,,,,,,,
17,acacia hockii de wild,acacia hockii,,,,,,,,
18,gardenia ternifolia subsp. jovis-tonantis (welw.) verdc,gardenia ternifolia,,,,,,,,
19,bridelia micrantha (hochst.) baill,bridelia micrantha,,,,,,,,
20,warbrugia ugandensis sprague,w. ugandensis,,,,,,,,
21,w. ugandensis,c. sanguinolenta,,,,,,,,
22,cryptolepsis sanguinolenta (lindl.) schltr,s. longipendunculata,,,,,,,,
23,c. sanguinolenta,calluna vulgaris,,,,,,,,
24,calluna vulgaris (l.) hull,c. vulgaris aerial,,,,,,,,
25,c. vulgaris,c. vulgaris,,,,,,,,
