,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,pinaropappus roseus less,pinaropappus roseus less,,candida albicans,pinaropappus roseus less_dermatological infections,,helleborus cyclophyllus boiss_cancer,schisandra chinensis (turcz.) baill_antioxidant,pinaropappus roseus less_antifungal,pinaropappus roseus less_antimicobacterial
1,pinaropappus roseus,schisandra chinensis (turcz.) baill,,ziziphus mauritiana,ziziphus jujuba mill_ulcers,,h. cyclophyllus_cancer,schisandra chinensis (turcz.) baill_adaptogenic,,pinaropappus roseus_antimicobacterial
2,schisandra chinensis (turcz.) baill,schisandra rubriflora rehder & e.h.wilson,,ginkgo biloba l,ziziphus jujuba mill_pulmonary ailments,,h. cyclophyllus boiss_cancer,schisandra chinensis (turcz.) baill_antitumour,,akebia quinata_antioxidant
3,schisandra,akebia quinata (houtt.) decne,,,ziziphus jujuba mill_diarrhea,,,schisandra chinensis (turcz.) baill_hepatoprotective,,a. quinata_antioxidant
4,s. rubriflora,ziziphus jujuba mill,,,ziziphus jujuba mill_dysentery,,,schisandra rubriflora rehder & e.h.wilson_antioxidant,,z. jujuba_cytotoxicity
5,schisandra rubriflora,helleborus cyclophyllus boiss,,,ziziphus jujuba mill_fever,,,akebia quinata (houtt.) decne_promote the milk-secretion,,h. cyclophyllus_cytotoxic
6,schisandra rubriflora rehder & e.h.wilson,,,,ziziphus jujuba mill_indigestion,,,akebia quinata (houtt.) decne_analgesic,,
7,akebia quinata,,,,ziziphus jujuba mill_vomiting,,,akebia quinata (houtt.) decne_antiphlogistic,,
8,a. quinata,,,,,,,akebia quinata (houtt.) decne_stimulant of the menstrual flow,,
9,akebia quinata (houtt.) decne,,,,,,,akebia quinata (houtt.) decne_diuretic,,
10,ziziphus jujuba mill,,,,,,,ziziphus jujuba mill_antiprotozoal,,
11,z. jujuba,,,,,,,helleborus cyclophyllus boiss_apoptotic,,
12,ziziphus jujuba,,,,,,,helleborus cyclophyllus boiss_anticancer,,
13,helleborus cyclophyllus boiss,,,,,,,,,
14,h. cyclophyllus,,,,,,,,,
15,h. cyclophyllus boiss,,,,,,,,,
