,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,eugenia uniflora,eugenia uniflora,lavender essential,citrus,,,,,,citrus_anxiolytic-like
1,melissa officinalis,melissa officinalis,lavender,citrus aurantifolia,,,,,,melissa officinalis_natural sedative
2,lavandula angustifolia mill,lavandula angustifolia mill,lavender essential oil,cananga odorata,,,,,,citrus aurantifolia_anxiolytic-like
3,,,leo,,,,,,,
4,,,andmonoterpenes,,,,,,,
5,,,whenlavender,,,,,,,
6,,,malonate insh-sy5y cellslavender,,,,,,,
7,,,andamyloid peptide,,,,,,,
8,,,lavender essential oil (silexan,,,,,,,
9,,,likelinalool,,,,,,,
10,,,linalool,,,,,,,
11,,,ylang-ylang,,,,,,,
12,,,cananga odorata)essential,,,,,,,
13,,,bitter orange,,,,,,,
14,,,acknowledgmentspranarom international,,,,,,,
15,,,melissaofficinalis,,,,,,,
