,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,castanea dentata,castanea dentata,vitex angus,agave spp,,,,,,
1,proboscidea parviflora,proboscidea parviflora,anethum graveolensespart,cucurbita spp,,,,,,
2,apios tuberosa,apios tuberosa,allium cepaopium,vaccinium macrocarpon,,,,,,
3,helianthus tuberosus,helianthus tuberosus,papaver somniferump,morus rubra,,,,,,
4,simmondsia chinensis,simmondsia chinensis,petroselinum crispumpsyllium plantago psylliumpyrethrum chrysanthemum cineriaefolium,carya illinoensis,,,,,,
5,daucus carota,daucus carota,tragopogon porrifoliusscor,diospyros virginiana,,,,,,
6,capparis spinosa,capparis spinosa,ecballium elateriumst,phytolacca americana,,,,,,
7,apium graveolens,apium graveolens,,fragaria virginiana,,,,,,
8,beta vulgaris,beta vulgaris,,iva axillaris,,,,,,
9,coriandrum sativum,coriandrum sativum,,helianthus annuus,,,,,,
10,stipa tenacissima,stipa tenacissima,,juglans nigra,,,,,,
11,foeniculum vulgare,foeniculum vulgare,,zizania aquatica,,,,,,
12,lepidium sativum,lepidium sativum,,persea spp,,,,,,
13,allium sativum,allium sativum,,amaranthus hypochondriacus,,,,,,
14,arundo donax,arundo donax,,maranta arundinacea,,,,,,
15,vitis vinifera,vitis vinifera,,persea americana,,,,,,
16,phalaris tuberosa,phalaris tuberosa,,phaseolus vulgaris,,,,,,
17,hyssopus officinalis,hyssopus officinalis,,phaseolus coccineus,,,,,,
18,laurus nobilis,laurus nobilis,,canavalia ensiformis,,,,,,
19,lavandula officinale,lavandula officinale,,phaseolus acutifolius,,,,,,
20,allium porrum,allium porrum,,crescentia cujete,,,,,,
21,lactuca sativa,lactuca sativa,,prunus serotina,,,,,,
22,althaea officinalis,althaea officinalis,,manihot esculenta,,,,,,
23,brassica nigra,brassica nigra,,castilla elastica,,,,,,
24,myrtus communis,myrtus communis,,monstera deliciosa,,,,,,
25,avena sativa,avena sativa,,hyptis suaveolens,,,,,,
26,nerium oleander,nerium oleander,,sechium edule,,,,,,
27,olea europaea,olea europaea,,salvia spp,,,,,,
28,raphanus sativus,raphanus sativus,,manilkara zapota,,,,,,
29,brassica napus,brassica napus,,gossypium hirsutum,,,,,,
30,rosmarinus officinalis,rosmarinus officinalis,,annona squamosa,,,,,,
31,crocus sativus,crocus sativus,,psidium guajava,,,,,,
32,salvia officinale,salvia officinale,,parthenium argentatum,,,,,,
33,capsella bursa-pastoris,capsella bursa-pastoris,,agave fourcroyes,,,,,,
34,urginea maritima,urginea maritima,,opuntia ficus-indica,,,,,,
35,,,,pachyrrhizus erosus,,,,,,
36,,,,ceiba pentandra,,,,,,
37,,,,agave atrovirens,,,,,,
38,,,,zea mays,,,,,,
39,,,,tagetes patula,,,,,,
40,,,,agave tequilina,,,,,,
41,,,,sophora secundiflora,,,,,,
42,,,,byrsonima crassifolia,,,,,,
43,,,,panicum sonorum,,,,,,
44,,,,carica papaya,,,,,,
45,,,,capsicum frutescens,,,,,,
46,,,,capsicum annuum,,,,,,
47,,,,pimento dioica,,,,,,
48,,,,opuntia spp,,,,,,
49,,,,argemone mexicana,,,,,,
50,,,,cucurbita pepo,,,,,,
51,,,,brosimum alicastrum,,,,,,
52,,,,diospyros ebenaster,,,,,,
53,,,,casimiroa edulis,,,,,,
54,,,,coccoloba uvifera,,,,,,
55,,,,agave sisalana,,,,,,
56,,,,annona muricata,,,,,,
57,,,,ipomoea batatas,,,,,,
58,,,,zea spp,,,,,,
59,,,,physalis ixocarpa,,,,,,
60,,,,opuntia megacanthos,,,,,,
61,,,,vanilla planifolia,,,,,,
62,,,,dioscorea floribunda,,,,,,
63,,,,bixa orellana,,,,,,
64,,,,canna edulis,,,,,,
65,,,,amaranthus caudatus,,,,,,
66,,,,indigofera suffruticosa,,,,,,
67,,,,tropaeolum tuberosum,,,,,,
68,,,,arracacia xanthorrhiza,,,,,,
69,,,,passiflora mollissima,,,,,,
70,,,,phaseolus lunatus,,,,,,
71,,,,lagenaria siceraria,,,,,,
72,,,,bertholletia excelsa,,,,,,
73,,,,schinus molle,,,,,,
74,,,,banisteriopsis caapi,,,,,,
75,,,,theobroma cacao,,,,,,
76,,,,chenopodium pallidicaule,,,,,,
77,,,,anacardium occidentale,,,,,,
78,,,,annona cherimola,,,,,,
79,,,,erythroxylum coca,,,,,,
80,,,,gossypium barbadense,,,,,,
81,,,,paullinia cupana,,,,,,
82,,,,solanum quitoense,,,,,,
83,,,,lepidium meyenii,,,,,,
84,,,,ilex paraguariensis,,,,,,
85,,,,prosopis juliflora,,,,,,
86,,,,nasturtium,,,,,,
87,,,,tropaeolum majus,,,,,,
88,,,,oxalis tuberosa,,,,,,
89,,,,hevea brasiliensis,,,,,,
90,,,,arachis hypogaea,,,,,,
91,,,,ananas comosus,,,,,,
92,,,,solanum tuberosum,,,,,,
93,,,,chenopodium quinoa,,,,,,
94,,,,echinopsis pachanoi,,,,,,
95,,,,cucurbita maxima,,,,,,
96,,,,xanthosoma sagittifolium,,,,,,
97,,,,nicotniana tabacum,,,,,,
98,,,,nicotiana rustica,,,,,,
99,,,,lycopersicon esculentum,,,,,,
100,,,,cyphomandra betacea,,,,,,
101,,,,ullucus tuberosus,,,,,,
102,,,,polymnia sonchifolia,,,,,,
103,,,,dioscorea trifida,,,,,,
104,,,,ilex vomitoria,,,,,,
105,,,,paullinia yoco,,,,,,
106,,,,asparagus,,,,,,
107,,,,asparagus officinalis,,,,,,
108,,,,berberis vulgaris,,,,,,
109,,,,ammophila arenaria,,,,,,
110,,,,brassica oleracea,,,,,,
111,,,,rhamnus catharticus,,,,,,
112,,,,arctium lappa,,,,,,
113,,,,carum carvi,,,,,,
114,,,,anthemis nobilis,,,,,,
115,,,,cichorium intybus,,,,,,
116,,,,agropyron cristatum,,,,,,
117,,,,hesperis matronali,,,,,,
118,,,,taraxacum officinale,,,,,,
119,,,,festuca pratensis,,,,,,
120,,,,festuca ovina,,,,,,
121,,,,festuca arundinacea,,,,,,
122,,,,digitalis purpurea,,,,,,
123,,,,chenopodium bonus-henricus,,,,,,
124,,,,lithospermum officinale,,,,,,
125,,,,sempervivum tectorum,,,,,,
126,,,,humulus lupulus,,,,,,
127,,,,armoracia rusticana,,,,,,
128,,,,chenopodium album,,,,,,
129,,,,rubia tinctoria,,,,,,
130,,,,alopecurus pratensis,,,,,,
131,,,,aconitum napellus,,,,,,
132,,,,atriplex hortensis,,,,,,
133,,,,dactylis glomerata,,,,,,
134,,,,pastinaca sativa,,,,,,
135,,,,pyrus communis,,,,,,
136,,,,portulaca oleracea,,,,,,
137,,,,phalaris arundinacea,,,,,,
138,,,,lolium perenne,,,,,,
139,,,,crambe maritima,,,,,,
140,,,,saponaria officinalis,,,,,,
141,,,,acorus calamus,,,,,,
142,,,,anthoxanthum odoratum,,,,,,
143,,,,valeriana officinalis,,,,,,
144,,,,holcus lanatus,,,,,,
145,,,,nasturtium officinale,,,,,,
146,,,,aloe vera,,,,,,
147,,,,aloe,,,,,,
148,,,,pimpanella anisum,,,,,,
149,,,,cynara scolomus,,,,,,
150,,,,melissa officinalis,,,,,,
151,,,,vicia faba,,,,,,
152,,,,atropa belladonna,,,,,,
153,,,,hyoscyamus niger,,,,,,
154,,,,borago officinalis,,,,,,
155,,,,cynara cardunculus,,,,,,
156,,,,dianthus caryophylleus,,,,,,
157,,,,ceratonia siliqua,,,,,,
158,,,,itex angus-caste,,,,,,
159,,,,anethum graveolens,,,,,,
160,,,,allium cepa,,,,,,
161,,,,papaver somniferum,,,,,,
162,,,,cyperus papyrus,,,,,,
163,,,,petroselinum crispum,,,,,,
164,,,,plantago psyllium,,,,,,
165,,,,chrysanthemum cineriaefolium,,,,,,
166,,,,tragopogon porrifolius,,,,,,
167,,,,scorzonera,,,,,,
168,,,,scorzonera hispanicus,,,,,,
169,,,,ecballium elaterium,,,,,,
170,,,,pachyrrhizus spp,,,,,,
171,,,,cephaelis ipecachuana,,,,,,
172,,,,ulex europaeus,,,,,,
173,,,,pyrethrum,,,,,,
174,,,,psyllium,,,,,,
