,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,l. angustifolia,lavandula angustifolia mill,,m.officinalis subsp. officinalis,matricaria pubescens (desf.) schultz_dehydration,,m. recutita_mild inflammation,lavandula angustifolia mill_antimicrobial,a. grandifolia friv_antimicrobial,l. angustifolia_acetyl-cholinesterase
1,lavandula angustifolia,melissa officinalis l,,melissa officinalis subsp. officinalis,matricaria pubescens (desf.) schultz_ocular affections,,,achillea crithmifolia waldst. & kit_antimicrobial,a. millefolium l_antimicrobial,l. angustifolia_against lipoxygenase
2,lavandula angustifolia mill,pistacia lentiscus var. chia,,matricaria sp,matricaria pubescens (desf.) schultz_coughs,,,achillea crithmifolia waldst. & kit_antioxidant,,l. angustifolia_antioxidant
3,lavandula,matricaria pubescens (desf.) schultz,,subsp. officinalis,matricaria pubescens (desf.) schultz_rheumatic and muscular pains,,,a. grandifolia friv_antioxidant,,l. angustifolia_therapeutic
4,melissa officinalis l,m. recutita l,,,matricaria pubescens (desf.) schultz_allergies,,,a. millefolium l_antioxidant,,m.officinalis subsp. officinalis_anti-lipoxygenase
5,melissa officinalis,achillea crithmifolia waldst. & kit,,,matricaria pubescens (desf.) schultz_scorpion stings,,,thymus thracicus velen_antiplatelet,,m.officinalis subsp. officinalis_antioxidants
6,pistacia lentiscus var. chia,a. grandifolia friv,,,matricaria pubescens (desf.) schultz_toothaches,,,sauromatum venosum_anti-inflammatory,,m.officinalis subsp. officinalis_anti-acetylcholinesterase
7,matricaria pubescens,a. millefolium l,,,matricaria pubescens (desf.) schultz_dysmenorrhea,,,s. venosum_anti-inflammatory,,pistacia lentiscus var. chia_on bone mineral density (bmd) of the lumbar vertebra of ovariectomised rats
8,matricaria pubescens (desf.) schultz,thymus thracicus velen,,,m. recutita l_mild gastrointestinal problems,,,,,pistacia lentiscus var. chia_beneficial impact on the bmd of the sixth lumbar
9,m. pubescens,sauromatum venosum,,,m. recutita l_inflammations of mouth and throat,,,,,matricaria pubescens_anti-inflammatory
10,matricaria recutita,s. venosum,,,m. recutita l_relief of common cold,,,,,matricaria recutita_anti-inflammatory
11,m. recutita l,,,,m. recutita l_ulcers,,,,,m. recutita_anti-inflammatory
12,m. recutita,,,,m. recutita l_irritated skin and mucosae,,,,,
13,matricaria recutita l,,,,sauromatum venosum_pain,,,,,
14,achillea,,,,sauromatum venosum_inflammation,,,,,
15,achillea crithmifolia waldst. & kit,,,,sauromatum venosum_cancerous diseases,,,,,
16,a. grandifolia friv,,,,s. venosum_cancerous diseases,,,,,
17,a. millefolium l,,,,,,,,,
18,thymus thracicus velen,,,,,,,,,
19,thymus thracicus,,,,,,,,,
20,sauromatum venosum (dryand. ex aiton) kunth,,,,,,,,,
21,s. venosum,,,,,,,,,
