,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,salvia officinalis,salvia officinalis,rosmarinus officinalis,salvia l,,,,salvia officinalis_antimicrobial,rosmarinus officinalis_antimicrobial,salvia l_antimicrobial
1,salvia,juniperus communis,origanum vulgare,p. peu-ce,,,,salvia officinalis_antioxidant,rosmarinus officinalis_antioxidant,stachys sylvatica l_antioxidant
2,j. communis,juniperus oxycedrus,thymus pulegioides,t.s longicaulis,,,,juniperus communis_antimicrobial,juniperus oxycedrus_antimicrobial,p. peu-ce_antioxidant
3,juniperus communis l,pinus mugo,thymus tosevii,rosmarinus offici-nalis,,,,pinus mugo_antimicrobial,pinus peuce_antioxidant,t.s longicaulis_antimi-crobial
4,j. communis subsp. alpina (suter) celak,pinus peuce,thymus longicaulis,ab-ies alba mill,,,,pinus mugo_antioxidant,betonica officinalis_antimicrobial,rosmarinus offici-nalis_antioxidant
5,j. oxycedrus l,pinus heldreichii,achillea millefolium,a. borisii-regis mattf,,,,pinus peuce_antimicrobial,satureja montana_antimicrobial,rosmarinus offici-nalis_antimicrobial
6,j. oxycedrus,pinus sylvestris,,micro-meria albanica (griceb. ex k. mal) silic,,,,pinus heldreichii_antimicrobial,stachys sylvatica_antimicrobial,
7,juniperus oxycedrus l,pinus nigra,,origanum vul-gare l,,,,pinus heldreichii_antioxidant,thymus longicaulis_antimicrobial,
8,p. mugo,betonica officinalis,,th. pulegioides l. subsp. montanus,,,,pinus sylvestris_antimicrobial,,
9,pinus mugo turra,hyssopus officinalis,,th. to-sevii velen,,,,pinus sylvestris_antioxidant,,
10,pinus mugo,micromeria albanica,,th. longicaulis presl,,,,pinus nigra_antimicrobial,,
11,p. peuce,satureja montana,,hyper-icum perforatum l,,,,pinus nigra_antioxidant,,
12,p. peuce griseb,stachys sylvatica,,a.millefolium l,,,,micromeria albanica_antimicrobial,,
13,p. heldreichii,thymus jankae,,til-ia cordata mill,,,,pistacia terebinthus_antimicrobial,,
14,p. heldreichii h. christ,hypericum perforatum,,h. perfora-tum,,,,,,
15,p. sylvestris,pistacia terebinthus,,picea abies (l.) h. krasr,,,,,,
16,p. sylvestris l,achillea alexandri-regis,,,,,,,,
17,p. nigra,achillea chrysocoma,,,,,,,,
18,p. nigra j. f. arnold,achillea holosericea,,,,,,,,
19,betonica officinalis l,achillea lingulata,,,,,,,,
20,b. officinalis,artemisia absinthium,,,,,,,,
21,betonica officinalis,artemisia vulgaris,,,,,,,,
22,hyssopus officinalis l,artemisia alba,,,,,,,,
23,m. albanica,tanacetum larcatum,,,,,,,,
24,satureja montana l,betula pendula,,,,,,,,
25,s. montana,tilia cordata,,,,,,,,
26,stachys sylvatica l,,,,,,,,,
27,s. sylvatica,,,,,,,,,
28,thymus jankae celak,,,,,,,,,
29,hypericum perforatum l,,,,,,,,,
30,p. terebinthus,,,,,,,,,
31,pistacia terebinthus l,,,,,,,,,
32,achillea alexandri-regis bornm. & rud-sky,,,,,,,,,
33,a. alexandri-regis,,,,,,,,,
34,a. chrysocoma friv,,,,,,,,,
35,a. holosericea sm,,,,,,,,,
36,a. lingulata waldst. & kit,,,,,,,,,
37,artemisia absinthium l,,,,,,,,,
38,a. vulgaris l,,,,,,,,,
39,a. alba turra,,,,,,,,,
40,a. alba,,,,,,,,,
41,tanacetum larcatum (gris.) kanitz,,,,,,,,,
42,betula pendula roth,,,,,,,,,
43,t. cordata,,,,,,,,,
