,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,satureja,satureja pilosa,willdenowia,,,,satureja_cramps,,,alkanna tinctoria_wound healing
1,satureja pilosa,satureja,,,,,satureja_muscle pain,,,thymus spp_antimicrobial
2,s. pilosa,s. pilosa,,,,,satureja_gastrointestinal disorders,,,thymus spp_antioxidant
3,alkanna tinctoria,s. pilosa aerial,,,,,satureja_infectious diseases,,,thymbra capitata_antibacterial
4,a. tinctoria,alkanna tinctoria,,,,,,,,thymbra capitata_antimicrobial
5,thymus spp,a. tinctoria,,,,,,,,thymbra capitata_antioxidant
6,thymus boissieri,thymus,,,,,,,,thymbra spp_antimicrobial
7,thymbra capitata,thymbra capitata,,,,,,,,thymbra spp_antioxidant
8,thymbra spp,thymbra,,,,,,,,t. longicaulis subsp. longicaulis_antibacterial
9,t. longicaulis subsp. longicaulis,t. longicaulis subsp. longicaulis,,,,,,,,t. longicaulis subsp. longicaulis_antioxidant
10,t. degenii,thymus boissieri,,,,,,,,thymus boissieri_antibacterial
11,t. thracicus,t. degenii,,,,,,,,thymus boissieri_antioxidant
12,t. sibthorpii,t. thracicus,,,,,,,,t. degenii_antibacterial
13,t. striatus,t. sibthorpii,,,,,,,,t. degenii_antioxidant
14,t. longicaulis subsp. chaubardii,t. striatus,,,,,,,,t. thracicus_antibacterial
15,t. holosericeus,t. longicaulis subsp. chaubardii,,,,,,,,t. thracicus_antioxidant
16,t. plasonii,t. holosericeus,,,,,,,,t. sibthorpii_antibacterial
17,centaurea,t. plasonii,,,,,,,,t. sibthorpii_antioxidant
18,centaurea phyllocephala boiss,centaurea phyllocephala,,,,,,,,t. striatus_antibacterial
19,centaurea cyanoides,centaurea,,,,,,,,t. striatus_antioxidant
20,centaurea cyanus,centaurea cyanoides,,,,,,,,centaurea_antidiabetic
21,centaurea sp,centaurea cyanus,,,,,,,,centaurea_antioxidant
22,c. cyanus,c. cyanus,,,,,,,,centaurea_antibacterial
23,,,,,,,,,,centaurea_antirheumatic
24,,,,,,,,,,centaurea_anti-inflammatory
25,,,,,,,,,,centaurea_anti-dandruff
