,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,sechium edule,sechium edule,,pastadendron italica,,solanum melongena_melancholy,,,,
1,sicana odorifera,sicana odorifera,,solanum macrocarpum,,solanum melongena_leprosy,,,,
2,cucumis melo,cucumis melo,,momordica charantia,,solanum melongena_cancer,,,,
3,cucumis,lycopersicon esculentum,,cucurbita moschata,,solanum melongena_insanity,,,,
4,lycopersicon esculentum,solanum melongena,,zea mays,,solanum melongena_hemorrhoids,,,,
5,solanum melongena,artocarpus altilis,,cucurbita pepo,,solanum melongena_pustules,,,,
6,artocarpus altilis,artocarpus heterophyllus,,cucumis sativus,,,,,,
7,artocarpus heterophyllus,artocarpus odoratissima,,cucurbita maxima,,,,,,
8,a. heterophyllus,abelmoschus esculentus,,luffa acutangula,,,,,,
9,artocarpus odoratissima,malus sylvestris,,pastadendron,,,,,,
10,a.odoratissima,pyrus communis,,abelomoschus esculentus,,,,,,
11,abelmoschus esculentus,prunus armeniaca,,capsicum spp,,,,,,
12,malus sylvestris,prunus persica,,phaseolus spp,,,,,,
13,pyrus communis,fragaria chiloensis,,ph. vulgaris,,,,,,
14,prunus armeniaca,fragaria virginica,,vigna,,,,,,
15,prunus,fragaria vesca,,vicia,,,,,,
16,prunus persica,,,cicer,,,,,,
17,fragaria chiloensis,,,cucurbita,,,,,,
18,f. virginica,,,p. persicavar. nectarina,,,,,,
19,f. vesca,,,rubus,,,,,,
20,,,,hibiscus e,,,,,,
21,,,,pisum,,,,,,
