,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,stahlianthus thorelii,stahlianthus thorelii gagnep,,p. odora,stahlianthus thorelii gagnep_cancer,,pulicaria_cold,stahlianthus thorelii gagnep_anti-proliferative,,stahlianthus thorelii_anticancer
1,s. thorelii,euphorbia neriifolia l,,p. dysenterica,stahlianthus thorelii gagnep_osteoarthritis,,pulicaria_abdominal pain,euphorbia neriifolia l_anti-proliferative,,stahlianthus thorelii_cytotoxicity
2,euphorbia neriifolia,pulicaria wightiana,,pulicaria gaertn,stahlianthus thorelii gagnep_inflammation,,pulicaria_inflamed wound,pulicaria wightiana_anti-inflammatory,,euphorbia neriifolia_anticancer
3,euphorbia neriifolia l,,,,euphorbia neriifolia l_cancer,,pulicaria_headache,,,pulicaria_cicatrizant
4,pulicaria,,,,euphorbia neriifolia l_diabetes mellitus,,pulicaria_ankle sprain,,,pulicaria_antimicrobial
5,pulicaria wightiana,,,,euphorbia neriifolia l_inflammation,,pulicaria_bronchitis,,,
6,,,,,pulicaria wightiana_inflammation,,pulicaria_skin diseases,,,
7,,,,,,,pulicaria_flatulent colic,,,
8,,,,,,,pulicaria_muscular- skeletal diseases,,,
9,,,,,,,pulicaria_diabetes,,,
