,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,o. natrix subsp. hispanica,ononis natrix subsp. hispanica,,ononis natrixsubsp. hispanica,,,ononis natrixsubsp. hispanica_staphylococcus aureus,,,ononis natrixsubsp. hispanica_antioxidant
1,ononis natrix subsp. hispanica,,,notopterygium incisum,,,ononis natrixsubsp. hispanica_staphylococcus epidermidis,,,ononis natrixsubsp. hispanica_antibacterial
2,ononis,,,ononis natrix subsp.hispanica,,,ononis_skin disorders,,,ononis natrixsubsp. hispanica_enzyme inhibitory
3,,,,o. natrix subsp.hispanica,,,ononis_gout,,,ononis natrixsubsp. hispanica_antimicrobial
4,,,,,,,ononis_urinaryproblems,,,ononis natrixsubsp. hispanica_cytotoxic abilities
5,,,,,,,ononis_diuretic,,,ononis natrixsubsp. hispanica_dna protection
6,,,,,,,,,,o. natrix subsp. hispanica_cytotoxic
7,,,,,,,,,,ononis natrix subsp. hispanica_anti-mutagenic
8,,,,,,,,,,ononis_antimicrobial
9,,,,,,,,,,ononis_antioxidant
10,,,,,,,,,,ononis_analgesic
11,,,,,,,,,,ononis_cytotoxic
