,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,phellodendron amurense,"phellodendron amurense, p","trichomonas vaginalis),acute",zanthoxylum monophyllumtul,,,zanthoxylum monophyllumtul_eye infections,,,
1,tinospora cordifolia,tinospora cordifolia,1996zanthoxylum monophyllumtul,p. chinense,,,zanthoxylum monophyllumtul_dark vomitus,,,
2,tinospora cordifolia) (willd.) miers,xanthorhizasimplicissima,papaveraceae,b. croatica,,,,,,
3,tinospora,chelidoniummajus,coptidis rhizoma,enantia chlorantha oliv,,,,,,
4,xanthorhizasimplicissima,berberis aristata,barberry,annickia pilosa (exell) setten & maas,,,,,,
5,chelidoniummajus,b. aquifolium,croatica,enantia pilosa exell,,,,,,
6,berberis aristata,b. asiatica,b. aristata(2.8,annickia polycarpa (dc.) setten &maas ex i. m. turner,,,,,,
7,berberis,b. thunbergii,berberine,enantiapolycarpa (dc.) engl. & diels,,,,,,
8,b. aristata,b. vulgaris,referencesannonaceae,coelocline polycarpa a.dc,,,,,,
9,berberis aristata dc,berberis,maas,xylopia macrocarpa a.chev,,,,,,
10,b. aquifolium,b. lycium,ex-enantia chlorantha oliv,rollinia mucosa (jacq.) baill,,,,,,
11,berberis aquifolium pursh,b. aristata,african whitewood,xylopia polycarpa (dc.) oliv,,,,,,
12,b. asiatica,b. pseudumbellata,peye,berberisglauca benth,,,,,,
13,berberis asiatica roxb. ex dc,c. fenestratum,poyobark mell,mahonia leschenaultii (wall.ex wight & arn.) takeda,,,,,,
14,b. thunbergii,annickia chlorantha (oliv.) setten,1929annickia pilosa (exell,mahonia acanthifolia wall. exg.don,,,,,,
15,berberis thunbergii dc,berberis aetnensis c.presl,1965annickia polycarpa (dc.) setten &maas,caulophyllum thalictroides (l.)michaux,,,,,,
16,b. vulgaris,berberis buxifolia lam,ex-enantiapolycarpa (dc.) engl,leontice thalictroides l,,,,,,
17,berberis vulgaris l,mahonia wood,1965coelocline polycarpa a.dc,jeffersonia diphylla (l.) pers,,,,,,
18,berberis aetnensis c.presl,tinospora sinensis (lour.) merr,1949rollinia mucosa (jacq.) baill,mahonia borealis takeda,,,,,,
19,berberis amurensis rupr,tinospora,sweet sop,mahonia fortunei (lindl.) fedde,,,,,,
20,berberis barandana vidal,argemone albiflora hornem,1996xylopia macrocarpa a.chev,mahonia napaulensis dc,,,,,,
21,berberis beaniana c. k. schneid,,1961xylopia polycarpa (dc.) oliv,mahonia griffithii,,,,,,
22,berberis chitria buch.-ham. ex lindl,,1961berberidaceae,mahoniamanipurensis takeda,,,,,,
23,berberis concinna hook.f,,1949berberis amurensis rupr,mahoniasikkimensis takeda,,,,,,
24,berberis congestiflora gay,,1956berberis aquifolium pursh,mahonia simonsii takeda,,,,,,
25,berberis coriaria royle ex lindl,,1882berberis aristata dc,nandina domestica thunb,,,,,,
26,berberis croatica mart. ex schult. &schult.f,,tree turmeric bark,nandina,,,,,,
27,berberis darwinii hook,,2010stemraw herb,sinopodophyllum hexandrum (royle)t.s.ying,,,,,,
28,berberis densiflora raf,,1961berberis asiatica roxb,argemone alba f.lestib,,,,,,
29,berberis floribunda wall. ex g.don,,chutro,,,,,,,
30,berberis fortunei lindl,,rasanjan (nep);marpyashi (newa,,,,,,,
31,berberis guimpelii k. koch & c. d.bouche,,daruharidra,,,,,,,
32,berberis heteropoda schrank,,1961berberis barandana vidal,,,,,,,
33,berberis himalaica ahrendt,,1961berberis beaniana c,,,,,,,
34,berberis horrida gay,,kang song xiao bo,,,,,,,
35,berberis iliensis popov,,1985berberis chitria buch.-ham,,,,,,,
36,berberis integerrima bunge,,"chitra, indian barberry",,,,,,,
37,berberis jaeschkeana c. k. schneid,,whole plant hussaini,,,,,,,
38,berberis jamesonii lindl,,cberberis concinna hook.f,,,,,,,
39,berberis japonica r.br,,1979berberis congestiflora gay michay,,,,,,,
40,berberis kawakamii hayata,,1992berberis coriaria royle ex lindl,,,,,,,
41,berberis koreana palib,,1979berberis croatica mart,,,,,,,
42,berberis lambertii r. parker,,croatian barberry,,,,,,,
43,berberis laurina thunb,,2009berberis darwinii hook,,,,,,,
44,berberis leschenaultii wall. ex wight& arn,,2011berberis densiflora raf,,,,,,,
45,berberis libanotica ehrenb. ex c. k.schneid,,1997bberberis floribunda wall,,,,,,,
46,berberis lycium royle,,nepal barberry,,,,,,,
47,berberis microphylla g. forst,,1951berberis fortunei lindl,,,,,,,
48,berberis heterophylla juss. expoir,,1961berberis guimpelii k,,,,,,,
49,berberis buxifolia lam,,1965aberberis heteropoda schrank,,,,,,,
50,berberis mingetsensis hayata,,1961berberis himalaica ahrendt,,,,,,,
51,berberis nummularia bunge,,referencesberberis horrida gay,,,,,,,
52,berberis morrisonensis hayata,,1992berberis iliensis popov,,,,,,,
53,berberis nepalensis spreng,,1963berberis integerrima bunge,,,,,,,
54,berberis nervosa pursh,,1997bberberis jaeschkeana c,,,,,,,
55,berberis oblonga (regel) c. k.schneid,,1972berberis jamesonii lindl,,,,,,,
56,berberis petiolaris wall. ex g. don,,ex-berberisglauca benth,,,,,,,
57,berberis pseudumbellata r. parker,,1961berberis japonica r.br,,,,,,,
58,berberis repens lindl,,1961berberis kawakamii hayata,,,,,,,
59,berberis sargentiana c. k. schneid,,1960aberberis koreana palib,,,,,,,
60,berberis swaseyi buckley,,korean barberry,,,,,,,
61,berberis tinctoria lesch,,1986leavesberberis lambertii r,,,,,,,
62,berberis trifolia (cham. & schltdl.)schult. & schult.f,,1953berberis laurina thunb,,,,,,,
63,berberis turcomanica kar. ex ledeb,,laurel barberry,,,,,,,
64,berberis umbellata wall. ex g.don,,1961berberis leschenaultii wall,,,,,,,
65,berberis waziristanica hieron,,ex-mahonia leschenaultii (wall.ex wight & arn,,,,,,,
66,b. lycium,,1961berberis libanotica ehrenb,,,,,,,
67,b. pseudumbellata,,2013berberis lycium,,,,,,,
68,c. fenestratum,,royle boxthorn barberry roots,,,,,,,
69,annickia chlorantha (oliv.) setten &maas,,2010cberberis microphylla g,,,,,,,
70,mahonia,,ex-berberis heterophylla juss,,,,,,,
71,tinospora sinensis (lour.) merr,,patagonian barberry,,,,,,,
72,argemone albiflora hornem,,magellanbarberry,,,,,,,
73,,,1972berberis mingetsensis hayata,,,,,,,
74,,,1960bberberis nummularia bunge,,,,,,,
75,,,nummular barberry,,,,,,,
76,,,1993berberis morrisonensis hayata,,,,,,,
77,,,bstem-berberis nepalensis spreng,,,,,,,
78,,,ex-mahonia acanthifolia wall,,,,,,,
79,,,1961berberis nervosa pursh dwarf,,,,,,,
80,,,1961berberis oblonga (regel) c,,,,,,,
81,,,k.schneidoblong barberry,,,,,,,
82,,,1974berberis petiolaris wall,,,,,,,
83,,,1968berberis pseudumbellata r,,,,,,,
84,,,1986berberis repens lindl,,,,,,,
85,,,creeping mahonia,,,,,,,
86,,,creepingoregon grape,,,,,,,
87,,,creepingbarberry,,,,,,,
88,,,1961berberis sargentiana c,,,,,,,
89,,,1992berberis swaseyi buckley,,,,,,,
90,,,1961berberis thunbergii dc,,,,,,,
91,,,japanese barberry,,,,,,,
92,,,1997aberberis tinctoria lesch,,,,,,,
93,,,nilgiri barberry,,,,,,,
94,,,referencesberberis trifolia (cham. & schltdl.)schult. & schult.f,,,,,,,
95,,,1961berberis turcomanica kar,,,,,,,
96,,,cberberis umbellata wall,,,,,,,
97,,,himalayan barberry,,,,,,,
98,,,2012berberis vulgaris l,,,,,,,
99,,,2009berberis waziristanica hieron,,,,,,,
100,,,"ahmad,1992caulophyllum thalictroides (l.)michaux",,,,,,,
101,,,ex-leontice thalictroides l.)blue,,,,,,,
102,,,1961jeffersonia diphylla (l.) pers,,,,,,,
103,,,1961mahonia borealis takeda,,,,,,,
104,,,1961mahonia fortunei (lindl.) fedde,,,,,,,
105,,,1961mahonia napaulensis dc,,,,,,,
106,,,ex-mahonia griffithii,,,,,,,
107,,,ex-mahoniamanipurensis takeda,,,,,,,
108,,,mahoniasikkimensis takeda)nepal,,,,,,,
109,,,1961mahonia simonsii takeda,,,,,,,
110,,,1961nandina domestica thunb,,,,,,,
111,,,1961sinopodophyllum hexandrum (royle)t.s.yinghimalayan,,,,,,,
112,,,may apple,,,,,,,
113,,,indianmay appleroot,,,,,,,
114,,,1961menispermaceae,,,,,,,
115,,,ex-tinospora cordifolia) (willd,,,,,,,
116,,,2003papaveraceae,,,,,,,
117,,,ex-argemone alba f.lestib,,,,,,,
