,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,sechium edule,sechium edule,,pastadendron italica,,solanum melongena_hemorrhoids,,,,
1,sicana odorifera,sicana odorifera,,solanum macrocarpum,,solanum melongena_cancer,,,,
2,cucumis melo,cucumis melo,,momordica charantia,,solanum melongena_leprosie,,,,
3,cucumis,lycopersicon esculentum,,cucurbita moschata,,solanum melongena_insanity,,,,
4,lycopersicon esculentum,solanum melongena,,zea mays,,solanum melongena_melancholy,,,,
5,solanum melongena,artocarpus altilis,,cucurbita pepo,,solanum melongena_pustules,,,,
6,artocarpus altilis,artocarpus heterophyllus,,cucumis sativus,,,,,,
7,artocarpus heterophyllus,artocarpus odoratissima,,cucurbita maxima,,,,,,
8,a. heterophyllus,abelmoschus esculentus,,luffa acutangula,,,,,,
9,artocarpus odoratissima,malus sylvestris,,a.odoratissima,,,,,,
10,abelmoschus esculentus,pyrus communis,,pastadendron,,,,,,
11,malus sylvestris,prunus armeniaca,,abelomoschus esculentus,,,,,,
12,pyrus communis,prunus persica,,capsicum spp,,,,,,
13,prunus armeniaca,fragaria chiloensis,,phaseolus spp,,,,,,
14,prunus,fragaria virginica,,ph. vulgaris,,,,,,
15,prunus persica,fragaria vesca,,vigna,,,,,,
16,fragaria chiloensis,,,vicia,,,,,,
17,f. virginica,,,cicer,,,,,,
18,f. vesca,,,cucurbita,,,,,,
19,,,,p. persicavar. nectarina,,,,,,
20,,,,rubus,,,,,,
21,,,,hibiscus e,,,,,,
22,,,,pisum,,,,,,
