,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,p. zombamontana,p. zombamontana,,,s. gerrardii_mastitis,eugenia_imi,syzygium legatii_mastitis,,eugenia_bial,p. zombamontana_anti-inflammatory
1,eugenia,eugenia,,,,eugenia_a,,,syzygium (myrtaceae) species_imi,p. zombamontana_cytotoxicity
2,syzygium,syzygium (myrtaceae) species,,,,eugenia_itis,,,syzygium (myrtaceae) species_a,p. zombamontana_protecting poultry against infection
3,syzygium legatii,syzygium (myrtaceae,,,,syzygium (myrtaceae_itis,,,syzygium (myrtaceae) species_bial,p. zombamontana_antioxidant
4,s. gerrardii,syzygium legatii,,,,,,,s. gerrardii_,eugenia_against staphylococcus aureus
5,syzygium gerrardii,syzygium gerrardii,,,,,,,s. gerrardii_ococcal,eugenia_antibacterial
6,linum usitatissimum,s. gerrardii,,,,,,,s. gerrardii_anti,eugenia_cytotoxicity
7,cannabis sativa,linum usitatissimum,,,,,,,,syzygium_against staphylococcus aureus
8,cannabis,cannabis sativa,,,,,,,,syzygium_antibacterial
9,lupinus albus,lupinus albus,,,,,,,,syzygium legatii_anti-staphylococcal
10,,,,,,,,,,syzygium legatii_antibacterial
11,,,,,,,,,,s. gerrardii_anti-staphylococcal
12,,,,,,,,,,s. gerrardii_antibacterial
13,,,,,,,,,,syzygium gerrardii_higher toxicity to bacteria
