,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,scrophularia lucida,scrophularia lucida,,s. striatavia,scrophularia ningpoensis hemsl_conjunctivits,scrophularia ningpoensis hemsl_cough,scrophularia lucida_tumor,scrophularia oldhamii oliv_anti-inflammatory,,scrophularianodosa l_wound healing
1,scrophularia lucida l,scrophularia ningpoensis hemsl,,,scrophularia ningpoensis hemsl_febrile diseases,scrophularia auriculata l_health disturbances,scrophularia lucida l_cancer,scrophularia oldhamii oliv_antipyretic,,scrophularia depauperata boiss_diuretic
2,scrophularia,scrophularia auriculata l,,,scrophularia ningpoensis hemsl_skin disorders,scrophularia canina l_health disturbances,scrophularia lucida l_leukemia,scrophularia grossheimii schischkin_diuretic,,scrophularia cryptophilaboiss. et. heldr. boiss_diuretic
3,s. lucida l,scrophularia canina l,,,scrophularia ningpoensis hemsl_constipation,scrophularia variegata m. bieb_health disturbances,scrophularia ningpoensis hemsl_coughdue to exhaustion,scrophularia nodosa l_diuretic,,scrophularia floribunda boiss. et. bal_diuretic
4,s. lucida,scrophularia variegata m. bieb,,,scrophularia auriculata l_inflammatory disorders,scrophularia striata boiss_health disturbances,scrophularia ningpoensis hemsl_inflammatory diseases,,,s. oxysepala_anti-tumor
5,scrophularia ningpoensis hemsl,scrophularia striata boiss,,,scrophularia auriculata l_wound healing,scrophularia nodosa l_wound healing,scrophularia ningpoensis hemsl_eruptions,,,
6,scrophularia auriculata l,scrophularia oldhamii oliv,,,scrophularia auriculata l_skinailments,,scrophularia depauperata boiss_eczema,,,
7,scrophularia canina l,scrophularia grossheimii schischkin,,,scrophularia canina l_inflammatory disorders,,scrophularia depauperata boiss_hemorrhoids,,,
8,scrophularia variegata m. bieb,scrophularia nodosa l,,,scrophularia canina l_wound healing,,scrophularia depauperata boiss_pruritus,,,
9,s. variegata,scrophularia depauperata boiss,,,scrophularia canina l_skinailments,,scrophularia depauperata boiss_eruptive skin diseases,,,
10,scrophularia striata boiss,scrophularia cryptophila boiss. et. heldr. boiss,,,scrophularia variegata m. bieb_inflammatory disorders,,scrophularia depauperata boiss_psoriasis,,,
11,scrophularia oldhamii oliv,scrophularia floribunda boiss. et. bal,,,scrophularia variegata m. bieb_wound healing,,scrophularia cryptophilaboiss. et. heldr. boiss_eczema,,,
12,scrophularia grossheimii schischkin,scrophularia orientalis l,,,scrophularia variegata m. bieb_skinailments,,scrophularia cryptophilaboiss. et. heldr. boiss_hemorrhoids,,,
13,scrophularianodosa l,scrophularia oxysepala,,,scrophularia striata boiss_inflammatory disorders,,scrophularia cryptophilaboiss. et. heldr. boiss_pruritus,,,
14,scrophularia depauperata boiss,s. floribunda,,,scrophularia striata boiss_wound healing,,scrophularia cryptophilaboiss. et. heldr. boiss_eruptive skin diseases,,,
15,scrophularia cryptophilaboiss. et. heldr. boiss,,,,scrophularia striata boiss_skinailments,,scrophularia cryptophilaboiss. et. heldr. boiss_psoriasis,,,
16,scrophularia floribunda boiss. et. bal,,,,scrophularia nodosa l_hemorrhoids,,scrophularia floribunda boiss. et. bal_eczema,,,
17,s. floribunda,,,,scrophularia nodosa l_psoriasis,,scrophularia floribunda boiss. et. bal_hemorrhoids,,,
18,scrophulariaorientalis l,,,,scrophularia nodosa l_eczema,,scrophularia floribunda boiss. et. bal_pruritus,,,
19,s. oxysepala,,,,scrophularia nodosa l_pruritus,,scrophularia floribunda boiss. et. bal_eruptive skin diseases,,,
20,,,,,scrophularia nodosa l_eruptive skin diseases,,scrophularia floribunda boiss. et. bal_psoriasis,,,
21,,,,,,,scrophularia_cancer,,,
22,,,,,,,scrophularia_leukemia,,,
23,,,,,,,s. striatavia_leukemia,,,
24,,,,,,,s. variegata_cancer,,,
25,,,,,,,s. oxysepala_breast cancer,,,
26,,,,,,,s. floribunda_leukemia,,,
