,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,conium maculatum,conium maculatum,poinsettia,veratrum californicum,,viscum spp_abortion,,,,viscum spp_induce abortions
1,cicuta,cicuta,dryophila,veratrum,,phoradendron spp_abortion,,,,
2,dieffenbachia picta,dieffenbachia picta,,nerium oleander,,,,,,
3,dieffenbachia,philodendron,,clavicepspurpurea,,,,,,
4,philodendron,viscum spp,,chlorophyllum molybdites,,,,,,
5,viscum spp,phoradendron spp,,claviceps spp,,,,,,
6,phoradendron spp,euphorbia pulcherrima,,conocybe spp,,,,,,
7,euphorbia pulcherrima,agaricus spp,,collybia dryophila,,,,,,
8,agaricus spp,amanita bisporigera,,fusarium spp,,,,,,
9,amanita bisporigera,amanita muscaria,,helvella spp,,,,,,
10,amanita muscaria,amanita pantherina,,lactarius spp,,,,,,
11,amanita pantherina,amanita phalloides,,laetiporus sulphureus,,,,,,
12,amanita phalloides,amanita porphyria,,lepiota spp,,,,,,
13,amanita porphyria,amanita verna,,,,,,,,
14,amanita verna,aspergillus spp,,,,,,,,
15,aspergillus spp,boletus spp,,,,,,,,
16,boletus spp,clitocybe clavipes,,,,,,,,
17,boletus,clitocybe spp,,,,,,,,
18,clitocybe clavipes,coprinus spp,,,,,,,,
19,clitocybe spp,cortinarius spp,,,,,,,,
20,coprinus spp,entoloma spp,,,,,,,,
21,cortinarius spp,galerina spp,,,,,,,,
22,entoloma spp,gomphus floccosus,,,,,,,,
23,galerina spp,gymnopilus spp,,,,,,,,
24,gomphus floccosus,gyromitra spp,,,,,,,,
25,gymnopilus spp,hebeloma spp,,,,,,,,
26,gyromitra spp,inocybe spp,,,,,,,,
27,hebeloma spp,lycoperdon spp,,,,,,,,
28,inocybe spp,naematoloma fasciculare,,,,,,,,
29,lycoperdon spp,,,,,,,,,
30,naematoloma fasciculare,,,,,,,,,
