,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,psychotria zombamontana,psychotria zombamontana,,pistacia lentiscus l,,,,psychotria zombamontana_antioxidant,psychotria zombamontana_antibacterial,pistacia lentiscus l_antimicrobial
1,,,,p. lentiscus,,,,psychotria zombamontana_anti-inflammatory,psychotria zombamontana_antifungal,pistacia lentiscus l_anti-inflammatory
2,,,,pistacia lentiscus var. chia,,,,,,pistacia lentiscus l_antiatherogenic
3,,,,crocus veluchensis herb,,,,,,p. lentiscus_enzyme inhibition
4,,,,crocus l,,,,,,p. lentiscus_skin beneficial
5,,,,crocus,,,,,,pistacia lentiscus var. chia_antioxidant
6,,,,crocus nivalis bory and chaub,,,,,,
7,,,,crocus sativus l,,,,,,
8,,,,c. sativus,,,,,,
9,,,,c. nivalis,,,,,,
10,,,,c. veluchensis,,,,,,
11,,,,c. olivieri,,,,,,
12,,,,mandragora spp,,,,,,
13,,,,mandragora autumnalis,,,,,,
14,,,,mandragora,,,,,,
15,,,,populus nigra,,,,,,
16,,,,fusarium,,,,,,
17,,,,aspergillus flavus,,,,,,
18,,,,fusarium verticilloides,,,,,,
