,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,pinus,pinus peuce,,pinuspeuce,pinus peuce_digestive system diseases,,pinus_bronchitis,pinus peuce_antioxidant,pinus peuce_analgesic,pinus_expectorants
1,pinus peuce,pinus sylvestris,,pinus l,pinus peuce_skin diseases,,pinus_asthma,pinus peuce_cholesterol lowering,pinus peuce_expectorant,pinus_analgesics
2,pinus sylvestris,pinus nigra,,pinus peucegriseb,pinus peuce_respiratory system disorders,,pinus_common cold,pinus peuce_antiseptic,pinus peuce_tonic,pinus_antisep-tics
3,pinus nigra,pinus mugo,,,pinus peuce_urinary system disorders,,,pinus peuce_antimicrobial,pinus sylvestris_analgesic,pinus_tonics
4,pinus mugo,,,,pinus sylvestris_digestive system diseases,,,pinus peuce_antibacterial,pinus sylvestris_expectorant,
5,,,,,pinus sylvestris_skin diseases,,,pinus peuce_antitumorial,pinus sylvestris_tonic,
6,,,,,pinus sylvestris_respiratory system disorders,,,pinus sylvestris_antioxidant,pinus nigra_analgesic,
7,,,,,pinus sylvestris_urinary system disorders,,,pinus sylvestris_cholesterol lowering,pinus nigra_expectorant,
8,,,,,pinus nigra_digestive system diseases,,,pinus sylvestris_antiseptic,pinus nigra_tonic,
9,,,,,pinus nigra_skin diseases,,,pinus sylvestris_antimicrobial,pinus mugo_analgesic,
10,,,,,pinus nigra_respiratory system disorders,,,pinus sylvestris_antibacterial,pinus mugo_expectorant,
11,,,,,pinus nigra_urinary system disorders,,,pinus sylvestris_antitumorial,pinus mugo_tonic,
12,,,,,pinus mugo_digestive system diseases,,,pinus nigra_antioxidant,,
13,,,,,pinus mugo_skin diseases,,,pinus nigra_cholesterol lowering,,
14,,,,,pinus mugo_respiratory system disorders,,,pinus nigra_antiseptic,,
15,,,,,pinus mugo_urinary system disorders,,,pinus nigra_antimicrobial,,
16,,,,,,,,pinus nigra_antibacterial,,
17,,,,,,,,pinus nigra_antitumorial,,
18,,,,,,,,pinus mugo_antioxidant,,
19,,,,,,,,pinus mugo_cholesterol lowering,,
20,,,,,,,,pinus mugo_antiseptic,,
21,,,,,,,,pinus mugo_antimicrobial,,
22,,,,,,,,pinus mugo_antibacterial,,
23,,,,,,,,pinus mugo_antitumorial,,
