,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,satureja laxiflora c. koch,satureja laxiflora,murata,dicra-nostigma,,,,,,fagopyrum esculentum_antagonizes the in-crease of capillary fragility
1,fagopyrum esculentum,fagopyrum,tirana,g. squamigerum,,,,,,fagopyrum esculentum_antioxidant
2,eschscholzia,fagopyrum esculentum,arbuto-quercetum ilicis,d. leptopodum,,,,,,fagopyrum esculentum_hypotensive
3,argemone,fagopyrum esculentum callus,ononis arvensis,e. douglasii,,,,,,eschscholzia_antioxidant
4,glaucium,eschscholzia,polonica,,,,,,,dicra-nostigma_antioxidant
5,e. pulchella,argemone,compositae,,,,,,,argemone_antioxidant
6,scutellaria baicalensisgeorgii,glaucium,diploma thesis,,,,,,,glaucium_antioxidant
7,s. baicalensis,e. pulchella,papaveraceae,,,,,,,scutellaria baicalensisgeorgii_sedatives
8,,scutellaria baicalensisgeorgii,katerina,,,,,,,scutellaria baicalensisgeorgii_anticoagulants
9,,s. baicalensis,g. elegans,,,,,,,scutellaria baicalensisgeorgii_antioxi-dants
10,,,,,,,,,,scutellaria baicalensisgeorgii_cytostatics
11,,,,,,,,,,scutellaria baicalensisgeorgii_anti-inflammatory
12,,,,,,,,,,scutellaria baicalensisgeorgii_antihypertensive
