,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,ribes nigrum,ribes nigrum,,v.oxycoccus,,,,,,
1,morus nigra,morus nigra,,citrus,,,,,,
2,m. alba,m. alba,,,,,,,,
3,m. rubra,m. rubra,,,,,,,,
4,morus rubra,vitis vinifera,,,,,,,,
5,vitis vinifera,v. vinifera,,,,,,,,
6,v. vinifera,quercus spp,,,,,,,,
7,quercus spp,prunus dulcis var. dulcis,,,,,,,,
8,prunus dulcis var. dulcis,malus sylvestris,,,,,,,,
9,prunus dulcis,prunus armeniaca,,,,,,,,
10,malus sylvestris,berberis vulgaris,,,,,,,,
11,prunus armeniaca,fagus sylvatica,,,,,,,,
12,berberis vulgaris,vaccinium myrtillus,,,,,,,,
13,fagus sylvatica,rubus spp,,,,,,,,
14,vaccinium myrtillus,vaccinium spp,,,,,,,,
15,rubus spp,rubus ursinus,,,,,,,,
16,vaccinium spp,prunus insititia,,,,,,,,
17,rubus ursinus,juglans cinerea,,,,,,,,
18,prunus insititia,prunus avium,,,,,,,,
19,prunus insititia var. italica,castanea sativa,,,,,,,,
20,prunus insititia var. syriaca,rubus chamaemorus,,,,,,,,
21,juglans cinerea,vaccinium vitis-idaea,,,,,,,,
22,prunus avium,malus spp,,,,,,,,
23,castanea sativa,vaccinium macrocarpon,,,,,,,,
24,rubus chamaemorus,ribes spp,,,,,,,,
25,vaccinium vitis-idaea,ribes rubrum,,,,,,,,
26,malus spp,sambucus canadensis,,,,,,,,
27,vaccinium macrocarpon,corylus spp,,,,,,,,
28,vacciniummacrocarpon,actinidia chinensis,,,,,,,,
29,ribes spp,prunus insititia var. italica,,,,,,,,
30,ribes rubrum,crataegus spp,,,,,,,,
31,sambucus canadensis,carya spp,,,,,,,,
32,corylus spp,mespilus germanica,,,,,,,,
33,actinidia chinensis,prunus cerasus,,,,,,,,
34,crataegus spp,morus rubra,,,,,,,,
35,carya spp,prunus persica,,,,,,,,
36,mespilus germanica,olea europaea,,,,,,,,
37,prunus cerasus,pyrus communis,,,,,,,,
38,prunus persica,carya illinoensis,,,,,,,,
39,olea europaea,diospyros spp,,,,,,,,
40,pyrus communis,pistacia vera,,,,,,,,
41,carya illinoensis,prunus domestica,,,,,,,,
42,diospyros spp,prunus americana,,,,,,,,
43,pistacia vera,prunus cerasifera,,,,,,,,
44,prunus domestica,prunus salicina,,,,,,,,
45,prunus americana,cydonia oblonga,,,,,,,,
46,prunus cerasifera,rubus occidentalis,,,,,,,,
47,prunus salicina,rubus idaeus var. idaeus,,,,,,,,
48,cydonia oblonga,fragaria spp,,,,,,,,
49,rubus occidentalis,arbutus unedo,,,,,,,,
50,rubus idaeus var. idaeus,juglans nigra,,,,,,,,
51,fragaria spp,juglans regia,,,,,,,,
52,arbutus unedo,rubus phoenicolasius,,,,,,,,
53,juglans nigra,prunus dulcis,,,,,,,,
54,j. nigra,bertholletia excelsa,,,,,,,,
55,juglans regia,macadamia,,,,,,,,
56,j. regia,macadamia nut,,,,,,,,
57,rubus phoenicolasius,macadamia spp,,,,,,,,
58,bertholletia excelsa,pinus spp,,,,,,,,
59,macadamia spp,juglans spp,,,,,,,,
60,macadamia tetraphylla,j. regia,,,,,,,,
61,macadamia,j. nigra,,,,,,,,
62,pinus spp,coula edulis,,,,,,,,
63,juglans spp,castanea dentata,,,,,,,,
64,coula edulis,corylus cornuta,,,,,,,,
65,c.dentata,fagus spp,,,,,,,,
66,castanea dentata,areca catechu,,,,,,,,
67,corylus cornuta,anacardium occidentale,,,,,,,,
68,fagus spp,castanea spp,,,,,,,,
69,areca catechu,castanea mollissima,,,,,,,,
70,anacardium occidentale,corylus chinensis,,,,,,,,
71,castanea spp,juglans cathayensis,,,,,,,,
72,castanea mollissima,castanea pumila,,,,,,,,
73,corylus chinensis,buchanania lanzan,,,,,,,,
74,juglans cathayensis,corylus avellana,,,,,,,,
75,castanea pumila,lecythis minor,,,,,,,,
76,buchanania lanzan,cocos nucifera,,,,,,,,
77,corylus avellana,corylus maxima,,,,,,,,
78,lecythis minor,cola nitida,,,,,,,,
79,cocos nucifera,corylus americana,,,,,,,,
80,corylus maxima,juglans ailanthifolia,,,,,,,,
81,cola nitida,corylus ferox,,,,,,,,
82,corylus americana,terminalia catappa,,,,,,,,
83,juglans ailanthifolia,castanea crenata,,,,,,,,
84,corylus ferox,canarium indicum,,,,,,,,
85,terminalia catappa,simmondsia chinensis,,,,,,,,
86,terminalia,cola acuminatum,,,,,,,,
87,castanea crenata,pachira aquatica,,,,,,,,
88,canarium indicum,caryocar amygdaliferum,,,,,,,,
89,simmondsia chinensis,sclerocarya caffra,,,,,,,,
90,cola acuminatum,pinus cembroides,,,,,,,,
91,pachira aquatica,ricinodendron rautanenii,,,,,,,,
92,caryocar amygdaliferum,lecythis usitata,,,,,,,,
93,sclerocarya caffra,lecythis ollaria,,,,,,,,
94,pinus cembroides,castanospermum australe,,,,,,,,
95,ricinodendron rautanenii,telfairia pedata,,,,,,,,
96,lecythis usitata,arachis hypogaea,,,,,,,,
97,lecythis ollaria,caryocar spp,,,,,,,,
98,castanospermum australe,pinus pinea,,,,,,,,
99,telfairia pedata,canarium ovatum,,,,,,,,
100,arachis hypogaea,pinus edulis,,,,,,,,
101,caryocar spp,santalum acuminatum,,,,,,,,
102,pinus pinea,macadamia tetraphylla,,,,,,,,
103,canarium ovatum,lecythis pisonis,,,,,,,,
104,pinus edulis,carya ovata,,,,,,,,
105,santalum acuminatum,carya laciniosa,,,,,,,,
106,lecythis pisonis,corylus heterophylla,,,,,,,,
107,carya ovata,caryocar nuciferum,,,,,,,,
108,carya laciniosa,pinus cembra,,,,,,,,
109,corylus heterophylla,terminalia spp,,,,,,,,
110,caryocar nuciferum,inocarpus fagifer,,,,,,,,
111,pinus cembra,corylus colurna,,,,,,,,
112,terminalia spp,trapa spp,,,,,,,,
113,inocarpus fagifer,pterocarya spp,,,,,,,,
114,corylus colurna,cordeauxia edulis,,,,,,,,
115,trapa spp,,,,,,,,,
116,pterocarya spp,,,,,,,,,
117,cordeauxia edulis,,,,,,,,,
