,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,atropa belladonna,atropa belladonna,,pyrethrum,,lathyrus spp_skeletal deformation,,papaver somniferum_pain-killing,atropa belladonna_hypnotic,carica papaya_aid digestion
1,amanita muscaria,amanita muscaria,,citrus,,lathyrus spp_loss of bowel and bladder control,,,amanita muscaria_hallucinogenic,
2,lathyrusspp,lathyrus spp,,,,papaver somniferum_pain,,,claviceps purpurea_hallucinogenic,
3,claviceps purpurea,claviceps purpurea,,,,,,,ipomoea violacea_hallucinogenic,
4,ipomoea violacea,ipomoea violacea,,,,,,,lophophora williamsii_hallucinogenic,
5,lophophorawilliamsii,lophophora williamsii,,,,,,,carica papaya_digestive aid,
6,papaver somniferum,papaver somniferum,,,,,,,,
7,nicotianatabacum,nicotiana tabacum,,,,,,,,
8,carica papaya,carica papaya,,,,,,,,
9,cyperus papyrus,cyperus papyrus,,,,,,,,
