,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,allium sativum,allium,cruciferae,smilax spp,,,allium sativum_hemorrhoids,,,allium sativum_aphrodisiac
1,allium cepa,allium cepa,c. baccatum var. pendulumaji,menthapiperita,,,allium sativum_athlete's foot,,,brassica nigra_stimulating
2,allium canadense,allium sativum,c. annuum var. a.ancho,capparisspinosa,,,allium sativum_cancer,,,
3,allium chinense,zingiber officinalis,c. annuum var. a.banana,crocussativus,,,allium sativum_tuberculosis,,,
4,allium odorum,curcuma longa,c. annuum var. a.bird,capsicum,,,allium sativum_high blood pressure,,,
5,allium schoenoprasum,armoracia rusticana,c. annuum var. glabriusculumbird,c. baccatum var. pendulum,,,,,,
6,allium ampeloprasum,wasabia japonica,c. annuum var. a.cayenne,c. chinense,,,,,,
7,allium scorodoprasum,cinnamomum zeylanicum,c. baccatum var. baccatumcayenne,c. frutescens,,,,,,
8,allium cernuum,cinnamomum cassia,c. annuum var. a.chilipiquin,c. baccatum var. baccatum,,,,,,
9,allium tricoccum,sassafras albidum,c. annuum var. a.habanero,c. pubescens,,,,,,
10,allium fistulosum,ocimum basilicum,c. annuum var. a.jalapeno,crocus,,,,,,
11,zingiber officinalis,mentha spicata,c. annuum var. a.mango,,,,,,,
12,curcuma longa,salvia officinalis,c. annuum var. a.mirasol,,,,,,,
13,armoracia rusticana,betula lenta,c. annuum var. a.paprika,,,,,,,
14,wasabia japonica,gaultheria procumbens,c. annuum var. a.peperoni,,,,,,,
15,cinnamomum zeylanicum,artemisia dracunculus,c. annuum var. a.pepperoncini,,,,,,,
16,cinnamomum cassia,eugenia caryophyllata,c. annuum var. a.poblano,,,,,,,
17,sassafras albidum,pimenta dioica,c. annuum var. a.rocotillo,,,,,,,
18,sassafras,c. annuum,c. annuum var. a.squash,,,,,,,
19,ocimum basilicum,piper nigrum,c. annuum var. a.tabasco,,,,,,,
20,mentha spicata,vanilla planifolia,500-1000-108-ancho,,,,,,,
21,salvia officinalis,pimpinella anisum,1000-1500sandia,,,,,,,
22,betula lenta,carum carvi,,,,,,,,
23,gaultheria procumbens,anethum graveolens,,,,,,,,
24,artemisia dracunculus,foeniculum vulgare,,,,,,,,
25,eugenia caryophyllata,sinapis alba,,,,,,,,
26,pimenta dioica,brassica nigra,,,,,,,,
27,c. annuum var. a,myristica fragrans,,,,,,,,
28,c. annuum var. glabriusculum,,,,,,,,,
29,piper nigrum,,,,,,,,,
30,vanilla planifolia,,,,,,,,,
31,pimpinella anisum,,,,,,,,,
32,carum carvi,,,,,,,,,
33,anethum graveolens,,,,,,,,,
34,foeniculum vulgare,,,,,,,,,
35,sinapis alba,,,,,,,,,
36,brassica nigra,,,,,,,,,
37,myristica fragrans,,,,,,,,,
