,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,podophyllum peltatum,podophyllum peltatum,,aechemea magdalanae,,,chenopodium quinoa_intestinal worms,,,lobelia tupa_emetic
1,alnus glutinosa,alnus glutinosa,,coryphanthus palmeri,,,solidago spp_hepatitis,,,carthamus tinctorius_diuretic
2,alnus oregana,alnus oregana,,caryocarya amygdaliferum,,,tanacetum vulgare_fever,,,carthamus tinctorius_vermifuge
3,alnus rubra,alnus rubra,,sirartia grosvenorii,,,tanacetum vulgare_migraine,,,dichondra spp_purgative
4,betula allaghaniensis,betula allaghaniensis,,diosocrea alata,,,nyssa aquatica_throat cancer,,,dichondra_purgative
5,betula lenta,betula lenta,,,,,nyssa aquatica_leukemia,,,ipomoea pandurata_purgative
6,betula papyrifera,betula papyrifera,,,,,,,,ipomoea purga_cathartic
7,betula pendula,betula pendula,,,,,,,,ipomoea tricolor_purgative
8,carpinus caroliniana,carpinus caroliniana,,,,,,,,citrullus lanatus_purgative
9,corylus americana,corylus americana,,,,,,,,casuarina equisetifolia_laxative
10,corylus avellana,corylus avellana,,,,,,,,
11,corylus chinensis,corylus chinensis,,,,,,,,
12,corylus cornuta,corylus cornuta,,,,,,,,
13,ostrya spp,ostrya spp,,,,,,,,
14,catalpa bignonioides,catalpa bignonioides,,,,,,,,
15,catalpa,catalpa speciosa,,,,,,,,
16,catalpa speciosa,crescentia cujete,,,,,,,,
17,crescentia cujete,kigelia pinnata,,,,,,,,
18,kigelia pinnata,tabebuia donnell-smithii,,,,,,,,
19,tabebuia donnell-smithii,tabebuia serratifolia,,,,,,,,
20,tabebuia serratifolia,bixa orellana,,,,,,,,
21,bixa orellana,adansonia digitata,,,,,,,,
22,adansonia digitata,bombax ceiba,,,,,,,,
23,bombax ceiba,ceiba pentandra,,,,,,,,
24,ceiba pentandra,chorisia speciosa,,,,,,,,
25,chorisia speciosa,durio zibethinus,,,,,,,,
26,durio zibethinus,ochroma pyramindale,,,,,,,,
27,ochroma pyramindale,pachira aquatica,,,,,,,,
28,pachira aquatica,alkanna lehmannii,,,,,,,,
29,alkanna lehmannii,cordia sebestena,,,,,,,,
30,alkanna,cordia subcordata,,,,,,,,
31,cordia sebestena,pulmonaria officinalis,,,,,,,,
32,cordia subcordata,symphytum officinale,,,,,,,,
33,pulmonaria officinalis,ananas comosus,,,,,,,,
34,symphytum officinale,tillandsia usneoides,,,,,,,,
35,ananas comosus,boswellia carteri,,,,,,,,
36,tillandsia usneoides,bursera spp,,,,,,,,
37,boswellia carteri,canarium spp,,,,,,,,
38,bursera,commiphora gileadensis,,,,,,,,
39,bursera spp,commiphora myrrha,,,,,,,,
40,canarium spp,carnegia gigantea,,,,,,,,
41,commiphora gileadensis,echinopsis pachanoi,,,,,,,,
42,commiphora myrrha,hylocereus undatus,,,,,,,,
43,carnegia gigantea,lophophora williamsii,,,,,,,,
44,echinopsis pachanoi,opuntia ficus-indica,,,,,,,,
45,hylocereus undatus,stenocereus stellatus,,,,,,,,
46,lophophora williamsii,lobelia inflata,,,,,,,,
47,opuntia ficus-indica,lobelia tupa,,,,,,,,
48,stenocereus stellatus,cannabis sativa,,,,,,,,
49,lobelia inflata,humulus lupulus,,,,,,,,
50,lobelia tupa,canna edulis,,,,,,,,
51,cannabis sativa,canna indica,,,,,,,,
52,humulus lupulus,capparis spinosa,,,,,,,,
53,canna edulis,sambucus spp,,,,,,,,
54,canna indica,carica papaya,,,,,,,,
55,capparis spinosa,carica pentagona,,,,,,,,
56,sambucus spp,dianthus spp,,,,,,,,
57,carica papaya,saponaria officinalis,,,,,,,,
58,carica pentagona,casuarina equisetifolia,,,,,,,,
59,dianthus spp,catha edulis,,,,,,,,
60,saponaria officinalis,cercidiphyllum japonicum,,,,,,,,
61,casuarina equisetifolia,atriplex spp,,,,,,,,
62,catha edulis,beta vulgaris var. cicla,,,,,,,,
63,cercidiphyllum japonicum,beta vulgaris var. vulgaris,,,,,,,,
64,atriplex spp,chenopodium ambrosioides,,,,,,,,
65,beta vulgaris var. cicla,chenopodium anthelminthicum,,,,,,,,
66,beta vulgaris var. vulgaris,chenopodium quinoa,,,,,,,,
67,chenopodium ambrosioides,kochia scoparia,,,,,,,,
68,chenopodium anthelminthicum,salicornia spp,,,,,,,,
69,chenopodium quinoa,spinacia oleracea,,,,,,,,
70,kochia scoparia,chrysobalanus icaco,,,,,,,,
71,salicornia spp,cistus ladaniferus,,,,,,,,
72,spinacia oleracea,cochlospermum religiosum,,,,,,,,
73,chrysobalanus icaco,anogeissus latifolia,,,,,,,,
74,cistus ladaniferus,terminalia chebula,,,,,,,,
75,cochlospermum religiosum,terminalia catappa,,,,,,,,
76,anogeissus latifolia,terminalia superba,,,,,,,,
77,terminalia chebula,terminalia spp,,,,,,,,
78,terminalia,anthemis nobilis,,,,,,,,
79,terminalia catappa,arctium lappa,,,,,,,,
80,terminalia superba,artemisia absinthium,,,,,,,,
81,terminalia spp,artemisia dracunculus,,,,,,,,
82,anthemis nobilis,carthamus tinctorius,,,,,,,,
83,arctium lappa,chrysanthemum cinerariifolium,,,,,,,,
84,artemisia absinthium,chrysothamnus spp,,,,,,,,
85,artemisia dracunculus,cichorium endivia,,,,,,,,
86,carthamus tinctorius,cichorium intybus,,,,,,,,
87,chrysanthemum cinerariifolium,cynara cardunculus,,,,,,,,
88,chrysothamnus spp,cynara scolymus,,,,,,,,
89,cichorium endivia,echinacea angustifolia,,,,,,,,
90,cichorium intybus,echinacea purpurea,,,,,,,,
91,cynara cardunculus,eupatorium berlandieri,,,,,,,,
92,cynara scolymus,eupatorium solidaginifolium,,,,,,,,
93,echinacea angustifolia,guizotia abyssinica,,,,,,,,
94,echinacea purpurea,helianthus annuus,,,,,,,,
95,eupatorium berlandieri,helianthus tuberosus,,,,,,,,
96,eupatorium solidaginifolium,inula helenium,,,,,,,,
97,guizotia abyssinica,lactuca sativa,,,,,,,,
98,helianthus annuus,lactuca scariola,,,,,,,,
99,helianthus tuberosus,matricaria spp,,,,,,,,
100,inula helenium,parthenium argentatum,,,,,,,,
101,lactuca sativa,scorzonera hispanica,,,,,,,,
102,lactuca scariola,silybum marianum,,,,,,,,
103,matricaria spp,solidago spp,,,,,,,,
104,parthenium argentatum,stevia rebaudiana,,,,,,,,
105,scorzonera hispanica,tanacetum parthenium,,,,,,,,
106,silybum marianum,tanacetum vulgare,,,,,,,,
107,solidago spp,taraxacum kok-saghyz,,,,,,,,
108,stevia rebaudiana,taraxacum officinale,,,,,,,,
109,tanacetum parthenium,tragopogon porrifolius,,,,,,,,
110,tanacetum vulgare,convolvulus scammonia,,,,,,,,
111,taraxacum kok-saghyz,dichondra spp,,,,,,,,
112,taraxacum officinale,ipomoea aquatica,,,,,,,,
113,tragopogon porrifolius,ipomoea batatas,,,,,,,,
114,convolvulus scammonia,ipomoea orizabensis,,,,,,,,
115,dichondra spp,ipomoea pandurata,,,,,,,,
116,dichondra,ipomoea pes-caprae,,,,,,,,
117,ipomoea aquatica,ipomoea purga,,,,,,,,
118,ipomoea batatas,ipomoea tricolor,,,,,,,,
119,ipomoea orizabensis,turbina corymbosa,,,,,,,,
120,ipomoea pandurata,coriaria myrtifolia,,,,,,,,
121,ipomoea pes-caprae,camptotheca acuminata,,,,,,,,
122,ipomoea purga,nyssa aquatica,,,,,,,,
123,ipomoea tricolor,nyssa sylvatica,,,,,,,,
124,turbina corymbosa,armoracia lapathifolia,,,,,,,,
125,coriaria,barbarea verna,,,,,,,,
126,coriaria myrtifolia,brassica chinensis,,,,,,,,
127,camptotheca acuminata,brassica juncea,,,,,,,,
128,nyssa aquatica,brassica napus,,,,,,,,
129,nyssa sylvatica,brassica nigra,,,,,,,,
130,armoracia lapathifolia,brassica oleracea,,,,,,,,
131,barbarea verna,brassica rapa,,,,,,,,
132,brassica chinensis,camelina sativa,,,,,,,,
133,brassica juncea,crambe maritima,,,,,,,,
134,brassica napus,eruca vesicaria,,,,,,,,
135,brassica nigra,eruca sativa,,,,,,,,
136,brassica oleracea,eutrema wasabi,,,,,,,,
137,brassica rapa,isatis tinctoria,,,,,,,,
138,camelina sativa,lepidium meyenii,,,,,,,,
139,crambe maritima,lepidium sativum,,,,,,,,
140,eruca vesicaria,nasturtium officinale,,,,,,,,
141,eruca sativa,raphanus sativus,,,,,,,,
142,eutrema wasabi,sinapis alba,,,,,,,,
143,isatis tinctoria,benincasa hispida,,,,,,,,
144,lepidium meyenii,citrullus colocynthis,,,,,,,,
145,lepidium sativum,citrullus lanatus,,,,,,,,
146,nasturtium officinale,cucumis anguria,,,,,,,,
147,raphanus sativus,cucumis dipsaceus,,,,,,,,
148,sinapis alba,cucumis melo,,,,,,,,
149,benincasa hispida,cucumis metalicerus,,,,,,,,
150,citrullus colocynthis,cucumis sativus,,,,,,,,
151,citrullus lanatus,cucurbita ficifolia,,,,,,,,
152,cucumis anguria,cucurbita maxima,,,,,,,,
153,cucumis dipsaceus,cucurbita moschata,,,,,,,,
154,cucumis melo,cucurbita pepo,,,,,,,,
155,cucumis metalicerus,ecballium elaterium,,,,,,,,
156,cucumis sativus,lagenaria siceraria,,,,,,,,
