,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,a. fatua var. fatua,a. fatua var. fatua,vaviloviana,paspalum commersonii,,,,,,
1,a. fatua var. sativa,a. fatua var. sativa,,glyceria spp,,,,,,
2,a. sterilis,a. sterilis,,secale cereale,,,,,,
3,a. byzantina,a. byzantina,,aster,,,,,,
4,zizania spp,zizania spp,,,,,,,,
5,coix lacryma-jobi,coix lacryma-jobi,,,,,,,,
6,pennisetum,pennisetum,,,,,,,,
7,pennisetum americanum,setaria,,,,,,,,
8,pennisetum glaucum,panicum,,,,,,,,
9,setaria,eleusine,,,,,,,,
10,setaria italica,digitaria exilis,,,,,,,,
11,panicum,eleusine coracana,,,,,,,,
12,panicum miliaceum,hordeum vulgare,,,,,,,,
13,panicum maximum,echinochloa crusgalli,,,,,,,,
14,panicum sumatrense,panicum miliaceum,,,,,,,,
15,eleusine,brachiaria ramosa,,,,,,,,
16,eleusine coracana,pennisetum americanum,,,,,,,,
17,digitaria exilis,echinochloa turnerianum,,,,,,,,
18,hordeum vulgare,triticum compactum,,,,,,,,
19,echinochloa crusgalli,triticum durum,,,,,,,,
20,brachiaria ramosa,triticum monococcum,,,,,,,,
21,echinochloa turnerianum,triticum dicoccon,,,,,,,,
22,triticum compactum,digitaria elixis,,,,,,,,
23,triticum durum,setaria italica,,,,,,,,
24,triticum monococcum,panicum maximum,,,,,,,,
25,triticum dicoccon,avena nuda,,,,,,,,
26,digitaria elixis,avena spp,,,,,,,,
27,avena,pennisetum glaucum,,,,,,,,
28,avena nuda,zea mays,,,,,,,,
29,avena spp,triticum polonicum) s,,,,,,,,
30,zea mays,echinochloa frumentacea,,,,,,,,
31,zea mays ssp. mexicana,echinochloa colona,,,,,,,,
32,zea mays ssp. diploperennis,sorghum bicolor,,,,,,,,
33,triticum polonicum,avena orientalis,,,,,,,,
34,echinochloa frumentacea,eragrostis tef,,,,,,,,
35,echinochloa colona,zea mays ssp. mexicana,,,,,,,,
36,sorghum bicolor,zea mays ssp. diploperennis,,,,,,,,
37,sorghum,x triticosecale,,,,,,,,
38,avena orientalis,fagopyrum esculentum,,,,,,,,
39,eragrostis tef,chenopodiumquinoa,,,,,,,,
40,x triticosecale,amaranthus spp,,,,,,,,
41,fagopyrum esculentum,helianthus annuus,,,,,,,,
42,chenopodiumquinoa,phaseolus,,,,,,,,
43,amaranthus spp,ph. vulgaris,,,,,,,,
44,helianthus annuus,vicia faba,,,,,,,,
45,phaseolus,pisum sativum,,,,,,,,
46,ph. vulgaris,cicerarietinum,,,,,,,,
47,vicia faba,vigna unguiculata,,,,,,,,
48,pisum sativum,,,,,,,,,
49,cicerarietinum,,,,,,,,,
50,vigna unguiculata,,,,,,,,,
