,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,salix spp,salix spp,,,digitalis lanata ehrh_cardiac disease,salix spp_pain,,salix spp_anti-platelet,papaver somniferum l_analgesic,galega officinalis l_anti-diabetic
1,digitalis lanata ehrh,digitalis lanata ehrh,,,papaver somniferum l_hypertension,galega officinalis l_diabetes,,salix spp_pain relief,jatropha podagrica hook_aphrodisiac,papaver somniferum l_pain relief
2,galega officinalis l,galega officinalis l,,,cinchona officinalis l_malaria,papaver somniferum l_pain,,papaver somniferum l_vasodilator,panax ginseng c.a.mey_physical performance enhancement,cinchona officinalis l_anti-malarial
3,papaver somniferum l,papaver somniferum l,,,cinchona officinalis l_fever,,,rumex rupestris le gall_astringent,panax ginseng c.a.mey_mental performance enhancement,panax ginseng c.a.mey_enhancement of mental and physical performance
4,cinchona officinalis l,cinchona officinalis l,,,cinchona officinalis l_infectious disease,,,panax ginseng c.a.mey_male stimulant,,
5,catharanthus roseus l,catharanthus roseus l,,,catharanthus roseus l_cancer,,,,,
6,panax quinquefolius l,panax quinquefolius l,,,panax ginseng c.a.mey_fatigue,,,,,
7,panax,rumex rupestris le gall,,,,,,,,
8,rumex rupestris le gall,saxifraga hirculus l,,,,,,,,
9,saxifraga hirculus l,jatropha podagrica hook,,,,,,,,
10,jatropha podagrica hook,panax ginseng c.a.mey,,,,,,,,
11,panax ginseng c.a.mey,codonopsis pilosula nannf,,,,,,,,
12,codonopsis pilosula nannf,rumex madaio makino,,,,,,,,
13,rumex madaio makino,talinum paniculatum (jacq.) gaertn,,,,,,,,
14,talinum paniculatum (jacq.) gaertn,stephania tetrandra s.moore,,,,,,,,
15,stephania tetrandra s.moore,aristolochia fangchi y.c.wu ex l.d.chow & s.m.hwang,,,,,,,,
16,stephania tetrandra,,,,,,,,,
17,aristolochia fangchi y.c.wu ex l.d.chow & s.m.hwang,,,,,,,,,
18,aristolochia fangchi,,,,,,,,,
19,aristolochia,,,,,,,,,
