,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,,,labiatae)grown,sideri-tis scardica griseb,,,sideri-tis scardica griseb_flu,,labiatae)grown_sideritis,sideritis_antioxidant
1,,,,sideritis raeseri boiss.&heldr,,,sideri-tis scardica griseb_viruses,,,
2,,,,sideritis,,,sideri-tis scardica griseb_sinus conges-tion,,,
3,,,,sideritis scardica,,,sideri-tis scardica griseb_common cold,,,
4,,,,sideritis raeseri,,,sideri-tis scardica griseb_pains,,,
5,,,,juniperus communis l,,,sideri-tis scardica griseb_aches,,,
6,,,,j.communis l,,,sideritis raeseri boiss.&heldr_flu,,,
7,,,,s. scardica,,,sideritis raeseri boiss.&heldr_viruses,,,
8,,,,s. raeseri,,,sideritis raeseri boiss.&heldr_sinus conges-tion,,,
9,,,,sideritisraeseri,,,sideritis raeseri boiss.&heldr_common cold,,,
10,,,,s.scardica,,,sideritis raeseri boiss.&heldr_pains,,,
11,,,,sideritisscardica griseb,,,sideritis raeseri boiss.&heldr_aches,,,
