,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,theobroma cacao,theobroma cacao,,ilex paraguariensis,,,,,,
1,,,,paullinia cupana,,,,,,
2,,,,cola nitida,,,,,,
3,,,,aspergillus oryzeae,,,,,,
4,,,,aspergillus soyae,,,,,,
5,,,,saccharomyces cerevisiae,,,,,,
6,,,,saccharomyces carlsburgensis,,,,,,
7,,,,saccharomyces ellipsoideus,,,,,,
8,,,,saccharomyces sake,,,,,,
9,,,,saccharomyces exiguis,,,,,,
10,,,,saccharomyces beticus,,,,,,
11,,,,saccharomyces theobromae,,,,,,
12,,,,leuconostoc mesenteroides,,,,,,
13,,,,lactobacillus plantarum,,,,,,
14,,,,lactobacillus sanfrancisco,,,,,,
15,,,,saccharomyces spp,,,,,,
16,,,,citrus,,,,,,
