,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,l. angustifolia,lavandula angustifolia mill,,m.officinalis subsp. officinalis,matricaria pubescens (desf.) schultz_allergies,,m. recutita_mild inflammation,lavandula angustifolia mill_inhibitory activity against lipoxygenase,melissa officinalis l_anti-lipoxygenase,l. angustifolia_therapeutic
1,lavandula angustifolia,melissa officinalis l,,melissa officinalis subsp. officinalis,matricaria pubescens (desf.) schultz_toothaches,,,lavandula angustifolia mill_antimicrobial,melissa officinalis l_antioxidant,m.officinalis subsp. officinalis_antioxidants
2,lavandula angustifolia mill,pistacia lentiscus var. chia,,matricaria sp,matricaria pubescens (desf.) schultz_rheumatic and muscular pains,,,lavandula angustifolia mill_antioxidant,melissa officinalis l_anti-acetylcholinesterase,m.officinalis subsp. officinalis_anti-acetylcholinesterase
3,lavandula,matricaria pubescens (desf.) schultz,,subsp. officinalis,matricaria pubescens (desf.) schultz_ocular affections,,,lavandula angustifolia mill_inhibitory activity against acetyl-cholinesterase,,m.officinalis subsp. officinalis_anti-lipoxygenase
4,melissa officinalis l,matricaria recutita l,,,matricaria pubescens (desf.) schultz_scorpion stings,,,matricaria pubescens (desf.) schultz_anti-inflammatory,,pistacia lentiscus var. chia_on bone mineral density (bmd) of the lumbar vertebra of ovariectomised rats
5,melissa officinalis,achillea crithmifolia waldst. & kit,,,matricaria pubescens (desf.) schultz_coughs,,,matricaria recutita l_anti-inflammatory,,pistacia lentiscus var. chia_beneficial impact on the bmd of the sixth lumbar
6,pistacia lentiscus var. chia,achillea grandifolia friv,,,matricaria pubescens (desf.) schultz_dysmenorrhea,,,achillea crithmifolia waldst. & kit_antimicrobial,,
7,matricaria pubescens,achillea millefolium l,,,matricaria pubescens (desf.) schultz_dehydration,,,achillea crithmifolia waldst. & kit_antioxidant,,
8,matricaria pubescens (desf.) schultz,thymus thracicus velen,,,matricaria recutita l_ulcers,,,achillea grandifolia friv_antimicrobial,,
9,m. pubescens,sauromatum venosum (dryand. ex aiton) kunth,,,matricaria recutita l_irritated skin and mucosae,,,achillea grandifolia friv_antioxidant,,
10,matricaria recutita,,,,matricaria recutita l_mild gastrointestinal problems,,,achillea millefolium l_antimicrobial,,
11,m. recutita l,,,,matricaria recutita l_relief of common cold,,,achillea millefolium l_antioxidant,,
12,m. recutita,,,,matricaria recutita l_inflammations of mouth and throat,,,thymus thracicus velen_antiplatelet,,
13,matricaria recutita l,,,,sauromatum venosum (dryand. ex aiton) kunth_pain,,,sauromatum venosum (dryand. ex aiton) kunth_anti-inflammatory,,
14,achillea,,,,sauromatum venosum (dryand. ex aiton) kunth_cancerous diseases,,,,,
15,achillea crithmifolia waldst. & kit,,,,sauromatum venosum (dryand. ex aiton) kunth_inflammation,,,,,
16,a. grandifolia friv,,,,,,,,,
17,a. millefolium l,,,,,,,,,
18,thymus thracicus velen,,,,,,,,,
19,thymus thracicus,,,,,,,,,
20,sauromatum venosum (dryand. ex aiton) kunth,,,,,,,,,
21,s. venosum,,,,,,,,,
