,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,scrophularia lucida,scrophularia lucida,,scrophularianodosa l,scrophularia ningpoensis hemsl_conjunctivits,scrophularia ningpoensis hemsl_cough,scrophularia lucida_tumor,scrophularia oldhamii oliv_anti-inflammatory,scrophularia nodosa l_diuretic,scrophularianodosa l_diuretic
1,scrophularia lucida l,scrophularia ningpoensis hemsl,,scrophularia cryptophilaboiss. et. heldr. boiss,scrophularia ningpoensis hemsl_febrile diseases,scrophularia auriculata l_health disturbances,scrophularia lucida l_leukemia,scrophularia oldhamii oliv_antipyretic,,scrophularianodosa l_wound healing
2,scrophularia,scrophularia auriculata l,,s. striatavia,scrophularia ningpoensis hemsl_skin disorders,scrophularia canina l_health disturbances,scrophularia lucida l_cancer,scrophularia grossheimii schischkin_diuretic,,scrophularia depauperata boiss_diuretic
3,s. lucida l,scrophularia canina l,,scrophulariaorientalis l,scrophularia ningpoensis hemsl_constipation,scrophularia variegata m. bieb_health disturbances,scrophularia ningpoensis hemsl_coughdue to exhaustion,,,scrophularia cryptophilaboiss. et. heldr. boiss_diuretic
4,s. lucida,scrophularia variegata m. bieb,,,scrophularia auriculata l_inflammatory disorders,scrophularia striata boiss_health disturbances,scrophularia ningpoensis hemsl_eruptions,,,scrophularia floribunda boiss. et. bal_diuretic
5,scrophularia ningpoensis hemsl,scrophularia striata boiss,,,scrophularia auriculata l_wound healing,scrophularia nodosa l_hemorrhoids,scrophularia ningpoensis hemsl_inflammatory diseases,,,s. oxysepala_anti-tumor
6,scrophularia auriculata l,scrophularia oldhamii oliv,,,scrophularia auriculata l_skinailments,scrophularia nodosa l_psoriasis,scrophularianodosa l_hemorrhoids,,,
7,scrophularia canina l,scrophularia grossheimii schischkin,,,scrophularia canina l_inflammatory disorders,scrophularia nodosa l_eczema,scrophularianodosa l_psoriasis,,,
8,scrophularia variegata m. bieb,scrophularia nodosa l,,,scrophularia canina l_wound healing,scrophularia nodosa l_wound healing,scrophularianodosa l_eczema,,,
9,s. variegata,scrophularia depauperata boiss,,,scrophularia canina l_skinailments,scrophularia nodosa l_pruritus,scrophularianodosa l_pruritus,,,
10,scrophularia striata boiss,scrophularia cryptophila boiss. et. heldr. boiss,,,scrophularia variegata m. bieb_inflammatory disorders,scrophularia nodosa l_eruptive skin diseases,scrophularianodosa l_eruptive skin diseases,,,
11,scrophularia oldhamii oliv,scrophularia floribunda boiss. et. bal,,,scrophularia variegata m. bieb_wound healing,,scrophularia depauperata boiss_hemorrhoids,,,
12,scrophularia grossheimii schischkin,scrophularia orientalis l,,,scrophularia variegata m. bieb_skinailments,,scrophularia depauperata boiss_psoriasis,,,
13,scrophularia depauperata boiss,scrophularia oxysepala,,,scrophularia striata boiss_inflammatory disorders,,scrophularia depauperata boiss_eczema,,,
14,scrophularia floribunda boiss. et. bal,s. floribunda,,,scrophularia striata boiss_wound healing,,scrophularia depauperata boiss_pruritus,,,
15,s. floribunda,,,,scrophularia striata boiss_skinailments,,scrophularia depauperata boiss_eruptive skin diseases,,,
16,s. oxysepala,,,,,,scrophularia cryptophilaboiss. et. heldr. boiss_hemorrhoids,,,
17,,,,,,,scrophularia cryptophilaboiss. et. heldr. boiss_psoriasis,,,
18,,,,,,,scrophularia cryptophilaboiss. et. heldr. boiss_eczema,,,
19,,,,,,,scrophularia cryptophilaboiss. et. heldr. boiss_pruritus,,,
20,,,,,,,scrophularia cryptophilaboiss. et. heldr. boiss_eruptive skin diseases,,,
21,,,,,,,scrophularia floribunda boiss. et. bal_hemorrhoids,,,
22,,,,,,,scrophularia floribunda boiss. et. bal_psoriasis,,,
23,,,,,,,scrophularia floribunda boiss. et. bal_eczema,,,
24,,,,,,,scrophularia floribunda boiss. et. bal_pruritus,,,
25,,,,,,,scrophularia floribunda boiss. et. bal_eruptive skin diseases,,,
26,,,,,,,scrophularia_leukemia,,,
27,,,,,,,scrophularia_cancer,,,
28,,,,,,,s. striatavia_leukemia,,,
29,,,,,,,s. variegata_cancer,,,
30,,,,,,,s. oxysepala_breast cancer,,,
31,,,,,,,s. floribunda_leukemia,,,
