,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,berberis buxifolia lam,berberis buxifolia lam,argemone albiflora hornem(ex-argemone alba f. lestib,berberis heterophyllajuss. ex poir,berberis buxifolia lam_infections,berberis chitria buch.-ham.ex lindl_enlarged spleen,berberis chitria buch.-ham.ex lindl_skin diseases,berberis darwinii hook_anti-inflammatory,caulophyllum thalictroides (l.)michaux_inducer of menstruation,berberis chitria buch.-ham.ex lindl_ophthalmic
1,berberis chitria buch.-ham.ex lindl,berberis chitria buch.-ham.ex lindl,corydalis solida subsp. brachylova,tinospora cordifolia(willd.) miers,berberis chitria buch.-ham.ex lindl_skin disease,berberis darwinii hook_stomach pains,berberis chitria buch.-ham.ex lindl_affection of eyes,berberis darwinii hook_antipyrectic,caulophyllum thalictroides (l.)michaux_uterine stimulant,berberis lycium royle_febrifuge
2,berberis darwinii hook,berberis darwinii hook,corydalis solida subsp. slivenensis (velen.) hayek,argemone albiflora hornem,berberis chitria buch.-ham.ex lindl_rheumatism,berberis leschenaultia wall. exwight & arn_complications during post-natal period,berberis darwinii hook_stomachpains,berberis integerrima bunge_antipyretic,nandina domestica thunb_antirheumatic,berberis heterophyllajuss. ex poir_anti-inflammatory
3,berberis empetrifolia lam,berberis empetrifolia lam,corydalis turtschaninovii besser,argemone alba f. lestib,berberis chitria buch.-ham.ex lindl_enlarged liver,berberis libanotica ehrenb. exc. k. schneid_muscular pain,berberis leschenaultia wall. exwight & arn_complications duringpost-natal period,berberis koreana palib_antipyretic,sinopodophyllum hexandrum(royle) t. s. ying_promote the circulation of blood,berberis heterophyllajuss. ex poir_febrifuge
4,berberis integerrima bunge,berberis integerrima bunge,eschscholzia californica cham,corydalis solida subsp.brachylova,berberis chitria buch.-ham.ex lindl_bleeding piles,berberis libanotica ehrenb. exc. k. schneid_rheumatic diseases,berberis libanotica ehrenb. exc. k. schneid_muscularpain,berberis leschenaultia wall. exwight & arn_antipyretic,argemone albiflora hornem(ex-argemone alba f. lestib_diuretic,berberis petiolaris wall. ex g.don_oxytocic
5,berberis jaeschkeana c. k.schneid,berberis jaeschkeana c. k.schneid,glaucium corniculatum (l.) rud. subsp. corniculatum,corydalis solida subsp.slivenensis (velen.) hayek,berberis chitria buch.-ham.ex lindl_ulcers,berberis lycium royle_febrifuge,berberis lycium royle_throatpain,berberis libanotica ehrenb. exc. k. schneid_anti-inflammatory,argemone albiflora hornem(ex-argemone alba f. lestib_purgative,caulophyllum thalictroides (l.)michaux_promote prompt delivery
6,berberis koreana palib,berberis koreana palib,macleaya microcarpa (maxim.) fedde,corydalis slivenensisvelen,berberis chitria buch.-ham.ex lindl_jaundice,berberis pseudumbellata r.parker_eye diseases,berberis heterophyllajuss. ex poir_diarrhea,berberis microphylla g. forst. (ex-berberis heterophyllajuss. ex poir_anti-inflammatory,argemone albiflora hornem(ex-argemone alba f. lestib_cathartic,caulophyllum thalictroides (l.)michaux_inducerof menstruation
7,berberis leschenaultia wall. exwight & arn,berberis leschenaultia wall. exwight & arn,papaver rhoeas l. var. chelidonioides,corydalis turtschaninoviibesser,berberis chitria buch.-ham.ex lindl_conjunctivitis,berberis pseudumbellata r.parker_stomach problems,berberis pseudumbellata r.parker_eyediseases,berberis microphylla g. forst. (ex-berberis heterophyllajuss. ex poir_febrifuge,argemone albiflora hornem(ex-argemone alba f. lestib_diaphoretic,sinopodophyllum hexandrum(royle) t. s. ying_promote the circulationof blood
8,berberis libanotica ehrenb. exc. k. schneid,berberis libanotica ehrenb. exc. k. schneid,xanthorhiza simplicissima marshall,eschscholzia californicacham,berberis darwinii hook_colitis,berberis pseudumbellata r.parker_oxytocic,berberis pseudumbellata r.parker_stomachproblems,berberis oblonga (regel) c. k.schneid_antipyretic,argemone albiflora hornem(ex-argemone alba f. lestib_anthydropic,tinospora sinensis (lour. )merr_anti-malarialactivities
9,berberis lycium royle,berberis lycium royle,phellodendron amurense rupr,glaucium corniculatum (l.)rud. subsp. corniculatum,berberis darwinii hook_indigestion,berberis vulgaris l_internal injuries,berberis vulgaris l_healinternal injuries,berberis oblonga (regel) c. k.schneid_heart tonic,argemone albiflora hornem(ex-argemone alba f. lestib_demulcent,tinospora cordifolia(willd.) miers_anti-leprotic
10,berberis microphylla g. forst,berberis microphylla g. forst. (ex-berberis heterophyllajuss. ex poir,phellodendron chinense var. glabriusculum c. k. schneid,macleaya microcarpa(maxim.) fedde,berberis empetrifolia lam_mountain sickness,jeffersonia diphylla (l.) pers_urinary problems,caulophyllum thalictroides (l.)michaux_uterine stimulant,berberis oblonga (regel) c. k.schneid_antidiarrheal,argemone albiflora hornem(ex-argemone alba f. lestib_emetic,tinospora cordifolia(willd.) miers_antistress
11,berberis oblonga (regel) c. k.schneid,berberis oblonga (regel) c. k.schneid,,xanthorhiza simplicissimamarshall,berberis integerrima bunge_diabetes,mahonia fortunei (lindl. )fedde_testicular swelling,jeffersonia diphylla (l.) pers_urinaryproblems,berberis pseudumbellata r.parker_diuretic,argemone mexicana l_antidote to snake poisoning,tinospora cordifolia(willd.) miers_antiperiodic
12,berberis petiolaris wall. ex g.don,berberis petiolaris wall. ex g.don,,phellodendron amurenserupr,berberis integerrima bunge_tuberculosis,nandina domestica thunb_acute bronchitis,mahonia fortunei (lindl. )fedde_treattesticular swelling,berberis thunbergii dc_anti-inflammatory,corydalis solida subsp. brachylova_painkiller,tinospora cordifolia(willd.) miers_tonic
13,berberis pseudumbellata r.parker,berberis pseudumbellata r.parker,,phellodendron chinensevar. glabriusculum c. k.schneid,berberis integerrima bunge_rheumatism,nandina domestica thunb_acute gastro-enteritis,nandina domestica thunb_pain in thebones,berberis tinctoria lesch_antimicrobial,corydalis solida subsp. brachylova_antibacterial,tinospora cordifolia(willd.) miers_antiarthritic
14,berberis thunbergii dc,berberis thunbergii dc,,corydalis ternata(nakai) nakai,berberis integerrima bunge_kidney stones,nandina domestica thunb_pain in the bones,nandina domestica thunb_acutebronchitis,berberis umbellata wall. ex g.don_tonic,corydalis solida subsp. brachylova_cns stimulant,tinospora cordifolia(willd.) miers_improve the immune system
15,berberis tinctoria lesch,berberis tinctoria lesch,,papaver rhoeas l. var.chelidonioides,berberis integerrima bunge_stomachaches,sinopodophyllum hexandrum(royle) t. s. ying_retention of dead fetus or placenta,nandina domestica thunb_acutegastro-enteritis,berberis vulgaris l_sedative,corydalis solida subsp. brachylova_sedative for insomnia,tinospora cordifolia(willd.) miers_anti-spasmodic
16,berberis umbellata wall. ex g.don,berberis umbellata wall. ex g.don,,phellodendron wilsoniihayata & kaneh,berberis integerrima bunge_heart pain,argemone albiflora hornem(ex-argemone alba f. lestib_wounds,nandina domestica thunb_antirheumatic,berberis vulgaris l_anticancer,corydalis solida subsp. brachylova_antispasmodic,tinospora cordifolia(willd.) miers_anti-diabetic
17,berberis vulgaris l,berberis vulgaris l,,,berberis integerrima bunge_bone fractures,argemone albiflora hornem(ex-argemone alba f. lestib_skin ailments,argemone albiflora hornem_wounds,berberis vulgaris l_antiarrhythmic,corydalis solida subsp. brachylova_anodyne,tinospora cordifolia(willd.) miers_anti-malarialactivities
18,caulophyllum thalictroides (l.)michaux,caulophyllum thalictroides (l.)michaux,,,berberis integerrima bunge_headaches,argemone albiflora hornem(ex-argemone alba f. lestib_jaundice,argemone albiflora hornem_skin ailments,caulophyllum thalictroides (l.)michaux_antispasmodic,corydalis solida subsp. brachylova_hallucinogenic,tinospora cordifolia(willd.) miers_anti-allergic
19,jeffersonia diphylla (l.) pers,jeffersonia diphylla (l.) pers,,,berberis integerrima bunge_constipation,argemone albiflora hornem(ex-argemone alba f. lestib_colics,argemone albiflora hornem_jaundice,jeffersonia diphylla (l.) pers_diuretic,eschscholzia californica cham_diuretic,tinospora cordifolia(willd.) miers_anti-inflammatory
20,mahonia fortunei (lindl. )fedde,mahonia fortunei (lindl. )fedde,,,berberis integerrima bunge_wound,argemone albiflora hornem(ex-argemone alba f. lestib_colds,argemone albiflora hornem_colics,jeffersonia diphylla (l.) pers_antispasmodic,eschscholzia californica cham_narcotic,argemone albiflora hornem_diuretic
21,mahonia napaulensis dc,mahonia napaulensis dc,,,berberis integerrima bunge_chest pain,argemone mexicana l_chest complaints,argemone albiflora hornem_colds,jeffersonia diphylla (l.) pers_emetic,eschscholzia californica cham_analgesic,argemone albiflora hornem_purgative
22,nandina domestica thunb,nandina domestica thunb,,,berberis integerrima bunge_radiculitis,argemone platyceras l_respiratory ailments,argemone mexicana l_snake poisoning,jeffersonia diphylla (l.) pers_expectorant,eschscholzia californica cham_relieve pain,argemone albiflora hornem_cathartic
23,sinopodophyllum hexandrum(royle) t. s. ying,sinopodophyllum hexandrum(royle) t. s. ying,,,berberis jaeschkeana c. k.schneid_eye diseases,bocconia frutescens l_bronchitis,argemone mexicana l_antidote,mahonia fortunei (lindl. )fedde_antiodontalgic,eschscholzia californica cham_suppress the flow of milk in lactating women,argemone albiflora hornem_diaphoretic
24,tinospora sinensis (lour. )merr,tinospora sinensis (lour. )merr (ex-tinospora cordifolia(willd.) miers,,,berberis koreana palib_gastroenteritis,chelidonium majus l_gallbladder pains,argemone mexicana l_skindiseases,mahonia fortunei (lindl. )fedde_anticancer,eschscholzia californica cham_antispasmodic,argemone albiflora hornem_anthydropic
25,argemone mexicana l,argemone mexicana l,,,berberis koreana palib_conjunctivitis,chelidonium majus l_whooping cough,argemone mexicana l_chestcomplaints,mahonia fortunei (lindl. )fedde_febrifuge,eschscholzia californica cham_relax spasms,argemone albiflora hornem_demulcent
26,argemone platyceras l,argemone platyceras l,,,berberis koreana palib_sore throats,corydalis solida subsp. brachylova_lumbago,argemone platyceras l_respiratory ailment,mahonia napaulensis dc_diuretic,eschscholzia californica cham_promote perspiration,argemone albiflora hornem_emetic
27,bocconia frutescens l,bocconia frutescens l,,,berberis leschenaultia wall. exwight & arn_cold,corydalis solida subsp. brachylova_painful menstruation,bocconia frutescens l_bronchistis,mahonia napaulensis dc_demulcent,eschscholzia californica cham_sedative,argemone alba f. lestib_diuretic
28,chelidonium majus l,chelidonium majus l,,,berberis libanotica ehrenb. exc. k. schneid_arthritis,corydalis solida subsp. brachylova_traumatic injury,chelidonium majus l_whoopingcough,nandina domestica thunb_astringent,glaucium corniculatum (l.) rud. subsp. corniculatum_reduce warts,argemone alba f. lestib_purgative
29,corydalis solida subsp. tauricola,corydalis solida subsp. tauricola,,,berberis libanotica ehrenb. exc. k. schneid_neuralgic diseases,corydalis solida subsp. brachylova_lowering the blood pressure,corydalis solida subsp.brachylova_insomnia,nandina domestica thunb_febrifuge,glaucium corniculatum (l.) rud. subsp. corniculatum_cooling,argemone alba f. lestib_cathartic
30,macleaya cordata (willd. )r.br,macleaya cordata (willd.) r.br,,,berberis lycium royle_boils,corydalis turtschaninovii besser_dysmenorrhea,corydalis solida subsp.brachylova_lumbago,nandina domestica thunb_stomachic and tonic,glaucium corniculatum (l.) rud. subsp. corniculatum_antitusive,argemone alba f. lestib_diaphoretic
31,papaver dubium l,papaver dubium l,,,berberis lycium royle_intestinal colic,corydalis turtschaninovii besser_rheumatism,corydalis solida subsp.brachylova_painfulmenstruation,nandina domestica thunb_antitussive,glaucium corniculatum (l.) rud. subsp. corniculatum_mild laxative,argemone alba f. lestib_anthydropic
32,papaver dubium var. lecoquii,papaver dubium var. lecoquii,,,berberis lycium royle_menorrhagia,corydalis turtschaninovii besser_cardiac arrhythmia disease,corydalis solida subsp.brachylova_traumatic injury,sinopodophyllum hexandrum(royle) t. s. ying_regulate menstruation,glaucium corniculatum (l.) rud. subsp. corniculatum_sedative,argemone alba f. lestib_demulcent
33,papaver hybridum l,papaver hybridum l,,,berberis lycium royle_fracture,corydalis turtschaninovii besser_memory dysfunction,corydalis solida subsp.slivenensis (velen.) hayek_dysmenorrhea,tinospora sinensis (lour. )merr (ex-tinospora cordifolia(willd.) miers_antistress,papaver rhoeas l. var. chelidonioides_emmenagogue,argemone alba f. lestib_emetic
34,coptis chinensis franch,coptis chinensis franch,,,berberis lycium royle_piles,corydalis turtschaninovii besser_gastric,corydalis solida subsp.slivenensis (velen.) hayek_rheumatism,tinospora sinensis (lour. )merr (ex-tinospora cordifolia(willd.) miers_anti-leprotic and anti-malarial activities,papaver rhoeas l. var. chelidonioides_emollient,chelidonium majus l_relaxing the muscles of thebronchial tubes and intestines
