,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,arum maculatum l,arum maculatum,europaea,clematis vi-talba l,,,,,,
1,cerasus mahaleb (l.) miller var. alpina browicz,cerasus mahaleb,"browicz,crataegus aronia",satureja hortensis l,,,,,,
2,myrtus communis l.subsp. communis,myrtus communis,flowers offraxinus ornus,geranium,,,,,,
3,myrtus communis subsp. communis,pistacia terebinthus,tolga,thymuslongicaulis c. presl subsp. longicaulis var. subisophyllus (borbas) jalas,,,,,,
4,pistacia terebinthus l. subsp. palaestina (boiss. )engler,punica granatum,"europaea""(5",prunusspinosa l. subsp. dasyhylla (schur) domin,,,,,,
5,punica granatum l,laser trilobum,asteraceae,rubuscanescens dc. var. canescens,,,,,,
6,punicagranatum,rhus coriaria,rosaceae,ruscushypoglossum l,,,,,,
7,laser trilobum (l.) borkh,mar-rubium vulgare,geraniaceae,oenanthe pimpinelloides l,,,,,,
8,rhus coriaria l,ocimum basilicum,apiaceae,rhodendronponticum l. subsp. ponticum,,,,,,
9,mar-rubium vulgare l,origanum syriacum,polygonaceae,,,,,,,
10,ocimum basilicum l,rosmarinus officinalis,ericaceae,,,,,,,
11,origanum syriacum l. var. be-vanii (holmes) letswaart,thymus sipyleus,ponticum,,,,,,,
12,rosmarinus officinalis l,crataegus aronia,,,,,,,,
13,thymus sipyleus boiss. subsp. rosulans (bor-bas) j.jalas,myrtus communis subsp. communis,,,,,,,,
14,crataegus aronia (l.) bosc. ex dc. var. aronia,juglans regia,,,,,,,,
15,crataegus aronia var. aronia,quercus cerris,,,,,,,,
16,juglans regia l,quercus coccifera,,,,,,,,
17,quercus cerris l. var. cerris,juniperus drupacea,,,,,,,,
18,quercus cerris l. var.cerris,artemisia absinthium,,,,,,,,
19,quercus coccifera l,buxus sempervirens,,,,,,,,
20,juniperus drupacea ant. &kotschy,cornus mas,,,,,,,,
21,artemisia absinthium l,eremurus spectabilis,,,,,,,,
22,buxus sempervirens l,fontanesia philli-raeoides,,,,,,,,
23,cornus mas l,fraxinus ornus,,,,,,,,
24,eremurus spectabilis bieb,morus nigra,,,,,,,,
25,fontanesia philli-raeoides labill. subsp philliraeoides,pinus brutia,,,,,,,,
26,fraxinus ornus l. subsp. cilicica (lingelsh.) yalt,sorghum halepense,,,,,,,,
27,fraxinus ornus l. subsp. cilicica(lingelsh.) yalt,spartium junceum,,,,,,,,
28,morus nigra l,styrax officinalis,,,,,,,,
29,pinus brutia ten,rubus,,,,,,,,
30,sorghum halepense (l.) pers. var. hale-pense,rumex,,,,,,,,
31,spartium junceum l,arum italicum,,,,,,,,
32,styrax officinalis l,malva nicaeensis,,,,,,,,
33,rubus,mentha longifolia,,,,,,,,
34,rubus sanctus schreber,mentha spicata,,,,,,,,
35,rumex,origanum vulgare,,,,,,,,
36,arum italicum miller,arbutus unedo,,,,,,,,
37,malva,laurocerasus officinalis,,,,,,,,
38,malva nicaeensis wallr,rosa canina,,,,,,,,
39,mentha longifolia (l.) hudson subsp.typhoides (briq.) harley var. typhoides,rubus sanctus,,,,,,,,
40,mentha,solanum nigrum,,,,,,,,
41,mentha spicata l. subsp.spicata,chaerophyllum byzantinum,,,,,,,,
42,origanum vulgare l. subsp. hirtum (link) ietswaart,raphanus raphanis-trum,,,,,,,,
43,origanum vulgare l. subsp. hirtum (link)ietswaart,heracleum platytaenium,,,,,,,,
44,arbutus unedo l,ornithogalum,,,,,,,,
45,laurocerasus officinalis roemer,papaver rhoeas,,,,,,,,
46,rosa canina l,urtica dioica,,,,,,,,
47,solanum nigrum l. subsp. nigrum,lamium,,,,,,,,
48,chaerophyllum byzantinum boiss,thymus longicaulis,,,,,,,,
49,raphanus raphanis-trum l,,,,,,,,,
50,heracleum platytaenium boiss,,,,,,,,,
51,ornithogalum sigmoideumfreyn&sint,,,,,,,,,
52,papaver rhoeas l,,,,,,,,,
53,urtica dioica l,,,,,,,,,
54,lamium purpureuml. var. purpureum,,,,,,,,,
55,thymus longicaulis c. presl subsp. longicaulis var. subis-ophyllus (borbas) jalas,,,,,,,,,
