,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,cyperus papyrus,cyperus papyrus,cinchona officinalis l,hibiscus cannabinus,,cinchona officinalis l_fever,,,,
1,fatsia papyrifera,fatsia papyrifera,,crotalaria juncea,,cinchona officinalis l_infectious-disease,,,,
2,broussonetia papyrifera,broussonetia papyrifera,,,,cinchona officinalis l_malaria,,,,
3,cannabis sativa,cannabis sativa,,,,,,,,
4,pinus sylvestris,pinus sylvestris,,,,,,,,
5,pinus strobus,pinus strobus,,,,,,,,
6,pinus palustris,pinus palustris,,,,,,,,
7,pinus ponderosa,pinus ponderosa,,,,,,,,
8,pseudotsuga menziesii,pseudotsuga menziesii,,,,,,,,
9,sequoia sempervirens,sequoia sempervirens,,,,,,,,
10,quercus alba,quercus alba,,,,,,,,
11,juglans nigra,juglans nigra,,,,,,,,
12,prunus serotina,prunus serotina,,,,,,,,
13,liquidambar styraciflua,liquidambar styraciflua,,,,,,,,
