,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,antiaris toxicaria,antiaris toxicaria,uncaria gambir,protea,,,,,antiaris toxicaria_arrow and dart poisons,
1,artocarpus spp,artocarpus spp,,philodendron,,,,,artocarpus spp_food,
2,brosimum spp,brosimum spp,,galanga,,,,,"brosimum spp_timber, food, fiber, latex",
3,broussonetia papyrifera,broussonetia papyrifera,,bromeliad,,,,,broussonetia papyrifera_fiber,
4,castilla elastica,castilla elastica,,,,,,,castilla elastica_latex,
5,ficus spp,ficus spp,,,,,,,"ficus spp_food, latex",
6,maclura pomifera,maclura pomifera,,,,,,,"maclura pomifera_timber, dye",
7,morus spp,morus spp,,,,,,,morus spp_food for us and silkworms,
8,ensete ventricosum,ensete ventricosum,,,,,,,ensete ventricosum_food,
9,musa spp,musa spp,,,,,,,"musa spp_food, fiber",
10,eucalyptus spp,eucalyptus spp,,,,,,,eucalyptus spp_timber,
11,eugeniauniflora,eugenia uniflora,,,,,,,eugenia uniflora_food,
12,feijoa sellowiana,feijoa sellowiana,,,,,,,feijoa sellowiana_food,
13,melaleuca spp,melaleuca spp,,,,,,,"melaleuca spp_essential oil, medicine",
14,pimenta spp,pimenta spp,,,,,,,pimenta spp_flavorings,
15,psidium guajava,psidium guajava,,,,,,,psidium guajava_food,
16,syzygium spp,syzygium spp,,,,,,,syzygium spp_food,
17,areca catechu,areca catechu,,,,,,,areca catechu_narcotic,
18,arenga pinnata,arenga pinnata,,,,,,,"arenga pinnata_sugar, beverage",
19,bactris gasipaes,bactris gasipaes,,,,,,,"bactris gasipaes_food, beverage, oil, construction",
20,borassusflabellifer,borassus flabellifer,,,,,,,"borassus flabellifer_timber, fiber, drink, food",
21,calamus spp,calamus spp,,,,,,,calamus spp_furniture,
22,caryota urens,caryota urens,,,,,,,caryota urens_beverage,
23,cocos nucifera,cocos nucifera,,,,,,,"cocos nucifera_food, building materials",
24,copernicia spp,copernicia spp,,,,,,,copernicia spp_wax,
25,elaeis guineensis,elaeis guineensis,,,,,,,elaeis guineensis_oil,
26,metroxylon spp,metroxylon spp,,,,,,,metroxylon spp_food,
27,phoenix dactylifera,phoenix dactylifera,,,,,,,phoenix dactylifera_food,
28,raphia spp,raphia spp,,,,,,,"raphia spp_fiber, beverage",
29,sabal spp,sabal spp,,,,,,,"sabal spp_food, fiber",
30,serenoa repens,serenoa repens,,,,,,,serenoa repens_medicine,
31,cydonia oblonga,cydonia oblonga,,,,,,,cydonia oblonga_food,
