,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,cerbera spp,cerbera spp,gnidia krausii,physostigma vene-nosum,,physostigma venenosum_glaucoma,physostigma vene-nosum_glaucoma,,cerbera spp_emetic,
1,physostigma venenosum,physostigma venenosum,,akokanthera venetata,,physostigma venenosum_alzheimer's disease,physostigma vene-nosum_alzheimer's disease,,,
2,adenium obesum,adenium obesum,,krausii,,physostigma venenosum_chronic constipation,physostigma vene-nosum_chronic constipation,,,
3,cerbera vinenifera,cerbera vinenifera,,ephedra,,,,,,
4,combretum confertum,combretum confertum,,aloe,,,,,,
5,detarium senegalense,detarium senegalense,,cassia,,,,,,
6,erythrophleum suaveolens,erythrophleum suaveolens,,senna,,,,,,
7,mimusops djave,mimusops djave,,,,,,,,
8,securidaca longipedunculata,securidaca longipedunculata,,,,,,,,
9,strychnos icaja,strychnos icaja,,,,,,,,
10,strychnos kipapa,strychnos kipapa,,,,,,,,
11,aconitum napellus,aconitum napellus,,,,,,,,
12,conium maculatum,conium maculatum,,,,,,,,
13,dichapetalum toxicaria,dichapetalum toxicaria,,,,,,,,
14,euphorbia cotinifolia,euphorbia cotinifolia,,,,,,,,
15,gelsemium elegans,gelsemium elegans,,,,,,,,
16,metroxylon sagu,metroxylon sagu,,,,,,,,
17,nerium oleander,nerium oleander,,,,,,,,
18,parkia bussei,parkia bussei,,,,,,,,
19,paullinia pinnata,paullinia pinnata,,,,,,,,
20,rourea glabra,rourea glabra,,,,,,,,
21,spigelia anthelmia,spigelia anthelmia,,,,,,,,
22,boophane disticha,boophane disticha,,,,,,,,
23,gloriosa superba,gloriosa superba,,,,,,,,
24,kalmia latifolia,kalmia latifolia,,,,,,,,
25,phyllanthus engleri,phyllanthus engleri,,,,,,,,
26,pisonia brunoniana,pisonia brunoniana,,,,,,,,
