,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,curcuma longa l,curcuma longa l,,,curcuma longa l_cancer,eugenia caryophylatta thunb_toothache,allium sativum l_infections,curcuma longa l_antioxidant,,curcuma longa l_anticancer
1,allium sativum l,allium sativum l,,,allium sativum l_dyslipidaemia,azadirachta indica a.juss_cancer,eugenia caryophylatta thunb_toothaches,curcuma longa l_antimicrobial,,curcuma longa l_kill tumour cells
2,eugenia caryophylatta thunb,eugenia caryophylatta thunb,,,allium sativum l_stroke,azadirachta indica a.juss_diabetes,,curcuma longa l_anti-inflammatory,,allium sativum l_reducing low density lipids and triglycerides
3,azadirachta indica a.juss,azadirachta indica a.juss,,,allium sativum l_heart disease,,,allium sativum l_anti-platelet,,eugenia caryophylatta thunb_aid digestion
4,,,,,allium sativum l_high cholesterol,,,allium sativum l_anti-hypertensive,,azadirachta indica a.juss_anti-cancer
5,,,,,,,,allium sativum l_antibacterial,,
6,,,,,,,,eugenia caryophylatta thunb_antimicrobial,,
7,,,,,,,,eugenia caryophylatta thunb_anti-emetic,,
8,,,,,,,,eugenia caryophylatta thunb_anaesthetic,,
9,,,,,,,,eugenia caryophylatta thunb_analgesic,,
10,,,,,,,,eugenia caryophylatta thunb_antiseptic,,
11,,,,,,,,azadirachta indica a.juss_anti-diabetic,,
12,,,,,,,,azadirachta indica a.juss_antipruritic,,
13,,,,,,,,azadirachta indica a.juss_blood purifying,,
14,,,,,,,,azadirachta indica a.juss_anti-inflammatory,,
15,,,,,,,,azadirachta indica a.juss_antifungal,,
16,,,,,,,,azadirachta indica a.juss_antibacterial,,
